Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Minimum,Maximum,Average,Average_Percent,STD,VAR,Estimate,,,,Exact,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,,,Exp 50,Minimum,Maximum,Average,Average_Percent,STD,VAR
E,28,33,31,32,31,32,34,34,32,31,32,32,31,30,31,32,33,32,31,31,32,31,30,33,31,31,30,30,29,30,31,32,30,30,32,29,30,31,30,28,29,31,31,31,32,29,33,31,32,30,28,34,31,3.7667,1.3547,1.8351,111875.95,111875,,,141725,39553,223752,111875,158216,111875,158216,316434,316434,158216,111875,158216,158216,111875,79107,111875,158216,223752,158216,111875,111875,158216,111875,79107,223752,111875,111875,79107,79107,55937,79107,111875,158216,79107,79107,158216,55937,79107,111875,79107,39553,55937,111875,111875,111875,158216,55937,223752,111875,158216,,,79107,39553,316434,126207,12.8134918,61106.72609,3734031974
A,31,33,31,32,32,31,31,31,28,32,33,32,30,30,31,30,31,30,33,32,31,30,28,32,31,32,31,31,31,30,31,31,32,30,31,33,31,35,32,33,31,32,31,33,30,30,32,30,30,33,28,35,31,3.7667,1.2867,1.6555,111875.95,111875,,,118387,111875,223752,111875,158216,158216,111875,111875,111875,39553,158216,223752,158216,79107,79107,111875,79107,111875,79107,223752,158216,111875,79107,39553,158216,111875,158216,111875,111875,111875,79107,111875,111875,158216,79107,111875,223752,111875,447506,158216,223752,111875,158216,111875,223752,79107,79107,158216,79107,79107,,,223752,39553,447506,134343,13.63952022,67145.2933,4508490413
O,32,30,29,30,31,32,27,30,30,32,27,31,30,30,31,30,30,32,32,32,30,30,33,30,32,29,31,32,30,30,32,32,31,30,31,30,32,31,29,30,28,33,33,32,28,31,29,29,30,31,27,33,30,3.6452,1.4316,2.0494,79107.95001,79107,,,104760,158216,79107,55937,79107,111875,158216,27968,79107,79107,158216,27968,111875,79107,79107,111875,79107,79107,158216,158216,158216,79107,79107,223752,79107,158216,55937,111875,158216,79107,79107,158216,158216,111875,79107,111875,79107,158216,111875,55937,79107,39553,223752,223752,158216,39553,111875,55937,55937,79107,,,111875,27968,223752,106725,10.83553141,49576.56259,2457835558
R,30,31,30,30,30,28,27,28,29,29,30,27,28,29,30,30,33,30,28,29,29,27,29,29,28,30,29,31,31,27,28,29,26,30,31,29,31,28,28,31,27,28,30,30,30,27,29,29,29,29,26,33,29,3.5237,1.3887,1.9286,55937.47501,55937,,,73719,79107,111875,79107,79107,79107,39553,27968,39553,55937,55937,79107,27968,39553,55937,79107,79107,223752,79107,39553,55937,55937,27968,55937,55937,39553,79107,55937,111875,111875,27968,39553,55937,19776,79107,111875,55937,111875,39553,39553,111875,27968,39553,79107,79107,79107,27968,55937,55937,55937,,,55937,19776,223752,65001,6.599394489,34470.98518,1188248819
S,29,32,29,29,30,31,30,28,28,30,29,29,29,30,29,29,28,29,30,31,29,29,28,30,29,30,28,30,31,29,29,31,30,27,27,30,28,28,28,29,29,30,30,29,28,31,30,29,30,31,27,32,29,3.5237,1.0962,1.2016,55937.47501,55937,,,68080,55937,158216,55937,55937,79107,111875,79107,39553,39553,79107,55937,55937,55937,79107,55937,55937,39553,55937,79107,111875,55937,55937,39553,79107,55937,79107,39553,79107,111875,55937,55937,111875,79107,27968,27968,79107,39553,39553,39553,55937,55937,79107,79107,55937,39553,111875,79107,55937,79107,,,111875,27968,158216,67114,6.813922275,26528.55944,703764465.8
D,30,27,28,27,26,29,29,27,30,29,28,30,30,28,28,31,28,28,28,28,31,28,28,28,27,27,29,28,28,27,28,28,30,28,26,29,27,26,29,28,29,29,28,29,27,28,27,28,27,30,26,31,28,3.4022,1.2002,1.4404,39553.47501,39553,,,54038,79107,27968,39553,27968,19776,55937,55937,27968,79107,55937,39553,79107,79107,39553,39553,111875,39553,39553,39553,39553,111875,39553,39553,39553,27968,27968,55937,39553,39553,27968,39553,39553,79107,39553,19776,55937,27968,19776,55937,39553,55937,55937,39553,55937,27968,39553,27968,39553,27968,,,79107,19776,111875,46637,4.734941936,21318.63482,454484190.7
I,28,29,28,29,28,30,30,28,26,28,30,28,31,30,29,28,29,28,30,28,28,28,30,30,28,27,29,29,27,28,30,28,28,29,29,29,28,30,29,26,27,29,29,31,29,30,28,30,29,28,26,31,28,3.4022,1.1294,1.2755,39553.47501,39553,,,50219,39553,55937,39553,55937,39553,79107,79107,39553,19776,39553,79107,39553,111875,79107,55937,39553,55937,39553,79107,39553,39553,39553,79107,79107,39553,27968,55937,55937,27968,39553,79107,39553,39553,55937,55937,55937,39553,79107,55937,19776,27968,55937,55937,111875,55937,79107,39553,79107,55937,,,39553,19776,111875,54249,5.507769906,21099.79988,445201555.1
M,29,27,28,29,26,30,29,29,29,28,29,31,30,28,28,27,29,28,29,29,28,27,29,27,26,27,27,28,31,31,30,27,29,29,29,30,29,28,27,29,28,26,28,28,30,29,27,28,27,27,26,31,28,3.4022,1.2739,1.6229,39553.47501,39553,,,48337,55937,27968,39553,55937,19776,79107,55937,55937,55937,39553,55937,111875,79107,39553,39553,27968,55937,39553,55937,55937,39553,27968,55937,27968,19776,27968,27968,39553,111875,111875,79107,27968,55937,55937,55937,79107,55937,39553,27968,55937,39553,19776,39553,39553,79107,55937,27968,39553,27968,,,27968,19776,111875,49355,5.01089391,22881.44509,523560529.2
N,30,27,28,28,28,29,28,28,27,29,27,28,31,30,29,29,28,29,29,29,31,28,30,27,29,29,30,28,27,28,27,30,28,28,28,29,25,29,31,28,26,29,28,30,27,27,29,27,28,28,25,31,28,3.4022,1.2617,1.5918,39553.47501,39553,,,46685,79107,27968,39553,39553,39553,55937,39553,39553,27968,55937,27968,39553,111875,79107,55937,55937,39553,55937,55937,55937,111875,39553,79107,27968,55937,55937,79107,39553,27968,39553,27968,79107,39553,39553,39553,55937,13983,55937,111875,39553,19776,55937,39553,79107,27968,27968,55937,27968,39553,,,39553,13983,111875,49906,5.066835609,22795.18816,519620603.1
U,27,28,26,27,28,30,27,29,29,29,29,27,26,27,27,29,25,30,28,29,28,28,25,29,26,29,28,28,27,28,28,28,27,27,27,28,29,27,27,27,29,26,28,28,26,27,29,27,28,29,25,30,27,3.2807,1.1824,1.398,27968.2375,27968,,,43099,27968,39553,19776,27968,39553,79107,27968,55937,55937,55937,55937,27968,19776,27968,27968,55937,13983,79107,39553,55937,39553,39553,13983,55937,19776,55937,39553,39553,27968,39553,39553,39553,27968,27968,27968,39553,55937,27968,27968,27968,55937,19776,39553,39553,19776,27968,55937,27968,39553,,,55937,13983,79107,38591,3.918050995,15373.24983,236336810.3
