Letter,exact,exact_Percent,fixed_Minimum,fixed_Maximum,fixed_Average,fixed_Average_Percent,fixed_STD,fixed_VAR,fixed_MeanAbsError,fixed_MeanRelError,decrease_Minimum,decrease_Maximum,decrease_Average,decrease_Average_Percent,decrease_STD,decrease_VAR,decrease_MeanAbsError,decrease_MeanRelError
A,141725.0,14.2031,8558.0,9150.0,8854.0,14.2101,131.9853,17420.1224,132871.0,93.7527,617.0,1747.0,865.0,8.0443,260.1711,67689.0204,140860.0,99.3897
E,118387.0,11.8643,7120.0,7804.0,7413.0,11.8973,134.6114,18120.222,110974.0,93.7383,308.0,1235.0,819.0,7.6165,252.0454,63526.882,117568.0,99.3082
O,104760.0,10.4986,6326.0,6838.0,6543.0,10.5011,111.8042,12500.1731,98217.0,93.7543,436.0,1235.0,723.0,6.7237,210.9241,44488.9898,104037.0,99.3099
S,73719.0,7.3878,4456.0,4796.0,4607.0,7.3939,75.6846,5728.1567,69112.0,93.7506,308.0,1235.0,591.0,5.4961,182.1084,33163.4616,73128.0,99.1983
R,68080.0,6.8227,4130.0,4460.0,4252.0,6.8242,77.5228,6009.7894,63828.0,93.7544,308.0,1235.0,632.0,5.8774,177.546,31522.5714,67448.0,99.0717
I,54038.0,5.4155,3212.0,3530.0,3353.0,5.3813,79.2763,6284.7282,50685.0,93.7951,308.0,1235.0,536.0,4.9847,192.0465,36881.8629,53502.0,99.0081
D,50219.0,5.0327,2962.0,3436.0,3134.0,5.0299,83.5227,6976.0392,47085.0,93.7593,308.0,873.0,517.0,4.808,149.1426,22243.5106,49702.0,98.9705
N,48337.0,4.8441,2850.0,3224.0,3018.0,4.8437,80.0557,6408.9078,45319.0,93.7563,308.0,873.0,503.0,4.6778,136.7958,18713.1037,47834.0,98.9594
M,46685.0,4.6786,2750.0,3078.0,2897.0,4.6495,70.5491,4977.182,43788.0,93.7946,308.0,873.0,474.0,4.4081,119.9387,14385.282,46211.0,98.9847
U,43099.0,4.3192,2470.0,2902.0,2690.0,4.3173,83.4566,6965.0024,40409.0,93.7586,217.0,873.0,460.0,4.2779,123.6243,15282.9616,42639.0,98.9327
T,41971.0,4.2062,2478.0,2782.0,2632.0,4.2242,78.0125,6085.9494,39339.0,93.729,217.0,1235.0,458.0,4.2593,159.6635,25492.4363,41513.0,98.9088
L,38457.0,3.854,2250.0,2602.0,2401.0,3.8534,63.6932,4056.818,36056.0,93.7567,217.0,873.0,424.0,3.9431,138.0714,19063.7159,38033.0,98.8975
C,35251.0,3.5327,2066.0,2356.0,2201.0,3.5325,66.5747,4432.1894,33050.0,93.7562,217.0,617.0,406.0,3.7757,117.152,13724.5812,34845.0,98.8483
P,23458.0,2.3509,1344.0,1582.0,1455.0,2.3352,51.6365,2666.3249,22003.0,93.7974,217.0,617.0,351.0,3.2642,107.5528,11567.5984,23107.0,98.5037
V,17162.0,1.7199,942.0,1148.0,1065.0,1.7093,43.3854,1882.2922,16097.0,93.7944,153.0,617.0,302.0,2.8085,99.6746,9935.0306,16860.0,98.2403
H,16282.0,1.6317,900.0,1130.0,1027.0,1.6483,46.5795,2169.6473,15255.0,93.6924,153.0,873.0,305.0,2.8364,123.7814,15321.8241,15977.0,98.1268
