Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Exp 51,Exp 52,Exp 53,Exp 54,Exp 55,Exp 56,Exp 57,Exp 58,Exp 59,Exp 60,Exp 61,Exp 62,Exp 63,Exp 64,Exp 65,Exp 66,Exp 67,Exp 68,Exp 69,Exp 70,Exp 71,Exp 72,Exp 73,Exp 74,Exp 75,Exp 76,Exp 77,Exp 78,Exp 79,Exp 80,Exp 81,Exp 82,Exp 83,Exp 84,Exp 85,Exp 86,Exp 87,Exp 88,Exp 89,Exp 90,Exp 91,Exp 92,Exp 93,Exp 94,Exp 95,Exp 96,Exp 97,Exp 98,Exp 99,Exp 100,Minimum,Maximum,Average,STD,Variance,Avg %,Mean Absolute Error
T,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,7857,0,0,38.0982,0
E,5415,5558,5398,5537,5431,5487,5445,5465,5422,5466,5445,5441,5494,5469,5530,5490,5499,5420,5530,5501,5480,5491,5532,5413,5471,5447,5446,5459,5473,5439,5509,5511,5351,5485,5396,5519,5503,5474,5467,5497,5419,5531,5546,5573,5516,5496,5474,5442,5465,5420,5430,5675,5475,5423,5434,5479,5474,5470,5534,5442,5421,5592,5412,5549,5519,5440,5546,5399,5429,5470,5444,5416,5488,5475,5445,5529,5547,5568,5494,5446,5437,5406,5455,5503,5407,5401,5459,5593,5426,5494,5526,5422,5506,5447,5328,5541,5477,5504,5479,5423,5328,5675,5474,54.3224,2950.9223,26.5432,42.21
H,3709,3768,3724,3731,3753,3721,3761,3758,3655,3740,3717,3735,3696,3750,3755,3743,3758,3687,3731,3732,3695,3754,3730,3769,3704,3711,3761,3749,3749,3741,3687,3781,3699,3758,3784,3688,3825,3743,3705,3664,3735,3730,3719,3750,3774,3727,3717,3735,3767,3736,3769,3687,3729,3730,3651,3699,3748,3633,3697,3760,3764,3764,3730,3703,3747,3717,3762,3805,3741,3763,3722,3705,3749,3727,3666,3756,3770,3697,3710,3778,3719,3723,3714,3772,3748,3743,3781,3802,3692,3735,3714,3722,3736,3661,3711,3776,3766,3697,3691,3714,3633,3825,3733,34.616,1198.2678,18.1011,27.27
R,1394,1423,1366,1397,1412,1371,1385,1376,1413,1443,1416,1391,1431,1454,1410,1347,1405,1367,1403,1413,1352,1392,1380,1379,1408,1378,1327,1364,1397,1412,1397,1458,1362,1388,1388,1429,1386,1449,1402,1423,1351,1413,1359,1387,1379,1394,1357,1419,1389,1362,1398,1391,1407,1402,1423,1378,1425,1385,1423,1421,1346,1365,1390,1360,1420,1400,1416,1412,1345,1402,1391,1396,1432,1387,1408,1438,1416,1398,1394,1375,1390,1420,1396,1412,1342,1383,1352,1371,1300,1387,1421,1394,1407,1403,1430,1371,1421,1397,1387,1373,1300,1458,1394,27.7491,770.01,6.7594,21.43
O,1329,1435,1227,1265,1274,1266,1279,1301,1257,1211,1252,1296,1254,1350,1285,1261,1290,1295,1281,1251,1230,1254,1303,1252,1242,1296,1270,1327,1278,1271,1280,1291,1248,1311,1334,1340,1258,1210,1253,1298,1287,1291,1240,1280,1240,1244,1324,1210,1281,1326,1291,1260,1260,1250,1272,1344,1234,1283,1326,1292,1282,1229,1257,1363,1293,1272,1269,1291,1241,1353,1331,1246,1326,1262,1309,1250,1207,1275,1293,1289,1291,1260,1270,1269,1294,1221,1277,1305,1302,1299,1232,1222,1249,1284,1268,1307,1263,1278,1304,1294,1207,1435,1279,37.1203,1377.9203,6.2018,28.03
P,601,567,543,551,579,556,596,551,594,617,571,535,531,537,551,534,569,517,578,571,557,594,557,557,569,565,551,569,562,530,555,558,544,552,544,567,550,549,613,576,545,580,548,552,578,569,556,551,579,597,553,588,551,566,568,573,556,566,516,557,582,546,588,568,554,557,599,565,574,565,574,544,568,562,554,526,571,557,591,553,562,553,581,598,549,543,566,586,541,540,557,577,601,558,561,571,533,565,570,606,516,617,564,20.1073,404.3041,2.7348,15.75
C,130,119,131,117,112,125,131,116,122,103,113,123,90,126,113,118,116,132,108,121,131,117,120,132,127,133,134,134,138,130,129,111,112,128,125,126,137,107,126,113,121,109,112,109,127,128,120,116,118,124,136,129,144,132,132,150,119,131,133,140,132,106,141,120,129,140,113,120,140,110,124,117,131,113,132,143,116,109,129,134,109,113,122,123,126,123,117,124,119,111,124,117,119,113,121,112,112,108,112,139,90,150,123,10.555,111.408,0.5964,8.67
U,67,62,58,63,67,62,57,70,62,70,78,67,68,68,53,68,72,71,60,58,59,58,59,66,77,56,66,55,74,72,71,61,57,65,67,72,66,52,62,61,80,73,70,69,61,83,56,57,80,66,70,61,61,70,84,84,76,69,65,61,73,66,70,67,81,71,66,72,73,79,65,79,69,77,55,63,55,74,73,76,61,62,67,73,69,68,67,73,74,64,74,73,78,59,56,64,83,66,55,63,52,84,68,7.6444,58.4368,0.3297,6.24
G,55,45,42,60,39,50,50,50,52,58,50,53,50,44,52,55,52,57,59,48,52,49,52,63,45,49,60,58,45,48,40,46,51,51,50,56,59,54,59,46,51,66,57,56,49,47,40,52,60,46,48,52,54,52,38,47,52,37,55,56,51,46,46,49,61,46,41,54,52,34,39,48,60,49,47,57,42,46,50,47,47,53,39,50,60,53,56,51,52,42,64,59,43,54,51,54,49,55,47,52,34,66,51,6.322,39.9672,0.2473,4.91
N,47,44,44,47,48,38,47,40,57,38,41,40,44,51,35,37,47,39,52,41,42,40,39,47,42,35,50,44,60,39,41,44,47,51,38,56,48,40,35,37,34,56,42,50,48,32,54,43,50,46,46,43,55,49,42,49,43,40,48,45,32,41,43,40,40,37,50,46,39,52,45,55,40,50,40,43,45,52,44,44,44,46,43,45,47,41,48,39,47,40,38,41,37,34,51,52,35,55,49,58,32,60,45,6.1157,37.4015,0.2182,5.03
