Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Exp 51,Exp 52,Exp 53,Exp 54,Exp 55,Exp 56,Exp 57,Exp 58,Exp 59,Exp 60,Exp 61,Exp 62,Exp 63,Exp 64,Exp 65,Exp 66,Exp 67,Exp 68,Exp 69,Exp 70,Exp 71,Exp 72,Exp 73,Exp 74,Exp 75,Exp 76,Exp 77,Exp 78,Exp 79,Exp 80,Exp 81,Exp 82,Exp 83,Exp 84,Exp 85,Exp 86,Exp 87,Exp 88,Exp 89,Exp 90,Exp 91,Exp 92,Exp 93,Exp 94,Exp 95,Exp 96,Exp 97,Exp 98,Exp 99,Exp 100,Minimum,Maximum,Average,STD,Variance,Avg %,Mean Absolute Error
E,5474,5408,5413,5504,5435,5546,5534,5464,5536,5538,5423,5491,5481,5543,5502,5423,5404,5469,5463,5504,5539,5442,5369,5464,5509,5461,5487,5520,5500,5547,5414,5540,5430,5508,5492,5503,5468,5463,5343,5494,5474,5494,5422,5432,5535,5397,5485,5373,5437,5565,5494,5476,5454,5475,5437,5445,5501,5456,5469,5482,5453,5535,5523,5486,5452,5488,5526,5569,5414,5534,5584,5487,5473,5466,5565,5450,5501,5422,5485,5448,5457,5461,5524,5520,5452,5493,5410,5386,5543,5460,5509,5550,5479,5450,5482,5418,5513,5454,5437,5563,5343,5584,5478,48.6239,2364.2799,12.4696,38.93
T,3937,3929,3935,3993,3892,3976,3934,3938,3985,3891,3926,3962,3963,3955,3986,3963,3991,3855,3943,3906,3897,3966,3998,3884,3903,3976,3970,3942,3900,3879,3932,3908,3910,3936,4029,3921,3846,3904,3898,3836,3943,3912,3883,3981,3931,3956,3958,3940,3961,3929,3915,3941,4023,3951,3897,3899,3973,3935,3906,3889,3873,3973,3978,3833,3925,3972,3938,3821,3848,3822,3868,3843,3893,3915,3908,3927,3928,3931,4022,3897,3998,3891,3954,3949,3814,3942,3967,3949,3942,3936,3947,3922,3958,3949,3984,3902,3930,3895,3955,3908,3814,4029,3929,44.9652,2021.8662,8.9436,34.97
O,3565,3628,3586,3597,3629,3598,3657,3588,3586,3644,3624,3648,3683,3695,3543,3606,3590,3611,3529,3546,3607,3632,3614,3674,3583,3634,3559,3589,3578,3591,3671,3569,3602,3580,3644,3596,3599,3621,3714,3626,3559,3667,3601,3641,3568,3620,3652,3502,3569,3674,3544,3585,3648,3621,3690,3661,3609,3594,3552,3541,3598,3598,3644,3570,3637,3655,3642,3590,3602,3550,3628,3656,3683,3658,3613,3665,3613,3642,3629,3597,3681,3628,3577,3650,3621,3634,3664,3612,3662,3659,3500,3639,3674,3636,3598,3650,3661,3554,3635,3682,3500,3714,3617,43.6375,1904.2282,8.2334,35.71
A,3207,3223,3146,3192,3151,3249,3233,3189,3199,3310,3198,3193,3181,3220,3196,3181,3266,3142,3208,3201,3201,3252,3226,3182,3149,3204,3237,3146,3220,3187,3189,3229,3272,3228,3204,3208,3195,3211,3219,3176,3201,3212,3218,3231,3164,3152,3168,3258,3157,3145,3219,3197,3241,3207,3238,3253,3301,3232,3246,3206,3217,3224,3201,3189,3210,3213,3217,3230,3227,3168,3165,3191,3177,3173,3231,3226,3178,3213,3182,3268,3176,3170,3192,3277,3185,3171,3196,3173,3238,3258,3185,3264,3143,3230,3227,3261,3285,3220,3196,3213,3142,3310,3209,35.6659,1272.0529,7.3046,28.14
I,2988,2924,2940,2942,2894,2944,2874,2959,2884,2879,3023,2943,2932,2935,2992,2967,2987,2847,2879,2949,2953,2954,2960,2909,2980,2932,2848,2947,2977,2981,2928,2891,2872,2926,2943,2909,2865,2911,2991,2898,2940,2949,2953,2960,2910,2968,2947,2883,2949,2916,2991,2935,2954,2959,2964,2948,2952,2949,3034,2952,2898,2988,2945,2937,2931,2952,2978,2959,2930,2979,2971,3012,2954,2906,2941,2966,2864,2883,2869,2940,2898,2962,2926,2965,2906,3014,2922,3021,2971,2952,2904,2995,2965,2939,2966,2928,2913,2912,2999,2904,2847,3034,2941,39.5064,1560.7551,6.6946,30.83
N,2851,2900,2858,2788,2886,2790,2766,2788,2837,2865,2887,2784,2841,2872,2892,2827,2869,2859,2855,2831,2869,2802,2849,2903,2889,2806,2870,2868,2903,2894,2775,2786,2829,2842,2873,2840,2857,2854,2895,2817,2872,2875,2889,2866,2852,2919,2858,2866,2837,2865,2880,2820,2792,2786,2825,2814,2894,2940,2863,2868,2874,2823,2903,2848,2851,2810,2852,2844,2838,2842,2871,2862,2839,2862,2811,2907,2940,2836,2787,2883,2806,2760,2853,2791,2883,2779,2829,2899,2886,2853,2864,2805,2842,2903,2863,2885,2834,2820,2861,2809,2760,2940,2850,38.7547,1501.9257,6.4874,31.06
R,2752,2723,2799,2773,2818,2752,2908,2741,2798,2793,2820,2816,2811,2840,2812,2810,2803,2775,2749,2786,2747,2860,2756,2753,2826,2816,2820,2750,2821,2810,2790,2784,2791,2747,2744,2759,2804,2743,2787,2803,2722,2769,2808,2840,2757,2760,2796,2810,2767,2735,2788,2777,2796,2781,2814,2748,2824,2846,2787,2805,2761,2839,2795,2793,2799,2806,2760,2740,2836,2768,2705,2727,2749,2739,2724,2721,2837,2775,2791,2750,2835,2802,2814,2738,2723,2812,2744,2835,2827,2828,2837,2783,2847,2808,2762,2784,2750,2814,2737,2778,2705,2908,2786,37.8512,1432.7122,6.3418,31.41
S,2796,2711,2725,2696,2744,2768,2653,2647,2811,2773,2799,2731,2733,2751,2754,2710,2711,2704,2697,2717,2732,2790,2637,2796,2735,2759,2745,2772,2709,2718,2756,2691,2712,2747,2732,2711,2747,2683,2678,2710,2735,2763,2796,2777,2755,2744,2753,2710,2704,2693,2788,2690,2718,2712,2727,2697,2756,2700,2767,2782,2650,2741,2741,2745,2749,2738,2689,2781,2711,2784,2826,2684,2750,2748,2760,2758,2682,2726,2764,2733,2712,2700,2714,2706,2690,2770,2778,2783,2770,2751,2711,2795,2746,2753,2717,2771,2764,2743,2735,2756,2637,2826,2736,37.6134,1414.7688,6.2279,30.53
H,2696,2650,2659,2676,2680,2618,2589,2605,2700,2639,2622,2640,2634,2680,2608,2575,2621,2622,2688,2724,2665,2612,2603,2695,2636,2620,2656,2608,2648,2609,2636,2596,2615,2652,2604,2653,2537,2606,2610,2706,2686,2589,2646,2635,2673,2659,2678,2733,2692,2663,2621,2639,2610,2622,2640,2601,2608,2698,2562,2673,2659,2578,2647,2616,2579,2655,2637,2684,2667,2694,2625,2636,2556,2678,2657,2670,2665,2639,2624,2616,2608,2693,2615,2620,2662,2617,2655,2642,2612,2626,2603,2646,2556,2598,2616,2586,2654,2616,2617,2655,2537,2733,2637,37.9777,1442.303,6.0026,30.66
L,1852,1828,1882,1883,1873,1867,1924,1827,1892,1850,1917,1837,1897,1894,1926,1858,1886,1848,1873,1839,1902,1874,1892,1863,1860,1851,1937,1861,1853,1975,1910,1861,1861,1888,1921,1827,1850,1889,1941,1816,1838,1887,1819,1874,1838,1900,1890,1893,1851,1886,1869,1905,1932,1919,1839,1918,1912,1885,1900,1849,1839,1870,1862,1895,1907,1902,1829,1838,1945,1840,1855,1913,1911,1869,1905,1844,1894,1857,1874,1846,1852,1842,1884,1907,1969,1896,1868,1895,1889,1884,1872,1818,1892,1874,1852,1889,1918,1869,1903,1878,1816,1975,1879,32.9187,1083.6439,4.2772,26.85
