Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Exp 51,Exp 52,Exp 53,Exp 54,Exp 55,Exp 56,Exp 57,Exp 58,Exp 59,Exp 60,Exp 61,Exp 62,Exp 63,Exp 64,Exp 65,Exp 66,Exp 67,Exp 68,Exp 69,Exp 70,Exp 71,Exp 72,Exp 73,Exp 74,Exp 75,Exp 76,Exp 77,Exp 78,Exp 79,Exp 80,Exp 81,Exp 82,Exp 83,Exp 84,Exp 85,Exp 86,Exp 87,Exp 88,Exp 89,Exp 90,Exp 91,Exp 92,Exp 93,Exp 94,Exp 95,Exp 96,Exp 97,Exp 98,Exp 99,Exp 100,Minimum,Maximum,Average,Avg Percent (100%)
R,8512,8645,8587,8611,8506,8642,8526,8514,8558,8567,8484,8660,8606,8563,8598,8539,8647,8639,8504,8577,8532,8639,8564,8556,8642,8675,8586,8612,8608,8532,8549,8548,8621,8600,8626,8616,8586,8591,8571,8564,8566,8563,8616,8601,8611,8504,8568,8705,8536,8515,8734,8638,8485,8528,8589,8660,8548,8581,8522,8559,8554,8609,8535,8547,8620,8552,8642,8564,8532,8597,8546,8650,8601,8642,8533,8662,8587,8605,8681,8567,8657,8619,8559,8594,8575,8591,8585,8657,8608,8545,8660,8640,8618,8568,8629,8527,8567,8551,8548,8490,8484,8734,8586,28.0414
O,8080,8061,8114,8163,8247,8130,8105,8093,8165,8192,8181,8123,8076,8106,8152,8097,8180,8042,8155,8047,8152,8081,8338,8143,8122,8158,8093,8178,8116,8086,8221,8173,8121,8133,8196,8229,8114,8016,8178,8149,8100,8153,8132,8104,8111,8209,8128,8025,8028,8183,8107,8149,8144,8057,8076,8180,8058,8097,8064,8070,8083,8165,8118,8109,8119,8114,8132,8103,8154,8020,8031,8164,8164,8052,8101,8061,8153,8133,8094,8129,8244,8314,8131,8096,8172,8122,7998,8090,8053,8113,8064,8192,8078,8135,8161,8168,8159,8104,8138,8127,7998,8338,8126,26.5391
E,5876,5948,5917,5908,5892,5837,5913,5992,5790,6045,5809,5885,5813,5876,6028,5889,5803,6012,5887,5989,5804,5982,5877,5900,5772,5882,5833,5860,5978,5829,5893,5889,5908,5887,5859,5916,5930,5852,5825,5848,5786,5853,5939,5785,5834,6019,5889,5931,5940,6009,5850,5859,5903,5976,6017,5933,5892,5972,5836,5900,5829,5902,5878,5962,5896,5835,5907,5851,5934,5943,5853,5901,5872,5838,5904,5883,5950,5959,5961,5968,5828,5765,5933,5875,6001,5894,5926,5837,5905,5954,5897,5903,5806,5944,5824,5772,5882,5984,5733,5896,5733,6045,5894,19.2495
P,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,4388,14.331
C,1195,1169,1285,1217,1185,1260,1199,1201,1232,1200,1184,1188,1192,1219,1203,1191,1212,1200,1244,1171,1180,1246,1244,1202,1149,1273,1252,1231,1213,1253,1241,1214,1271,1262,1248,1235,1188,1205,1296,1189,1225,1230,1233,1230,1263,1222,1239,1262,1218,1215,1186,1235,1189,1199,1251,1179,1184,1226,1229,1230,1224,1192,1242,1255,1213,1250,1225,1213,1192,1225,1231,1172,1231,1233,1314,1248,1198,1221,1213,1233,1253,1180,1187,1206,1245,1215,1227,1203,1231,1183,1233,1238,1217,1188,1208,1182,1202,1229,1247,1237,1149,1314,1221,3.9877
T,1146,1139,1044,1048,1100,1058,1089,1085,1068,1163,1063,1045,1071,1091,1102,1077,1089,1118,1082,1116,1093,1143,1113,1115,1097,1072,1136,1050,1159,1106,1130,1116,1106,1130,1126,1108,1091,1088,1089,1080,1091,1069,1041,1054,1026,1156,1091,1104,1068,1071,1110,1091,1080,1063,1141,1081,1090,1102,1057,1111,1105,1167,1092,1043,1058,1116,1122,1092,1085,1053,1061,1092,1085,1096,1085,1091,1065,1015,1094,1093,1074,1064,1144,1076,1123,1026,1068,1147,1103,1066,1135,1122,1075,1058,1075,1080,1125,1087,1109,1052,1015,1167,1092,3.5664
U,529,464,497,512,522,533,468,477,502,441,479,469,462,467,526,497,485,477,461,531,456,524,485,451,534,506,513,463,467,522,496,492,486,480,506,508,488,537,477,546,485,505,569,474,488,440,489,509,489,501,517,482,512,528,498,475,504,512,488,513,478,517,460,487,461,514,475,496,498,449,508,448,490,487,508,463,468,508,499,439,484,494,470,521,513,468,477,503,504,469,497,499,478,476,490,476,469,495,500,487,439,569,492,1.6068
N,251,251,236,279,270,253,231,247,244,225,240,239,234,262,253,240,238,244,273,226,245,259,259,228,256,214,232,238,241,240,263,243,248,248,256,280,248,266,269,259,226,246,264,228,264,243,251,251,268,255,222,221,268,225,267,212,243,222,257,223,243,224,253,214,244,239,219,232,262,242,257,263,230,226,232,236,251,249,246,240,239,254,236,233,264,236,248,250,249,256,266,238,246,218,239,200,234,220,247,206,200,280,244,0.7969
J,242,221,221,233,217,227,226,230,243,217,223,232,223,225,231,230,228,215,234,236,223,230,213,222,231,227,227,213,215,213,212,234,209,242,224,233,239,222,225,205,226,227,207,254,224,219,233,215,218,208,236,218,222,213,237,224,245,229,221,237,221,229,245,238,222,212,229,227,231,241,224,203,242,249,233,224,232,230,224,243,214,204,219,222,223,219,236,219,223,233,230,216,217,245,236,220,217,219,217,221,203,254,226,0.7381
G,212,200,197,188,199,196,220,189,199,203,198,192,203,192,179,203,189,180,176,184,199,177,189,194,200,204,186,176,195,195,195,182,186,185,189,180,176,206,185,205,211,174,209,204,193,195,232,193,188,198,186,194,200,193,190,197,195,189,182,184,203,184,185,192,198,229,194,192,210,194,192,173,191,197,202,192,219,206,182,191,182,188,174,188,197,212,199,194,200,217,208,198,190,191,171,192,213,174,189,179,171,232,194,0.6336
S,52,62,54,59,44,45,62,54,42,55,41,58,46,39,54,50,58,54,59,46,47,57,52,61,37,55,56,58,49,40,51,50,43,55,49,44,55,58,48,46,60,49,49,51,56,50,46,55,56,56,55,49,53,52,48,63,53,71,50,50,52,40,48,53,66,43,45,57,45,40,46,60,57,51,59,58,55,57,59,63,55,51,69,34,55,47,53,61,45,42,41,57,53,46,59,46,45,54,56,55,34,71,52,0.1698
A,38,42,41,41,39,32,36,35,33,49,37,45,33,45,44,51,38,35,33,37,35,44,37,29,40,34,33,36,29,35,34,36,35,35,38,36,35,43,34,32,32,35,43,32,38,37,26,35,30,32,34,40,36,35,27,40,41,31,25,40,30,39,36,32,45,30,38,37,35,34,32,51,30,28,36,32,28,40,33,33,46,38,34,32,35,45,37,36,40,37,35,34,36,32,36,36,29,36,35,42,25,51,37,0.1208
