Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Exp 51,Exp 52,Exp 53,Exp 54,Exp 55,Exp 56,Exp 57,Exp 58,Exp 59,Exp 60,Exp 61,Exp 62,Exp 63,Exp 64,Exp 65,Exp 66,Exp 67,Exp 68,Exp 69,Exp 70,Exp 71,Exp 72,Exp 73,Exp 74,Exp 75,Exp 76,Exp 77,Exp 78,Exp 79,Exp 80,Exp 81,Exp 82,Exp 83,Exp 84,Exp 85,Exp 86,Exp 87,Exp 88,Exp 89,Exp 90,Exp 91,Exp 92,Exp 93,Exp 94,Exp 95,Exp 96,Exp 97,Exp 98,Exp 99,Exp 100,Minimum,Maximum,Average,Avg Percent (100%)
E,11765,11757,11771,11754,11831,11758,11746,11715,11677,11814,11889,11740,11810,11738,11673,11869,11778,11815,11883,11868,11712,11711,11708,11817,11767,11752,11905,11804,11789,11732,11817,11652,11861,11722,11936,11758,11858,11866,11855,11712,11814,11859,11815,11746,11686,11835,11829,11661,11853,11861,11687,11720,11791,11837,11804,11819,11668,11786,11904,11796,11878,11840,11889,11821,11776,11697,11800,11711,11615,11760,11938,11709,11859,11704,11768,11825,11827,11766,11778,11780,11795,11888,11813,11746,11869,11790,11737,11881,11732,11701,11788,11875,11789,11846,11834,11683,11787,11772,11923,11848,11615,11938,11790,13.0994
A,9460,9303,9385,9410,9414,9334,9404,9277,9357,9338,9401,9248,9279,9303,9419,9300,9280,9303,9417,9383,9276,9226,9341,9395,9334,9350,9432,9371,9465,9402,9370,9326,9432,9398,9383,9423,9361,9369,9353,9379,9254,9353,9370,9382,9302,9243,9317,9333,9347,9387,9425,9360,9238,9305,9403,9466,9457,9324,9251,9254,9299,9320,9381,9347,9416,9401,9461,9362,9483,9316,9304,9380,9302,9436,9435,9255,9313,9283,9338,9209,9420,9327,9412,9406,9369,9348,9325,9383,9311,9387,9359,9390,9365,9296,9353,9253,9307,9301,9317,9250,9209,9483,9351,10.3895
O,8106,8157,8195,7996,8061,8170,8159,8079,8054,8255,8025,8111,8134,8023,8138,8109,8174,8084,8029,8076,8103,8105,8082,8145,8100,8104,8041,8026,8137,8131,8094,8023,8088,8095,8182,8116,8049,8109,8158,8246,8099,8195,8211,8168,8203,8063,8220,8206,8090,8041,8115,8033,8127,8225,8099,8137,8087,8075,8052,8064,8107,8093,8087,8040,8014,8087,8156,8190,8125,8104,8095,8080,8059,8215,8133,8042,8174,8194,8092,8076,8157,8096,8096,8092,8257,8128,8109,8124,8094,8184,8199,8016,8097,7999,8043,8170,8142,8183,8189,8031,7996,8257,8114,9.0152
S,6541,6476,6451,6574,6506,6667,6562,6519,6522,6618,6692,6527,6533,6561,6584,6520,6556,6542,6721,6488,6577,6583,6604,6569,6538,6533,6563,6559,6503,6654,6612,6657,6569,6507,6484,6512,6439,6625,6606,6597,6535,6524,6440,6414,6488,6655,6594,6509,6602,6479,6528,6517,6528,6531,6570,6609,6610,6577,6569,6617,6557,6612,6484,6604,6620,6554,6532,6482,6520,6548,6638,6537,6511,6511,6499,6511,6510,6526,6588,6505,6516,6573,6628,6484,6541,6514,6630,6488,6560,6608,6554,6652,6492,6582,6603,6568,6515,6486,6556,6553,6414,6721,6553,7.2808
R,6098,6017,6098,6083,6057,6022,6122,6133,6085,6150,6033,6085,6040,6169,6127,6122,6091,6041,6036,6055,6133,6118,6088,6088,6051,6121,6072,6162,6021,6073,6056,6109,6078,6009,6013,6050,6019,6076,6061,6031,6091,5955,6035,6058,6160,6042,6112,6050,6088,6060,6042,6106,6145,5972,5956,6083,5995,6059,6005,6120,6021,6122,6086,6051,6057,5992,6072,6035,5982,5953,6113,6113,6027,6096,6081,6001,6107,6102,6114,6067,6000,6063,5984,6083,5925,6084,6045,6125,5986,6093,6112,6039,6156,6061,6025,6037,6051,6087,6040,5961,5925,6169,6064,6.7375
N,5500,5517,5537,5475,5536,5414,5603,5503,5548,5461,5475,5621,5550,5490,5452,5640,5532,5477,5521,5545,5606,5485,5534,5512,5497,5525,5584,5491,5491,5479,5650,5511,5493,5493,5482,5501,5532,5524,5502,5527,5519,5472,5588,5507,5452,5515,5492,5602,5606,5633,5501,5430,5510,5509,5519,5580,5444,5528,5568,5465,5514,5482,5546,5550,5570,5482,5550,5567,5624,5480,5526,5520,5561,5537,5540,5586,5495,5508,5509,5580,5532,5555,5437,5536,5540,5482,5577,5549,5446,5590,5425,5542,5514,5513,5647,5473,5524,5608,5519,5467,5414,5650,5525,6.1386
I,5286,5337,5366,5241,5237,5262,5361,5361,5333,5286,5200,5350,5276,5252,5249,5302,5189,5415,5282,5302,5342,5304,5349,5330,5220,5288,5323,5318,5282,5287,5334,5311,5373,5356,5225,5350,5294,5251,5336,5312,5321,5358,5287,5304,5261,5337,5301,5212,5290,5166,5336,5290,5339,5350,5367,5325,5315,5276,5323,5282,5299,5271,5314,5293,5310,5390,5362,5318,5342,5374,5322,5328,5266,5274,5337,5279,5363,5214,5316,5350,5357,5351,5255,5229,5325,5363,5365,5352,5272,5265,5308,5284,5270,5279,5292,5355,5317,5293,5243,5264,5166,5415,5305,5.8942
L,4709,4667,4746,4672,4742,4711,4644,4722,4758,4745,4759,4670,4725,4680,4764,4673,4744,4776,4738,4701,4714,4662,4623,4722,4697,4663,4717,4675,4789,4653,4671,4668,4719,4659,4708,4698,4699,4752,4677,4721,4702,4753,4750,4674,4751,4638,4799,4690,4778,4728,4735,4716,4727,4652,4761,4770,4671,4711,4655,4616,4624,4695,4737,4746,4725,4771,4712,4561,4652,4722,4742,4747,4733,4677,4766,4720,4722,4721,4792,4693,4702,4741,4642,4790,4764,4688,4766,4696,4682,4680,4784,4777,4749,4759,4706,4687,4707,4790,4708,4634,4561,4799,4713,5.2364
T,4375,4341,4402,4405,4380,4423,4399,4393,4401,4413,4349,4300,4364,4356,4425,4452,4292,4406,4345,4324,4384,4362,4402,4348,4327,4393,4367,4407,4432,4371,4335,4415,4325,4403,4391,4413,4440,4307,4323,4453,4365,4417,4332,4436,4427,4342,4396,4332,4280,4283,4353,4445,4287,4358,4370,4389,4355,4429,4428,4339,4376,4469,4269,4475,4362,4357,4436,4317,4416,4395,4438,4449,4392,4407,4368,4402,4303,4363,4401,4412,4434,4395,4408,4406,4372,4451,4258,4435,4334,4403,4489,4362,4405,4448,4403,4388,4364,4368,4290,4403,4258,4489,4382,4.8687
D,4076,4034,4045,4039,4106,4081,4093,4115,4113,4087,4074,4023,4116,4118,4125,4040,4126,4098,4063,4059,4098,4106,4080,4060,4109,4035,4132,4076,4142,4177,4124,4029,4112,4064,4101,4175,4148,4048,4039,4107,4182,4125,4063,4019,4093,3999,4096,4056,4030,4043,4084,4164,4065,4119,4042,4061,4002,4083,4072,4131,4132,4040,4092,4038,4011,4135,4084,4035,4071,4003,4097,4112,4081,4106,4146,4028,4062,4085,4013,4078,4139,4114,4035,4050,4100,4150,4095,4179,4031,4108,4050,4065,4082,4103,4070,4098,4056,4102,4139,4107,3999,4182,4085,4.5387
