Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Exp 51,Exp 52,Exp 53,Exp 54,Exp 55,Exp 56,Exp 57,Exp 58,Exp 59,Exp 60,Exp 61,Exp 62,Exp 63,Exp 64,Exp 65,Exp 66,Exp 67,Exp 68,Exp 69,Exp 70,Exp 71,Exp 72,Exp 73,Exp 74,Exp 75,Exp 76,Exp 77,Exp 78,Exp 79,Exp 80,Exp 81,Exp 82,Exp 83,Exp 84,Exp 85,Exp 86,Exp 87,Exp 88,Exp 89,Exp 90,Exp 91,Exp 92,Exp 93,Exp 94,Exp 95,Exp 96,Exp 97,Exp 98,Exp 99,Exp 100,Minimum,Maximum,Average,Avg Percent (100%)
E,19647,19707,19539,19583,19714,19628,19476,19661,19370,19601,19525,19493,19633,19485,19501,19412,19630,19583,19766,19523,19773,19440,19482,19443,19406,19579,19506,19501,19550,19586,19455,19569,19487,19484,19872,19495,19479,19827,19532,19552,19405,19513,19622,19670,19518,19415,19605,19594,19514,19555,19701,19571,19597,19598,19502,19596,19498,19588,19531,19623,19587,19470,19464,19254,19703,19552,19476,19554,19464,19702,19729,19577,19625,19636,19809,19614,19652,19536,19419,19644,19345,19510,19638,19744,19504,19732,19631,19510,19445,19410,19674,19576,19501,19522,19647,19599,19690,19560,19586,19423,19254,19872,19565,38.3222
T,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,18173,35.5956
R,4344,4328,4323,4299,4333,4354,4310,4327,4320,4327,4357,4294,4392,4245,4241,4334,4341,4402,4389,4317,4364,4281,4226,4290,4346,4339,4316,4373,4337,4365,4322,4234,4275,4319,4416,4262,4438,4366,4354,4298,4211,4432,4245,4167,4353,4365,4364,4272,4230,4321,4391,4328,4291,4317,4222,4354,4308,4240,4235,4329,4361,4306,4326,4326,4371,4296,4235,4360,4277,4345,4288,4444,4305,4335,4285,4303,4334,4409,4346,4342,4394,4346,4438,4275,4271,4349,4253,4282,4360,4318,4398,4259,4321,4219,4384,4394,4339,4371,4188,4274,4167,4444,4321,8.4636
O,2966,2895,2829,2822,2843,2807,2880,2956,2951,2844,2930,2924,2792,2869,2946,2827,2873,2966,2922,2872,2802,2815,2858,2907,2861,2850,2960,2857,2958,2934,2893,2887,2845,2927,2990,2782,2875,2915,2956,2833,2894,2840,2936,2882,2872,2895,2822,2916,2845,2851,3042,2878,2779,2894,2876,2950,2983,2922,2901,2892,2806,2809,2918,2865,2920,2776,2829,2847,2852,2825,2839,2778,2880,2888,2855,2801,2920,2887,2826,2921,2839,2831,2854,2836,2906,2799,2959,2843,2942,2909,2905,2901,2866,2884,2809,2851,2887,2811,2823,2924,2776,3042,2878,5.6372
P,2492,2477,2533,2531,2514,2435,2472,2502,2502,2494,2535,2513,2480,2494,2453,2506,2441,2549,2547,2513,2451,2470,2464,2492,2537,2533,2507,2481,2499,2472,2484,2461,2477,2453,2488,2522,2481,2554,2456,2473,2472,2452,2475,2479,2523,2553,2518,2484,2450,2463,2509,2445,2506,2398,2437,2468,2483,2434,2484,2545,2519,2525,2516,2473,2483,2437,2505,2481,2463,2504,2482,2415,2547,2519,2512,2524,2467,2493,2503,2453,2472,2527,2479,2519,2520,2462,2531,2459,2539,2530,2538,2521,2484,2515,2478,2452,2493,2537,2481,2518,2398,2554,2492,4.8811
H,2392,2365,2346,2380,2361,2365,2399,2358,2412,2391,2389,2352,2356,2340,2383,2350,2322,2325,2427,2363,2375,2395,2382,2356,2354,2396,2363,2386,2342,2357,2339,2389,2415,2365,2335,2326,2376,2360,2360,2360,2350,2384,2336,2355,2341,2354,2381,2342,2363,2385,2391,2367,2446,2423,2410,2411,2396,2367,2328,2397,2382,2349,2427,2369,2394,2405,2384,2340,2353,2294,2361,2343,2381,2386,2400,2335,2387,2388,2333,2336,2345,2325,2373,2383,2396,2347,2372,2349,2403,2344,2346,2347,2355,2358,2415,2417,2378,2345,2431,2390,2294,2446,2370,4.6421
C,503,480,487,494,488,471,441,485,490,490,482,464,459,492,459,495,477,492,542,482,461,489,526,502,485,487,474,457,518,482,496,495,482,506,478,508,481,503,484,487,483,439,526,487,454,496,492,471,503,512,495,503,485,501,480,459,467,496,497,461,466,524,480,449,510,517,461,462,503,466,470,467,506,490,482,488,513,479,497,531,482,455,489,457,487,492,485,465,514,482,483,525,477,527,476,514,511,472,459,517,439,542,488,0.9559
U,338,349,363,304,329,369,334,319,328,340,354,325,363,355,340,338,348,363,335,338,321,355,321,349,342,320,354,357,315,332,347,327,347,349,358,311,346,343,347,311,302,350,369,366,305,368,370,328,337,311,317,341,361,366,360,346,356,306,350,333,322,362,343,334,341,355,325,343,347,343,364,336,355,324,329,356,351,357,336,323,386,357,353,313,344,313,344,350,333,331,340,340,349,312,335,385,319,342,366,335,302,386,342,0.6699
J,199,172,188,159,173,167,167,164,178,184,166,181,194,184,184,175,185,175,182,180,166,170,161,186,186,165,149,184,194,176,200,183,185,168,180,180,179,192,182,171,180,172,174,183,197,164,180,188,187,170,175,174,176,178,183,176,178,183,185,184,187,191,180,191,188,169,190,190,186,192,184,170,162,169,201,183,177,163,182,185,156,178,160,172,181,166,158,169,167,180,182,186,163,159,158,179,160,160,183,192,149,201,178,0.3487
N,137,138,148,145,144,152,133,131,120,142,146,155,120,136,150,112,130,150,124,147,152,158,133,159,155,155,136,147,136,135,147,155,151,125,149,132,122,121,152,143,153,134,122,125,141,132,134,144,134,137,141,132,134,150,148,153,142,143,130,143,172,146,147,155,157,127,138,146,163,152,138,117,154,138,148,155,128,139,142,156,153,145,121,122,123,135,131,152,144,140,156,162,142,144,128,149,141,135,134,139,112,172,142,0.2781
