Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Exp 51,Exp 52,Exp 53,Exp 54,Exp 55,Exp 56,Exp 57,Exp 58,Exp 59,Exp 60,Exp 61,Exp 62,Exp 63,Exp 64,Exp 65,Exp 66,Exp 67,Exp 68,Exp 69,Exp 70,Exp 71,Exp 72,Exp 73,Exp 74,Exp 75,Exp 76,Exp 77,Exp 78,Exp 79,Exp 80,Exp 81,Exp 82,Exp 83,Exp 84,Exp 85,Exp 86,Exp 87,Exp 88,Exp 89,Exp 90,Exp 91,Exp 92,Exp 93,Exp 94,Exp 95,Exp 96,Exp 97,Exp 98,Exp 99,Exp 100,Minimum,Maximum,Average,Avg Percent (100%)
E,19516,19678,19551,19504,19603,19514,19572,19558,19515,19524,19616,19559,19558,19424,19498,19795,19617,19690,19441,19429,19616,19564,19588,19535,19505,19487,19579,19608,19522,19530,19801,19558,19552,19587,19432,19571,19611,19519,19434,19566,19417,19649,19482,19486,19578,19618,19678,19564,19515,19278,19395,19526,19568,19739,19464,19429,19550,19505,19736,19516,19663,19820,19579,19623,19450,19594,19621,19575,19737,19410,19489,19711,19663,19532,19623,19517,19463,19408,19523,19651,19611,19505,19459,19462,19549,19615,19612,19638,19692,19418,19750,19687,19568,19547,19369,19522,19447,19661,19597,19519,19278,19820,19559,15.2866
S,9921,9947,9865,9987,9805,9893,9967,9947,10092,9923,9966,10009,10071,10004,9885,9878,9966,10046,9901,9769,9810,9971,10013,9870,9962,10001,9970,10011,9988,9971,9966,10057,9879,9926,9889,10048,9869,9951,9978,9976,9903,9836,9995,9930,10019,9997,9882,9907,9962,9984,9934,9985,10018,9870,10026,9846,9910,9928,10120,9897,10052,9829,9983,9885,9918,9962,9845,10105,9901,9796,10045,9878,9971,9825,9866,10066,9932,9912,9924,10030,9857,10051,10012,9929,9952,10005,10115,9938,9952,10008,10061,9917,10069,9905,10034,9907,9976,10020,9972,9977,9769,10120,9953,7.7789
A,9109,9055,9148,9258,9107,9064,9070,9126,9203,9230,9165,9136,9160,9049,9162,9183,9113,9185,9163,9169,9095,9149,9100,9210,9089,8989,9002,9006,9016,9110,9138,9115,9118,9046,9122,9104,9105,9208,9181,8947,9205,9049,9112,9027,9022,9144,9144,9172,8929,9105,9133,9078,9143,9153,9158,9058,9150,9051,9120,9127,8961,9122,9139,9071,9153,9131,9037,9088,9123,9186,9017,9251,9194,9186,9147,9092,9028,9215,9121,9133,9162,9126,9063,9030,9041,9090,9053,9285,9009,9050,9148,9131,9231,9140,9129,9141,9192,9062,9147,9034,8929,9285,9115,7.1239
T,9130,9158,9126,9032,8997,9109,9052,9004,9021,9103,9114,9057,9058,9110,9179,9050,9130,9049,9018,9105,9069,9039,9095,9140,9133,9073,9174,9175,9091,9011,8990,9064,9127,9210,8993,9087,9072,9125,9056,9039,9105,9175,9138,9109,8875,8974,9114,8871,9078,9107,9064,9172,9057,9162,9174,9079,9019,9121,9027,8959,9056,9093,9134,9155,9167,9163,8927,8976,9108,9085,8955,9130,9185,9052,9116,9121,9092,9089,9002,9228,9027,9039,9046,8986,9120,8959,9083,9109,9076,9044,9074,9178,9105,9114,8978,9196,9055,9078,9138,9170,8871,9228,9082,7.0981
N,9013,9144,9162,9098,9081,9049,9080,9029,8949,9055,9188,8912,8983,9043,9041,9087,8982,9101,9181,9066,9016,9042,9068,8923,9146,8895,8976,9134,9045,9033,9049,9081,9077,9130,9003,9091,9207,9073,9217,9012,9034,9109,9002,9013,9026,9212,9040,9140,9132,9157,9108,9053,9116,9019,9177,9072,9031,9045,9100,8961,9084,9070,9118,9131,9014,9109,9098,9171,9143,9062,8957,9152,9108,9053,9095,9150,9105,9046,9082,9105,9058,9087,9091,9205,9186,9151,9053,9115,9105,8978,9017,9175,9032,9059,8997,9027,8942,9068,9069,9060,8895,9217,9074,7.0919
I,8680,8729,8600,8600,8675,8722,8719,8672,8716,8660,8635,8647,8774,8642,8665,8719,8691,8698,8568,8757,8690,8609,8781,8617,8605,8648,8700,8759,8747,8623,8724,8576,8621,8649,8703,8636,8687,8601,8767,8615,8655,8645,8702,8649,8589,8641,8674,8753,8714,8550,8587,8591,8649,8569,8561,8664,8688,8662,8576,8651,8735,8576,8622,8595,8647,8524,8598,8624,8624,8595,8774,8629,8755,8658,8633,8615,8651,8712,8539,8589,8746,8697,8650,8677,8796,8576,8641,8583,8595,8628,8651,8628,8724,8607,8724,8677,8562,8631,8697,8718,8524,8796,8656,6.7652
R,8621,8482,8534,8691,8581,8605,8531,8725,8591,8602,8673,8726,8581,8584,8692,8575,8596,8707,8687,8590,8768,8599,8639,8630,8771,8581,8676,8631,8603,8500,8586,8696,8687,8669,8709,8632,8596,8700,8649,8718,8601,8742,8700,8711,8706,8582,8622,8674,8662,8717,8674,8504,8600,8556,8640,8765,8697,8663,8661,8625,8644,8620,8744,8689,8639,8666,8675,8634,8622,8601,8604,8628,8649,8584,8552,8716,8659,8750,8588,8545,8648,8628,8637,8681,8656,8617,8633,8679,8690,8635,8660,8652,8712,8622,8581,8538,8692,8670,8566,8517,8482,8771,8641,6.7535
O,8084,8152,8160,7965,8216,8215,8215,8020,8185,8178,8107,8115,8243,8078,8115,8185,8136,8140,8043,8134,8120,8207,8005,8107,8057,8171,8176,8166,8117,8160,8040,8046,8105,8123,8096,8055,8081,8147,8014,8209,8121,8161,8138,8003,8152,8103,8193,8139,8035,8126,8159,8057,8132,8185,8036,8189,8252,8119,8197,8089,8084,8076,8198,8104,8138,8132,8164,8111,8008,8106,8056,8083,8130,8103,8174,8041,8185,8083,8099,8175,8167,8006,8175,8221,8116,8158,8105,8089,8138,8128,8232,8175,8132,8068,8112,8185,8163,8112,8139,8041,7965,8252,8124,6.3494
U,7790,7950,7833,7758,7860,7841,7775,7726,7818,7751,7886,7778,7874,7745,7842,7820,7828,7726,7752,7761,7873,7773,7791,7784,7927,7841,7740,7808,7896,7719,7818,7919,7851,7889,7799,7820,7844,7752,7823,7774,7829,7779,7760,7802,7784,7808,7672,7860,7802,7695,7799,7728,7797,7865,7743,7693,7737,7809,7834,7842,7879,7780,7838,7817,7702,7758,7899,7805,7721,7852,7855,7714,7702,7806,7928,7917,7794,7827,7872,7942,7752,7783,7825,7750,7883,7762,7859,7727,7763,7748,7852,7753,7817,7916,7940,7804,7762,7715,7818,7810,7672,7950,7807,6.1016
L,6815,6748,6750,6781,6724,6729,6807,6788,6827,6728,6854,6831,6774,6698,6786,6730,6661,6710,6756,6804,6780,6741,6846,6768,6821,6796,6805,6798,6637,6653,6840,6721,6648,6857,6785,6847,6778,6752,6833,6813,6860,6750,6772,6734,6831,6709,6873,6803,6903,6759,6725,6790,6792,6833,6668,6629,6801,6732,6789,6796,6764,6739,6798,6750,6738,6785,6732,6740,6849,6745,6805,6761,6830,6702,6720,6789,6800,6727,6792,6851,6723,6760,6791,6756,6658,6692,6605,6652,6690,6668,6774,6750,6712,6857,6712,6693,6778,6689,6808,6751,6605,6903,6764,5.2865
