Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Exp 51,Exp 52,Exp 53,Exp 54,Exp 55,Exp 56,Exp 57,Exp 58,Exp 59,Exp 60,Exp 61,Exp 62,Exp 63,Exp 64,Exp 65,Exp 66,Exp 67,Exp 68,Exp 69,Exp 70,Exp 71,Exp 72,Exp 73,Exp 74,Exp 75,Exp 76,Exp 77,Exp 78,Exp 79,Exp 80,Exp 81,Exp 82,Exp 83,Exp 84,Exp 85,Exp 86,Exp 87,Exp 88,Exp 89,Exp 90,Exp 91,Exp 92,Exp 93,Exp 94,Exp 95,Exp 96,Exp 97,Exp 98,Exp 99,Exp 100,Minimum,Maximum,Average,Avg Percent (100%)
R,8748,8715,8632,8664,8688,8636,8618,8813,8750,8758,8682,8679,8703,8752,8748,8751,8657,8598,8722,8705,8689,8730,8731,8645,8721,8611,8731,8646,8607,8691,8665,8575,8692,8691,8690,8737,8668,8739,8701,8705,8669,8736,8730,8640,8724,8706,8755,8691,8667,8740,8584,8690,8716,8677,8706,8755,8719,8702,8676,8704,8653,8670,8706,8687,8727,8762,8594,8748,8748,8679,8694,8631,8839,8726,8664,8643,8631,8652,8746,8598,8632,8684,8702,8585,8739,8714,8655,8645,8643,8673,8744,8701,8644,8672,8717,8685,8604,8659,8740,8707,8575,8839,8691,36.2987
E,7328,7380,7380,7506,7361,7442,7514,7410,7325,7522,7450,7388,7406,7569,7414,7412,7477,7343,7409,7447,7400,7432,7451,7496,7355,7250,7479,7303,7492,7381,7331,7451,7453,7500,7462,7453,7522,7519,7451,7315,7321,7427,7387,7417,7363,7375,7393,7394,7442,7440,7482,7385,7470,7551,7472,7574,7436,7333,7591,7413,7439,7375,7443,7407,7423,7445,7534,7332,7498,7317,7532,7471,7503,7412,7631,7332,7323,7489,7388,7372,7266,7461,7356,7555,7322,7372,7426,7384,7589,7456,7431,7521,7353,7474,7327,7354,7611,7386,7362,7362,7250,7631,7427,31.0195
O,2694,2626,2738,2723,2654,2703,2728,2750,2792,2746,2738,2786,2745,2786,2753,2807,2744,2752,2736,2701,2738,2755,2703,2752,2743,2723,2736,2785,2766,2770,2797,2758,2723,2778,2744,2736,2704,2805,2695,2705,2737,2681,2776,2839,2688,2689,2720,2713,2796,2710,2739,2793,2724,2713,2741,2751,2795,2721,2720,2704,2693,2737,2827,2744,2743,2723,2720,2738,2696,2727,2788,2729,2720,2801,2796,2748,2731,2763,2665,2764,2671,2792,2791,2771,2792,2750,2743,2750,2729,2782,2724,2694,2784,2713,2742,2747,2696,2686,2757,2704,2626,2839,2741,11.448
T,1367,1399,1374,1363,1390,1382,1318,1338,1349,1354,1359,1348,1397,1377,1403,1374,1370,1313,1355,1380,1345,1299,1343,1354,1362,1349,1348,1316,1288,1357,1381,1341,1349,1386,1347,1333,1345,1357,1322,1292,1369,1371,1340,1381,1398,1360,1334,1372,1369,1426,1337,1356,1366,1349,1292,1400,1346,1376,1381,1379,1317,1364,1309,1296,1308,1362,1341,1372,1282,1379,1361,1424,1435,1388,1427,1274,1316,1319,1386,1352,1374,1389,1373,1381,1320,1374,1412,1334,1327,1375,1395,1387,1358,1345,1336,1422,1353,1317,1342,1377,1274,1435,1358,5.6718
P,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,4.8114
C,1015,1018,955,1010,985,990,926,974,1007,980,959,1014,959,1003,958,949,949,1021,963,896,979,983,1024,1015,988,1036,998,980,988,1002,957,1008,954,989,1011,992,1026,1001,987,972,989,1054,1004,1019,985,1025,1003,971,1029,969,1009,983,990,975,989,996,1021,989,986,1010,984,1001,964,1003,979,967,937,963,959,962,973,964,942,1002,971,958,978,982,999,1031,993,1028,956,991,974,1016,981,972,969,976,1011,977,1005,932,981,1046,966,1003,959,986,896,1054,987,4.1223
G,493,485,528,477,520,500,535,530,474,499,542,513,523,473,494,498,499,498,486,530,508,506,553,528,524,503,528,462,498,459,492,503,532,489,502,477,477,519,477,482,544,482,512,565,500,455,497,508,488,470,513,493,489,552,527,458,502,514,514,527,547,499,498,499,493,534,511,463,495,507,519,468,487,467,509,470,506,512,483,499,489,478,472,501,511,510,497,464,499,503,489,502,499,493,506,506,463,521,516,514,455,565,502,2.0966
U,421,397,388,437,455,410,387,416,382,433,434,426,386,409,403,414,393,416,434,402,418,422,400,436,432,410,392,431,428,451,431,421,422,414,408,381,420,423,401,439,368,421,427,385,384,402,419,397,370,431,413,405,420,415,409,443,430,396,405,425,397,443,414,424,401,428,436,445,425,440,395,400,380,421,452,428,417,407,407,420,444,415,380,446,448,456,463,430,415,382,395,386,452,416,425,421,422,422,446,432,368,463,417,1.7416
N,390,417,390,392,403,379,360,380,407,368,394,393,400,432,404,410,416,423,400,422,401,387,385,416,372,419,402,381,402,417,368,389,375,388,391,373,424,443,390,367,400,373,394,408,397,412,432,419,376,406,394,408,387,416,371,395,409,395,425,387,367,394,385,388,365,380,422,388,391,392,415,403,406,406,400,373,400,362,398,406,408,406,405,400,413,368,390,389,377,386,392,407,361,386,397,406,405,409,388,429,360,443,397,1.6581
J,93,112,92,91,103,109,97,90,102,117,85,91,89,100,97,86,83,100,95,93,111,87,98,111,107,106,93,101,96,100,92,90,94,107,93,85,99,94,103,110,87,93,95,94,102,100,95,97,109,117,106,92,107,86,108,90,95,103,105,91,106,101,87,93,98,102,92,97,100,85,91,94,108,88,82,106,107,104,103,103,96,95,100,81,88,108,93,96,99,98,101,94,110,100,100,96,108,101,110,100,81,117,98,0.4093
