Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Exp 51,Exp 52,Exp 53,Exp 54,Exp 55,Exp 56,Exp 57,Exp 58,Exp 59,Exp 60,Exp 61,Exp 62,Exp 63,Exp 64,Exp 65,Exp 66,Exp 67,Exp 68,Exp 69,Exp 70,Exp 71,Exp 72,Exp 73,Exp 74,Exp 75,Exp 76,Exp 77,Exp 78,Exp 79,Exp 80,Exp 81,Exp 82,Exp 83,Exp 84,Exp 85,Exp 86,Exp 87,Exp 88,Exp 89,Exp 90,Exp 91,Exp 92,Exp 93,Exp 94,Exp 95,Exp 96,Exp 97,Exp 98,Exp 99,Exp 100,Minimum,Maximum,Average,Avg Percent (100%)
E,14785,14889,14831,14898,14837,14908,14949,14794,14942,14899,14730,14908,14836,14812,14984,14933,14718,14987,14847,14912,14809,14748,14843,14892,14945,14968,14857,14727,14819,14740,14814,14827,14723,14917,14902,14918,14906,14690,14901,14944,15036,14895,14977,14900,14954,14781,14789,15016,14938,14924,14757,14930,14812,14882,14871,14833,14838,14684,14780,14831,14875,14937,14796,14822,14875,14902,14909,14860,14955,14859,14710,14828,14670,14948,14885,14879,14764,14783,14847,14752,14972,14856,14861,14848,14936,14764,14853,14791,14814,14701,14926,14928,14835,14853,14894,14840,14933,14811,14825,14881,14670,15036,14857,16.3488
N,8918,8836,8933,9002,8872,8953,8972,8984,8884,9003,8991,9018,8999,8776,8995,8940,9118,8906,8864,8921,8983,8923,8946,9018,8879,8942,8995,8946,8856,8862,8951,8995,8869,9047,9013,8997,8968,9019,9059,9050,9052,9103,9045,8921,9046,8960,8922,9068,8958,8988,9019,8988,9047,8893,9009,8939,8887,9089,8977,8895,8944,8850,8981,8952,9059,9037,9003,8954,8977,8987,8950,8984,8976,8939,8993,8999,9070,9118,8985,8945,9023,8923,8987,8931,9049,9079,8917,8957,9004,8874,9040,8976,8922,8999,9050,8964,8995,9061,9047,8948,8776,9118,8975,9.8762
I,7212,7168,7336,7298,7264,7251,7302,7311,7379,7327,7284,7211,7212,7317,7316,7207,7245,7279,7234,7338,7185,7174,7336,7231,7144,7207,7235,7346,7293,7421,7249,7213,7322,7205,7294,7263,7232,7231,7304,7260,7166,7218,7295,7181,7237,7239,7232,7225,7188,7177,7255,7269,7187,7395,7275,7204,7237,7213,7271,7315,7184,7250,7288,7242,7207,7262,7290,7206,7167,7173,7263,7236,7322,7289,7249,7344,7225,7282,7315,7214,7204,7258,7320,7186,7228,7344,7341,7140,7346,7217,7222,7308,7237,7123,7255,7272,7282,7184,7280,7320,7123,7421,7255,7.9835
S,6369,6287,6271,6334,6397,6241,6424,6251,6266,6333,6199,6276,6323,6351,6311,6265,6354,6303,6290,6370,6249,6401,6331,6302,6279,6464,6385,6416,6341,6225,6357,6234,6418,6346,6279,6358,6199,6278,6353,6423,6302,6315,6216,6326,6371,6222,6354,6311,6388,6243,6250,6471,6301,6318,6220,6297,6357,6381,6349,6382,6350,6335,6387,6277,6274,6320,6364,6320,6276,6304,6290,6387,6407,6337,6385,6337,6398,6266,6363,6241,6346,6397,6309,6330,6387,6393,6342,6317,6305,6329,6382,6310,6339,6405,6355,6330,6287,6383,6466,6308,6199,6471,6329,6.9645
R,6147,6134,6207,6113,6128,6094,6179,6164,6146,6097,6144,6093,6193,6190,6088,6129,6086,6044,6118,6159,6053,6196,6180,6086,6175,6195,6134,6156,6143,6188,6164,6142,6107,6205,6167,6124,6247,6114,6159,6166,6032,6123,6170,6075,6100,6116,6251,6105,6149,6107,6185,6176,6197,6152,6130,6247,6199,6141,6210,6117,6177,6129,6207,6181,6153,6109,6271,6186,6209,6343,6117,6165,6142,6211,6111,6177,6245,6141,6229,6201,6247,6121,6159,6179,6222,6100,6169,6057,6112,6119,6131,6082,6149,6172,6208,6153,6203,6114,6129,6110,6032,6343,6154,6.7719
T,5424,5526,5417,5520,5365,5375,5434,5371,5405,5465,5467,5437,5430,5529,5440,5469,5422,5474,5446,5437,5413,5521,5336,5490,5413,5419,5415,5441,5407,5439,5401,5439,5389,5421,5384,5480,5393,5401,5427,5473,5369,5493,5459,5498,5397,5426,5439,5451,5434,5376,5323,5474,5438,5435,5338,5413,5376,5478,5485,5385,5405,5408,5394,5395,5466,5544,5418,5502,5530,5482,5450,5439,5345,5384,5265,5373,5438,5361,5517,5543,5341,5400,5507,5355,5402,5389,5331,5481,5435,5392,5461,5402,5531,5419,5396,5364,5421,5469,5340,5443,5265,5544,5428,5.973
H,5155,5226,5175,5105,5210,5231,5139,5217,5254,5217,5168,5247,5260,5167,5207,5265,5167,5279,5164,5249,5179,5226,5133,5229,5325,5190,5241,5240,5161,5284,5311,5154,5189,5207,5164,5303,5267,5298,5161,5216,5132,5252,5177,5221,5174,5289,5179,5262,5216,5236,5185,5225,5211,5274,5191,5173,5269,5288,5187,5279,5316,5209,5236,5215,5285,5308,5218,5226,5192,5315,5307,5242,5201,5199,5276,5203,5253,5274,5240,5224,5291,5135,5231,5229,5154,5222,5251,5218,5159,5234,5226,5243,5238,5179,5347,5188,5215,5239,5225,5217,5105,5347,5224,5.7486
A,4752,4741,4749,4725,4801,4745,4785,4786,4782,4708,4674,4697,4705,4662,4730,4747,4657,4829,4782,4708,4839,4668,4762,4770,4781,4653,4788,4764,4654,4720,4637,4789,4775,4713,4763,4758,4839,4768,4775,4630,4725,4783,4754,4795,4741,4664,4709,4773,4755,4763,4701,4715,4713,4709,4697,4788,4709,4647,4740,4762,4742,4789,4809,4734,4726,4756,4813,4726,4778,4729,4807,4864,4785,4742,4719,4745,4710,4785,4780,4730,4699,4770,4830,4756,4789,4795,4629,4797,4673,4760,4634,4696,4727,4789,4699,4860,4756,4795,4786,4724,4629,4864,4745,5.2215
D,4024,4049,4126,4095,3977,4073,4040,4047,4030,3963,4045,4043,4028,4049,4198,4089,4143,4058,4057,4058,4052,4072,3977,4050,4069,4111,3948,4041,4077,3994,4087,4033,4069,4058,3982,3997,4040,3964,4110,4142,4027,4137,4009,4060,4005,3989,4079,4063,4066,4061,4016,4124,4046,3971,4110,4028,4013,4056,4065,3947,4150,4013,4024,4054,4024,4058,4088,4155,4051,4016,4019,4058,4036,4034,4031,3988,3974,4018,4024,4001,4183,3972,4062,4092,4087,4077,4031,4038,4061,4034,3987,4061,4054,4051,3990,4103,4017,3991,4021,4007,3947,4198,4047,4.4534
L,3540,3510,3628,3615,3682,3608,3611,3603,3546,3567,3564,3606,3571,3698,3506,3549,3586,3631,3620,3565,3605,3559,3637,3644,3484,3550,3633,3541,3611,3603,3626,3646,3594,3639,3533,3538,3545,3619,3551,3625,3551,3662,3567,3609,3543,3596,3602,3590,3555,3545,3597,3601,3543,3669,3605,3580,3637,3610,3609,3610,3572,3553,3575,3600,3657,3571,3668,3658,3588,3658,3526,3519,3556,3617,3578,3561,3632,3586,3646,3601,3516,3677,3669,3567,3537,3615,3549,3566,3598,3559,3549,3613,3607,3626,3641,3632,3611,3551,3523,3608,3484,3698,3593,3.9538
