Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Minimum,Maximum,Average,Average %,MAE,STD,Variance
E,5,6,4,5,8,7,6,6,7,6,4,8,6,12.0,0.8,1.1547,1.3333
T,5,6,6,7,5,5,7,6,5,6,5,7,5,10.0,0.8,0.7888,0.6222
A,4,3,5,4,4,5,4,5,6,5,3,6,4,8.0,0.7,0.8498,0.7222
O,3,6,4,4,4,5,3,5,5,4,3,6,4,8.0,0.7,0.9487,0.9
H,4,4,4,4,5,5,4,4,5,3,3,5,4,8.0,0.4,0.6325,0.4
S,4,4,4,5,3,2,2,4,3,4,2,5,3,6.0,0.9,0.9718,0.9444
R,4,4,2,3,3,5,4,4,3,3,2,5,3,6.0,0.7,0.8498,0.7222
I,5,3,4,2,3,5,3,4,4,2,2,5,3,6.0,0.9,1.0801,1.1667
F,2,3,3,3,4,4,4,2,5,4,2,5,3,6.0,0.8,0.9661,0.9333
L,3,2,2,2,1,3,3,3,3,3,1,3,2,4.0,0.7,0.7071,0.5
U,4,2,2,3,3,2,2,3,3,3,2,4,2,4.0,0.7,0.6749,0.4556
N,3,3,2,2,2,3,3,2,3,2,2,3,2,4.0,0.5,0.527,0.2778
Y,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,0.0,0.0
D,2,2,2,1,2,2,1,2,2,1,1,2,1,2.0,0.7,0.483,0.2333
B,1,1,1,2,1,1,2,1,2,2,1,2,1,2.0,0.4,0.5164,0.2667
W,2,2,2,2,1,1,2,2,2,2,1,2,1,2.0,0.8,0.4216,0.1778
G,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,0.0,0.0
X,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,0.0,0.0
C,2,2,1,1,2,2,2,2,2,2,1,2,1,2.0,0.8,0.4216,0.1778
V,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,0.0,0.0
P,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,0.0,0.0
