Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Minimum,Maximum,Average,Average %,MAE,STD,Variance
E,31,63,15,31,255,127,63,63,127,63,15,255,83,28.7197,51.2,70.7748,5009.0667
T,31,63,63,127,31,31,127,63,31,63,31,127,63,21.7993,25.6,36.9504,1365.3333
A,15,7,31,15,15,31,15,31,63,31,7,63,25,8.6505,12.0,16.0222,256.7111
O,7,63,15,15,15,31,7,31,31,15,7,63,23,7.9585,12.8,16.8655,284.4444
H,15,15,15,15,31,31,15,15,31,7,7,31,19,6.5744,7.2,8.641,74.6667
I,31,7,15,3,7,31,7,15,15,3,3,31,13,4.4983,8.0,10.3623,107.3778
S,15,15,15,31,7,3,3,15,7,15,3,31,12,4.1522,6.2,8.2624,68.2667
R,15,15,3,7,7,31,15,15,7,7,3,31,12,4.1522,6.0,8.0111,64.1778
F,3,7,7,7,15,15,15,3,31,15,3,31,11,3.8062,6.4,8.3905,70.4
U,15,3,3,7,7,3,3,7,7,7,3,15,6,2.0761,2.6,3.6757,13.5111
N,7,7,3,3,3,7,7,3,7,3,3,7,5,1.7301,2.0,2.1082,4.4444
L,7,3,3,3,1,7,7,7,7,7,1,7,5,1.7301,2.2,2.3944,5.7333
D,3,3,3,1,3,3,1,3,3,1,1,3,2,0.692,1.0,0.9661,0.9333
W,3,3,3,3,1,1,3,3,3,3,1,3,2,0.692,1.0,0.8433,0.7111
C,3,3,1,1,3,3,3,3,3,3,1,3,2,0.692,1.0,0.8433,0.7111
Y,1,1,1,1,1,1,1,1,1,1,1,1,1,0.346,0.0,0.0,0.0
B,1,1,1,3,1,1,3,1,3,3,1,3,1,0.346,0.8,1.0328,1.0667
G,1,1,1,1,1,1,1,1,1,1,1,1,1,0.346,0.0,0.0,0.0
X,1,1,1,1,1,1,1,1,1,1,1,1,1,0.346,0.0,0.0,0.0
V,1,1,1,1,1,1,1,1,1,1,1,1,1,0.346,0.0,0.0,0.0
P,1,1,1,1,1,1,1,1,1,1,1,1,1,0.346,0.0,0.0,0.0
