Letter,Exp 1,Minimum,Maximum,Average,Average %,MAE,STD,Variance
E,15,15,15,15,14.8515,0.0,,
T,12,12,12,12,11.8812,0.0,,
O,9,9,9,9,8.9109,0.0,,
A,8,8,8,8,7.9208,0.0,,
H,7,7,7,7,6.9307,0.0,,
R,7,7,7,7,6.9307,0.0,,
I,7,7,7,7,6.9307,0.0,,
F,6,6,6,6,5.9406,0.0,,
S,6,6,6,6,5.9406,0.0,,
N,4,4,4,4,3.9604,0.0,,
U,4,4,4,4,3.9604,0.0,,
L,3,3,3,3,2.9703,0.0,,
D,2,2,2,2,1.9802,0.0,,
B,2,2,2,2,1.9802,0.0,,
W,2,2,2,2,1.9802,0.0,,
C,2,2,2,2,1.9802,0.0,,
Y,1,1,1,1,0.9901,0.0,,
G,1,1,1,1,0.9901,0.0,,
X,1,1,1,1,0.9901,0.0,,
V,1,1,1,1,0.9901,0.0,,
P,1,1,1,1,0.9901,0.0,,
