Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Minimum,Maximum,Average,Average %,MAE,STD,Variance
E,6,6,7,7,13,8,7,9,9,8,6,13,8,20.0,1.4,2.0548,4.2222
T,8,5,7,5,7,5,6,8,4,6,4,8,6,15.0,1.1,1.3703,1.8778
A,4,4,6,3,5,4,5,6,5,5,3,6,4,10.0,0.9,0.9487,0.9
O,6,5,5,5,4,5,5,3,4,2,2,6,4,10.0,1.0,1.1738,1.3778
H,4,3,3,1,5,4,3,6,3,2,1,6,3,7.5,1.0,1.4298,2.0444
I,3,3,6,2,5,2,2,4,6,5,2,6,3,7.5,1.4,1.6193,2.6222
S,4,5,4,4,3,5,6,2,4,2,2,6,3,7.5,1.3,1.2867,1.6556
F,2,2,3,3,4,2,1,3,2,4,1,4,2,5.0,0.8,0.9661,0.9333
R,1,4,3,4,2,3,2,2,2,6,1,6,2,5.0,1.1,1.4491,2.1
U,3,2,3,3,3,1,1,1,1,2,1,3,2,5.0,0.8,0.9428,0.8889
N,4,2,0,1,1,2,1,1,2,0,0,4,1,2.5,0.8,1.1738,1.3778
L,2,1,0,2,1,3,1,2,0,2,0,3,1,2.5,0.8,0.9661,0.9333
B,1,2,0,0,0,1,2,2,1,2,0,2,1,2.5,0.7,0.8756,0.7667
D,1,1,2,0,0,1,0,0,1,1,0,2,0,0.0,0.7,0.6749,0.4556
X,1,0,1,1,1,1,1,1,0,0,0,1,0,0.0,0.7,0.483,0.2333
Y,1,0,0,0,1,1,1,0,1,1,0,1,0,0.0,0.6,0.5164,0.2667
W,1,1,1,1,0,0,1,1,1,2,0,2,0,0.0,0.9,0.5676,0.3222
V,1,1,1,0,1,0,0,1,1,0,0,1,0,0.0,0.6,0.5164,0.2667
C,0,1,2,1,0,2,1,0,2,0,0,2,0,0.0,0.9,0.8756,0.7667
P,0,1,0,0,1,0,1,1,0,1,0,1,0,0.0,0.5,0.527,0.2778
G,0,0,1,1,1,1,0,1,1,1,0,1,0,0.0,0.7,0.483,0.2333
