Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Minimum,Maximum,Average,Average %,MAE,STD,Variance,Estimate
A,16,18,17,16,17,17,17,17,17,16,17,17,17,16,16,18,17,18,17,16,19,16,16,18,16,18,18,19,17,17,17,17,16,16,17,18,16,18,17,18,17,18,18,16,16,16,18,16,17,17,16,19,17,3.7694,0.64,0.8571,0.7347,65536
E,16,18,16,18,16,16,17,18,16,17,17,16,17,16,17,15,17,17,18,17,17,16,16,16,18,17,16,16,18,17,16,17,16,17,16,17,18,16,17,16,16,17,15,17,16,16,16,17,16,17,15,18,16,3.5477,0.7,0.7796,0.6078,32768
O,15,16,17,19,17,16,16,16,17,17,16,17,16,17,15,17,17,17,15,17,17,18,17,15,17,18,18,17,17,16,17,17,15,16,17,19,17,17,15,16,16,17,16,17,19,18,17,17,15,17,15,19,16,3.5477,0.98,1.0152,1.0306,32768
D,16,15,14,15,14,15,16,16,16,15,16,15,15,15,15,15,15,16,16,15,14,15,15,15,14,14,16,15,16,16,16,16,17,14,17,15,14,14,15,14,16,15,16,15,15,15,16,15,15,15,14,17,15,3.3259,0.56,0.7825,0.6122,16384
U,14,16,15,14,15,16,15,16,15,16,14,14,15,14,16,17,16,15,16,15,16,15,14,15,16,16,15,14,15,15,15,16,16,16,15,17,15,16,15,15,15,15,13,16,15,16,14,15,14,15,13,17,15,3.3259,0.62,0.8497,0.722,16384
I,15,15,15,15,14,15,16,14,16,16,14,17,17,15,16,15,15,16,16,14,15,15,15,16,15,15,16,15,15,17,16,15,14,14,15,15,17,15,15,16,16,14,16,16,15,15,16,14,15,14,14,17,15,3.3259,0.62,0.8526,0.7269,16384
R,15,15,16,17,17,17,17,16,15,15,15,15,16,16,16,15,16,15,16,17,16,15,17,16,15,15,17,16,16,16,17,15,15,15,16,16,16,15,16,14,16,15,16,16,16,16,15,14,15,15,14,17,15,3.3259,0.78,0.789,0.6224,16384
S,15,17,16,14,16,17,16,16,17,16,16,16,16,16,15,16,16,15,15,16,15,17,15,16,17,16,17,16,15,16,15,16,15,16,16,16,15,15,15,16,16,16,17,15,16,16,16,15,16,17,14,17,15,3.3259,0.88,0.7103,0.5045,16384
M,16,15,15,17,16,17,15,15,15,14,15,15,16,13,14,16,16,15,16,14,17,14,16,15,15,16,16,15,15,14,15,15,15,15,15,15,17,16,14,15,14,14,15,14,17,14,16,14,16,16,13,17,15,3.3259,0.72,0.9689,0.9388,16384
L,16,16,15,15,15,14,15,17,16,14,17,15,15,14,16,16,15,15,15,14,15,17,15,16,16,14,14,17,15,14,14,15,15,15,16,15,15,15,15,13,14,15,14,15,14,15,15,15,15,15,13,17,15,3.3259,0.58,0.8901,0.7922,16384
N,16,16,15,16,15,16,15,16,15,15,14,15,15,15,14,14,14,15,16,15,14,16,15,15,16,15,16,16,16,16,16,15,15,16,16,15,13,15,16,15,15,16,15,16,16,15,14,15,15,15,13,16,15,3.3259,0.54,0.7365,0.5424,16384
T,15,15,15,14,15,16,14,16,15,15,14,16,16,15,16,16,15,15,15,15,16,16,14,16,15,15,16,15,15,15,15,15,15,14,14,14,16,15,15,15,15,14,15,14,14,16,15,14,14,16,14,16,15,3.3259,0.5,0.714,0.5098,16384
C,14,15,15,13,14,15,14,14,14,15,16,14,15,15,15,14,14,16,14,16,16,15,15,14,14,14,15,15,15,14,15,15,15,14,15,14,14,15,15,15,15,16,15,15,16,17,15,14,16,15,13,17,14,3.1042,0.84,0.7825,0.6122,8192
P,13,15,14,16,13,15,15,14,15,14,14,13,15,14,14,15,14,15,14,14,14,14,14,15,14,14,14,13,15,14,15,14,14,15,14,14,15,14,15,14,15,14,14,14,13,13,15,14,13,15,13,16,14,3.1042,0.5,0.7083,0.5016,8192
G,14,13,14,14,13,14,14,13,13,12,13,13,14,15,14,12,14,14,13,12,14,13,13,12,13,15,14,14,13,16,13,13,13,14,14,14,13,13,13,13,13,13,14,14,13,14,13,13,13,13,12,16,13,2.8825,0.58,0.7848,0.6159,4096
H,14,15,14,13,14,13,14,13,14,14,14,15,14,13,15,15,14,13,13,14,14,14,13,15,13,14,14,15,14,13,13,15,14,13,14,15,13,15,14,14,13,14,13,14,14,13,13,14,13,14,13,15,13,2.8825,0.84,0.7103,0.5045,4096
B,13,15,15,13,12,13,13,13,14,13,13,14,14,14,14,12,13,12,12,12,11,13,13,13,13,12,14,13,13,13,14,12,13,14,13,14,14,13,13,12,12,12,13,13,13,13,12,13,12,13,11,15,13,2.8825,0.56,0.833,0.6939,4096
V,15,13,13,13,14,15,14,14,14,13,15,13,13,13,13,15,13,16,13,13,14,14,13,14,13,14,12,15,15,13,14,12,13,13,13,12,14,13,13,14,13,13,13,14,13,15,14,14,15,14,12,16,13,2.8825,0.74,0.901,0.8118,4096
Q,13,13,12,13,13,14,13,13,14,13,12,12,14,13,13,13,13,14,13,13,12,13,14,13,13,13,12,12,15,14,12,13,13,11,13,12,13,12,13,13,14,13,12,13,13,15,13,13,13,12,11,15,12,2.6608,1.0,0.7814,0.6106,2048
Ã,12,12,12,12,12,13,12,13,14,13,11,12,12,12,12,12,13,13,13,14,13,12,12,12,13,11,12,12,13,12,12,13,13,12,13,12,11,13,12,12,10,13,13,12,13,12,12,13,12,12,10,14,12,2.6608,0.52,0.7407,0.5486,2048
