Letter,Exp 1,Minimum,Maximum,Average,Average %,MAE,STD,Variance,Estimate
A,141725,141725,141725,141725,14.2031,0.0,,,141725
E,118387,118387,118387,118387,11.8643,0.0,,,118387
O,104760,104760,104760,104760,10.4986,0.0,,,104760
S,73719,73719,73719,73719,7.3878,0.0,,,73719
R,68080,68080,68080,68080,6.8227,0.0,,,68080
I,54038,54038,54038,54038,5.4155,0.0,,,54038
D,50219,50219,50219,50219,5.0327,0.0,,,50219
N,48337,48337,48337,48337,4.8441,0.0,,,48337
M,46685,46685,46685,46685,4.6786,0.0,,,46685
U,43099,43099,43099,43099,4.3192,0.0,,,43099
T,41971,41971,41971,41971,4.2062,0.0,,,41971
L,38457,38457,38457,38457,3.854,0.0,,,38457
C,35251,35251,35251,35251,3.5327,0.0,,,35251
P,23458,23458,23458,23458,2.3509,0.0,,,23458
V,17162,17162,17162,17162,1.7199,0.0,,,17162
H,16282,16282,16282,16282,1.6317,0.0,,,16282
G,12732,12732,12732,12732,1.2759,0.0,,,12732
B,11701,11701,11701,11701,1.1726,0.0,,,11701
F,10281,10281,10281,10281,1.0303,0.0,,,10281
Q,10009,10009,10009,10009,1.0031,0.0,,,10009
Ã,6469,6469,6469,6469,0.6483,0.0,,,6469
Z,4956,4956,4956,4956,0.4967,0.0,,,4956
Ç,4116,4116,4116,4116,0.4125,0.0,,,4116
Á,3771,3771,3771,3771,0.3779,0.0,,,3771
J,3046,3046,3046,3046,0.3053,0.0,,,3046
É,2908,2908,2908,2908,0.2914,0.0,,,2908
X,2276,2276,2276,2276,0.2281,0.0,,,2276
Ô,931,931,931,931,0.0933,0.0,,,931
Ó,858,858,858,858,0.086,0.0,,,858
Ê,708,708,708,708,0.071,0.0,,,708
Y,469,469,469,469,0.047,0.0,,,469
Õ,465,465,465,465,0.0466,0.0,,,465
K,177,177,177,177,0.0177,0.0,,,177
W,101,101,101,101,0.0101,0.0,,,101
Í,94,94,94,94,0.0094,0.0,,,94
À,51,51,51,51,0.0051,0.0,,,51
È,45,45,45,45,0.0045,0.0,,,45
Ú,34,34,34,34,0.0034,0.0,,,34
Ñ,9,9,9,9,0.0009,0.0,,,9
Â,5,5,5,5,0.0005,0.0,,,5
Ò,2,2,2,2,0.0002,0.0,,,2
Û,1,1,1,1,0.0001,0.0,,,1
Ù,1,1,1,1,0.0001,0.0,,,1
