Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Minimum,Maximum,Average,Average %,STD,Variance,Estimate,,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Minimum,Maximum,Average,Average %,STD,Variance
A,4410,4414,4457,4343,4355,4430,4435,4321,4532,4320,4446,4447,4452,4498,4406,4466,4419,4410,4478,4480,4336,4430,4415,4491,4441,4396,4257,4390,4484,4491,4427,4432,4495,4528,4368,4276,4351,4348,4498,4454,4456,4452,4358,4468,4486,4486,4404,4384,4422,4345,4257,4532,4421,14.1908,62.9832,3966.88,141472,,141120,141248,142624,138976,139360,141760,141920,138272,145024,138240,142272,142304,142464,143936,140992,142912,141408,141120,143296,143360,138752,141760,141280,143712,142112,140672,136224,140480,143488,143712,141664,141824,143840,144896,139776,136832,139232,139136,143936,142528,142592,142464,139456,142976,143552,143552,140928,140288,141504,139040,136224,145024,141496.32,14.18444631,2015.461515,4062085.12
E,3621,3744,3668,3582,3709,3717,3644,3745,3741,3641,3729,3747,3732,3685,3740,3736,3778,3675,3768,3627,3795,3656,3691,3730,3619,3572,3594,3664,3711,3731,3683,3674,3711,3656,3798,3594,3646,3816,3645,3679,3648,3749,3740,3702,3690,3682,3719,3761,3636,3679,3572,3816,3694,11.8572,57.8224,3343.4286,118208,,115872,119808,117376,114624,118688,118944,116608,119840,119712,116512,119328,119904,119424,117920,119680,119552,120896,117600,120576,116064,121440,116992,118112,119360,115808,114304,115008,117248,118752,119392,117856,117568,118752,116992,121536,115008,116672,122112,116640,117728,116736,119968,119680,118464,118080,117824,119008,120352,116352,117728,114304,122112,118208,11.84988436,1850.316421,3423670.857
O,3311,3341,3223,3296,3242,3247,3315,3250,3231,3310,3276,3274,3201,3337,3323,3245,3342,3275,3236,3241,3386,3235,3288,3224,3224,3352,3272,3323,3295,3192,3226,3380,3327,3329,3313,3241,3241,3263,3314,3291,3312,3292,3293,3304,3235,3244,3263,3250,3246,3278,3192,3386,3278,10.5219,45.5141,2071.5302,104896,,105952,106912,103136,105472,103744,103904,106080,104000,103392,105920,104832,104768,102432,106784,106336,103840,106944,104800,103552,103712,108352,103520,105216,103168,103168,107264,104704,106336,105440,102144,103232,108160,106464,106528,106016,103712,103712,104416,106048,105312,105984,105344,105376,105728,103520,103808,104416,104000,103872,104896,102144,108352,104927.36,10.51855274,1456.450112,2121246.929
S,2303,2270,2312,2206,2268,2296,2360,2305,2329,2336,2337,2307,2307,2310,2296,2293,2315,2344,2196,2341,2247,2271,2313,2280,2255,2308,2324,2310,2333,2330,2310,2278,2377,2253,2225,2289,2244,2295,2264,2305,2328,2302,2341,2308,2321,2288,2314,2332,2317,2334,2196,2377,2300,7.3827,36.8871,1360.6616,73600,,73696,72640,73984,70592,72576,73472,75520,73760,74528,74752,74784,73824,73824,73920,73472,73376,74080,75008,70272,74912,71904,72672,74016,72960,72160,73856,74368,73920,74656,74560,73920,72896,76064,72096,71200,73248,71808,73440,72448,73760,74496,73664,74912,73856,74272,73216,74048,74624,74144,74688,70272,76064,73617.28,7.379841082,1180.388712,1393317.512
R,2182,2131,2161,2101,2117,2166,2159,2129,2165,2145,2132,2126,2151,2151,2191,2113,2048,2136,2115,2036,2155,2093,2088,2119,2088,2193,2070,2175,2112,2039,2131,2185,2182,2099,2228,2159,2119,2169,2115,2264,2131,2133,2050,2054,2085,2061,2142,2104,2086,2156,2036,2264,2128,6.8306,47.8369,2288.3673,68096,,69824,68192,69152,67232,67744,69312,69088,68128,69280,68640,68224,68032,68832,68832,70112,67616,65536,68352,67680,65152,68960,66976,66816,67808,66816,70176,66240,69600,67584,65248,68192,69920,69824,67168,71296,69088,67808,69408,67680,72448,68192,68256,65600,65728,66720,65952,68544,67328,66752,68992,65152,72448,68121.6,6.828920903,1530.780247,2343288.163
I,1691,1636,1791,1674,1658,1702,1617,1706,1744,1715,1748,1686,1734,1687,1686,1625,1733,1722,1725,1644,1679,1575,1688,1698,1711,1674,1682,1666,1718,1712,1644,1645,1616,1729,1611,1719,1742,1763,1752,1726,1673,1750,1661,1622,1641,1694,1612,1720,1672,1636,1575,1791,1687,5.415,47.042,2212.949,53984,,54112,52352,57312,53568,53056,54464,51744,54592,55808,54880,55936,53952,55488,53984,53952,52000,55456,55104,55200,52608,53728,50400,54016,54336,54752,53568,53824,53312,54976,54784,52608,52640,51712,55328,51552,55008,55744,56416,56064,55232,53536,56000,53152,51904,52512,54208,51584,55040,53504,52352,50400,57312,53987.2,5.412003221,1505.343733,2266059.755
D,1567,1567,1597,1605,1591,1568,1577,1587,1561,1560,1502,1529,1586,1559,1603,1582,1560,1558,1519,1591,1520,1584,1597,1584,1587,1609,1607,1573,1554,1516,1594,1566,1489,1598,1553,1560,1592,1584,1590,1659,1588,1575,1628,1497,1559,1557,1610,1562,1566,1537,1489,1659,1571,5.0427,33.0319,1091.1037,50272,,50144,50144,51104,51360,50912,50176,50464,50784,49952,49920,48064,48928,50752,49888,51296,50624,49920,49856,48608,50912,48640,50688,51104,50688,50784,51488,51424,50336,49728,48512,51008,50112,47648,51136,49696,49920,50944,50688,50880,53088,50816,50400,52096,47904,49888,49824,51520,49984,50112,49184,47648,53088,50280.96,5.040467323,1057.019471,1117290.162
N,1430,1444,1463,1523,1480,1512,1501,1481,1524,1516,1503,1510,1474,1496,1517,1522,1533,1520,1491,1499,1490,1543,1528,1451,1466,1457,1499,1514,1522,1476,1570,1523,1547,1553,1504,1562,1504,1463,1500,1584,1505,1583,1535,1519,1581,1475,1560,1514,1453,1533,1430,1584,1509,4.8437,36.5995,1339.5269,48288,,45760,46208,46816,48736,47360,48384,48032,47392,48768,48512,48096,48320,47168,47872,48544,48704,49056,48640,47712,47968,47680,49376,48896,46432,46912,46624,47968,48448,48704,47232,50240,48736,49504,49696,48128,49984,48128,46816,48000,50688,48160,50656,49120,48608,50592,47200,49920,48448,46496,49056,45760,50688,48289.92,4.84087344,1171.185547,1371675.585
M,1471,1472,1403,1418,1505,1416,1435,1518,1433,1454,1464,1468,1513,1427,1508,1466,1540,1452,1385,1407,1460,1466,1444,1368,1471,1424,1449,1467,1428,1427,1458,1498,1378,1468,1490,1437,1471,1410,1359,1477,1473,1408,1433,1367,1457,1444,1508,1462,1408,1388,1359,1540,1447,4.6447,41.5959,1730.2208,46304,,47072,47104,44896,45376,48160,45312,45920,48576,45856,46528,46848,46976,48416,45664,48256,46912,49280,46464,44320,45024,46720,46912,46208,43776,47072,45568,46368,46944,45696,45664,46656,47936,44096,46976,47680,45984,47072,45120,43488,47264,47136,45056,45856,43744,46624,46208,48256,46784,45056,44416,43488,49280,46305.92,4.641985289,1331.069538,1771746.116
U,1383,1302,1398,1394,1348,1331,1313,1372,1349,1361,1332,1350,1313,1296,1349,1341,1299,1416,1357,1348,1284,1314,1399,1353,1284,1328,1338,1381,1313,1373,1306,1305,1329,1396,1393,1354,1332,1337,1370,1375,1361,1322,1355,1337,1366,1317,1294,1267,1360,1354,1267,1416,1342,4.3076,34.286,1175.5302,42944,,44256,41664,44736,44608,43136,42592,42016,43904,43168,43552,42624,43200,42016,41472,43168,42912,41568,45312,43424,43136,41088,42048,44768,43296,41088,42496,42816,44192,42016,43936,41792,41760,42528,44672,44576,43328,42624,42784,43840,44000,43552,42304,43360,42784,43712,42144,41408,40544,43520,43328,40544,45312,42975.36,4.308109825,1097.15219,1203742.929
T,1316,1276,1237,1262,1349,1357,1325,1310,1326,1341,1284,1305,1303,1357,1303,1288,1318,1315,1336,1278,1348,1336,1323,1390,1287,1234,1279,1368,1286,1301,1279,1291,1248,1307,1307,1380,1268,1360,1318,1318,1312,1281,1304,1269,1290,1277,1253,1254,1276,1300,1234,1390,1304,4.1857,36.1302,1305.3878,41728,,42112,40832,39584,40384,43168,43424,42400,41920,42432,42912,41088,41760,41696,43424,41696,41216,42176,42080,42752,40896,43136,42752,42336,44480,41184,39488,40928,43776,41152,41632,40928,41312,39936,41824,41824,44160,40576,43520,42176,42176,41984,40992,41728,40608,41280,40864,40096,40128,40832,41600,39488,44480,41747.2,4.184991643,1156.164807,1336717.061
L,1190,1174,1237,1193,1204,1204,1221,1133,1212,1219,1172,1222,1206,1204,1180,1211,1171,1218,1202,1189,1200,1195,1210,1232,1254,1229,1156,1104,1277,1127,1221,1207,1224,1205,1208,1196,1234,1165,1202,1208,1220,1152,1204,1185,1202,1226,1187,1180,1227,1209,1104,1277,1200,3.8518,30.8818,953.6882,38400,,38080,37568,39584,38176,38528,38528,39072,36256,38784,39008,37504,39104,38592,38528,37760,38752,37472,38976,38464,38048,38400,38240,38720,39424,40128,39328,36992,35328,40864,36064,39072,38624,39168,38560,38656,38272,39488,37280,38464,38656,39040,36864,38528,37920,38464,39232,37984,37760,39264,38688,35328,40864,38405.12,3.849961345,988.2189429,976576.6792
C,1061,1141,1093,1105,1108,1183,1179,1067,1110,1122,1095,1133,1067,1114,1111,1119,1112,1074,1049,1110,1089,1102,1053,1082,1171,1124,1104,1117,1112,1146,1133,1047,1135,1089,1122,1124,1028,1122,1150,1117,1062,1107,1119,1079,1081,1106,1116,1095,1118,1056,1028,1183,1105,3.5469,33.2085,1102.8037,35360,,33952,36512,34976,35360,35456,37856,37728,34144,35520,35904,35040,36256,34144,35648,35552,35808,35584,34368,33568,35520,34848,35264,33696,34624,37472,35968,35328,35744,35584,36672,36256,33504,36320,34848,35904,35968,32896,35904,36800,35744,33984,35424,35808,34528,34592,35392,35712,35040,35776,33792,32896,37856,35365.76,3.545277529,1062.671615,1129270.962
