letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,9095.0,12.5917,14.0,4477,4650,4552.0,13.0,12.5993,9104.0,46.9682,2206.0102,9.0,0.099,21,27,23.0,5.0,4.9251,6991.0,1.3262,1.7588,2104.0,23.1336
T,6296.0,8.7166,13.0,3049,3247,3148.0,12.0,8.7132,6296.0,44.0109,1936.9637,0.0,0.0,20,25,22.0,5.0,4.7109,4943.0,1.2271,1.5057,1353.0,21.4898
O,5880.0,8.1407,13.0,2880,3023,2945.0,12.0,8.1513,5890.0,34.8397,1213.8078,10.0,0.1701,20,25,22.0,5.0,4.7109,4943.0,1.1586,1.3424,937.0,15.9354
A,5400.0,7.4761,13.0,2625,2804,2702.0,12.0,7.4788,5404.0,37.8568,1433.1351,4.0,0.0741,19,24,21.0,5.0,4.4968,3495.0,1.2688,1.6098,1905.0,35.2778
I,4783.0,6.6219,13.0,2322,2489,2398.0,12.0,6.6373,4796.0,33.6046,1129.269,13.0,0.2718,19,25,21.0,5.0,4.4968,3495.0,1.4148,2.0016,1288.0,26.9287
H,4743.0,6.5665,13.0,2320,2434,2373.0,12.0,6.5681,4746.0,28.1955,794.9882,3.0,0.0633,19,23,21.0,5.0,4.4968,3495.0,1.1761,1.3833,1248.0,26.3125
S,4706.0,6.5153,13.0,2273,2439,2358.0,12.0,6.5266,4716.0,38.7557,1502.0004,10.0,0.2125,19,24,21.0,5.0,4.4968,3495.0,1.3468,1.8139,1211.0,25.7331
N,4656.0,6.4461,13.0,2239,2405,2329.0,12.0,6.4463,4658.0,30.8165,949.6576,2.0,0.043,19,26,21.0,5.0,4.4968,3495.0,1.4581,2.1261,1161.0,24.9356
R,4386.0,6.0723,13.0,2133,2281,2196.0,12.0,6.0782,4392.0,31.631,1000.5208,6.0,0.1368,19,24,21.0,5.0,4.4968,3495.0,1.1856,1.4057,891.0,20.3146
L,3281.0,4.5424,12.0,1582,1707,1645.0,11.0,4.5531,3290.0,28.4552,809.6963,9.0,0.2743,18,23,20.0,5.0,4.2827,2471.0,1.1178,1.2494,810.0,24.6876
D,2795.0,3.8696,12.0,1331,1449,1393.0,11.0,3.8556,2786.0,23.9095,571.6637,9.0,0.322,17,22,19.0,5.0,4.0685,1747.0,1.2591,1.5853,1048.0,37.4955
U,2480.0,3.4335,12.0,1187,1288,1237.0,11.0,3.4238,2474.0,24.0654,579.1412,6.0,0.2419,16,23,19.0,5.0,4.0685,1747.0,1.5113,2.2841,733.0,29.5565
M,2263.0,3.133,12.0,1088,1166,1125.0,11.0,3.1138,2250.0,20.8498,434.7139,13.0,0.5745,17,22,19.0,5.0,4.0685,1747.0,1.2792,1.6363,516.0,22.8016
Y,1882.0,2.6056,11.0,916,985,946.0,10.0,2.6184,1892.0,16.2023,262.5147,10.0,0.5313,17,22,18.0,5.0,3.8544,1235.0,1.1578,1.3404,647.0,34.3783
W,1770.0,2.4505,11.0,848,927,888.0,10.0,2.4579,1776.0,20.4345,417.5678,6.0,0.339,16,22,18.0,5.0,3.8544,1235.0,1.2164,1.4796,535.0,30.226
C,1365.0,1.8898,11.0,643,738,680.0,10.0,1.8821,1360.0,19.3057,372.7118,5.0,0.3663,16,21,18.0,5.0,3.8544,1235.0,1.0053,1.0106,130.0,9.5238
F,1346.0,1.8635,11.0,624,701,672.0,10.0,1.86,1344.0,16.0418,257.3404,2.0,0.1486,16,21,18.0,5.0,3.8544,1235.0,1.0351,1.0714,111.0,8.2467
G,1208.0,1.6724,11.0,577,629,604.0,10.0,1.6718,1208.0,12.4528,155.071,0.0,0.0,16,19,17.0,5.0,3.6403,873.0,0.8862,0.7853,335.0,27.7318
P,1161.0,1.6074,11.0,544,624,581.0,10.0,1.6081,1162.0,17.1773,295.0612,1.0,0.0861,15,20,17.0,5.0,3.6403,873.0,1.2304,1.5139,288.0,24.8062
B,1090.0,1.5091,11.0,514,573,545.0,10.0,1.5085,1090.0,13.7402,188.7922,0.0,0.0,15,19,17.0,5.0,3.6403,873.0,1.0422,1.0861,217.0,19.9083
