letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,9095.0,12.5917,14.0,8954.0,9300.0,9104.0,14.0,12.5972,93.9364,8824.0408,9.0,0.099,3495.0,27968.0,9545.0,14.0,13.0158,4998.0123,24980126.8445,450.0,4.9478
T,6296.0,8.7166,13.0,6098.0,6494.0,6296.0,13.0,8.7118,88.0219,7747.8547,0.0,0.0,2471.0,13983.0,6713.0,13.0,9.154,3040.0767,9242066.129,417.0,6.6233
O,5880.0,8.1407,13.0,5760.0,6046.0,5890.0,13.0,8.15,69.6795,4855.231,10.0,0.1701,2471.0,13983.0,6096.0,13.0,8.3127,2467.3343,6087738.4098,216.0,3.6735
A,5400.0,7.4761,13.0,5250.0,5608.0,5404.0,13.0,7.4775,75.7135,5732.5404,4.0,0.0741,1747.0,9887.0,4833.0,13.0,6.5904,1973.8637,3896137.9592,567.0,10.5
I,4783.0,6.6219,13.0,4644.0,4978.0,4796.0,13.0,6.6362,67.2092,4517.0759,13.0,0.2718,1747.0,13983.0,5071.0,13.0,6.9149,2768.8432,7666492.4996,288.0,6.0213
H,4743.0,6.5665,13.0,4640.0,4868.0,4747.0,13.0,6.5684,56.3911,3179.9527,4.0,0.0843,1747.0,6991.0,4656.0,13.0,6.349,1618.712,2620228.4996,87.0,1.8343
S,4706.0,6.5153,13.0,4546.0,4878.0,4716.0,13.0,6.5255,77.5113,6008.0016,10.0,0.2125,1747.0,9887.0,4917.0,13.0,6.7049,2331.4897,5435844.0555,211.0,4.4836
N,4656.0,6.4461,13.0,4478.0,4810.0,4659.0,13.0,6.4467,61.633,3798.6302,3.0,0.0644,1747.0,19776.0,4917.0,13.0,6.7049,3130.7029,9801300.8037,261.0,5.6057
R,4386.0,6.0723,13.0,4266.0,4562.0,4393.0,13.0,6.0786,63.262,4002.0833,7.0,0.1596,1747.0,9887.0,4256.0,13.0,5.8036,1924.2921,3702900.0882,130.0,2.964
L,3281.0,4.5424,12.0,3164.0,3414.0,3290.0,12.0,4.5524,56.9103,3238.7853,9.0,0.2743,1235.0,6991.0,3329.0,12.0,4.5395,1211.3001,1467247.8302,48.0,1.463
D,2795.0,3.8696,12.0,2662.0,2898.0,2786.0,12.0,3.855,47.819,2286.6547,9.0,0.322,873.0,4943.0,2617.0,12.0,3.5686,1030.5898,1062115.3649,178.0,6.3685
