letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,16456.0,14.9787,15.0,8129,8382,8237.0,14.0,15.0012,16474.0,58.6909,3444.6208,18.0,0.1094,23,28,25.0,5.0,4.0917,13983.0,1.1241,1.2637,2473.0,15.028
S,8357.0,7.6067,14.0,4087,4264,4178.0,13.0,7.609,8356.0,40.8047,1665.022,1.0,0.012,20,26,23.0,5.0,3.7643,6991.0,1.1891,1.4139,1366.0,16.3456
T,7734.0,7.0397,13.0,3770,3972,3867.0,12.0,7.0426,7734.0,49.9153,2491.5412,0.0,0.0,21,25,23.0,5.0,3.7643,6991.0,1.0631,1.1302,743.0,9.6069
N,7544.0,6.8667,13.0,3701,3845,3767.0,12.0,6.8604,7534.0,34.856,1214.9388,10.0,0.1326,21,25,23.0,5.0,3.7643,6991.0,1.0093,1.0188,553.0,7.3303
R,7502.0,6.8285,13.0,3648,3843,3749.0,12.0,6.8277,7498.0,47.3172,2238.9159,4.0,0.0533,20,25,22.0,5.0,3.6007,4943.0,1.0926,1.1939,2559.0,34.1109
A,7392.0,6.7284,13.0,3589,3766,3691.0,12.0,6.722,7382.0,41.1173,1690.6302,10.0,0.1353,20,26,22.0,5.0,3.6007,4943.0,1.3099,1.7159,2449.0,33.1304
I,7391.0,6.7275,13.0,3584,3799,3705.0,12.0,6.7475,7410.0,51.233,2624.8163,19.0,0.2571,21,26,22.0,5.0,3.6007,4943.0,1.1824,1.398,2448.0,33.1214
O,7082.0,6.4462,13.0,3452,3647,3532.0,12.0,6.4325,7064.0,43.0353,1852.0408,18.0,0.2542,21,25,22.0,5.0,3.6007,4943.0,1.2728,1.62,2139.0,30.2033
U,6820.0,6.2077,13.0,3292,3495,3406.0,12.0,6.203,6812.0,46.8202,2192.129,8.0,0.1173,20,25,22.0,5.0,3.6007,4943.0,1.1471,1.3159,1877.0,27.522
L,5486.0,4.9935,13.0,2669,2857,2744.0,12.0,4.9974,5488.0,34.1412,1165.62,2.0,0.0365,20,26,22.0,5.0,3.6007,4943.0,1.2586,1.5841,543.0,9.8979
D,3616.0,3.2914,12.0,1735,1862,1810.0,11.0,3.2964,3620.0,29.2439,855.2065,4.0,0.1106,18,23,20.0,5.0,3.2733,2471.0,1.1421,1.3045,1145.0,31.6648
M,3558.0,3.2386,12.0,1706,1826,1773.0,11.0,3.229,3546.0,29.3459,861.1837,12.0,0.3373,18,23,20.0,5.0,3.2733,2471.0,1.2835,1.6473,1087.0,30.5509
C,3368.0,3.0656,12.0,1620,1749,1685.0,11.0,3.0687,3370.0,28.3335,802.7857,2.0,0.0594,18,23,20.0,5.0,3.2733,2471.0,1.3118,1.7208,897.0,26.633
P,2897.0,2.6369,12.0,1389,1508,1451.0,11.0,2.6426,2902.0,25.0957,629.7959,5.0,0.1726,18,23,20.0,5.0,3.2733,2471.0,1.209,1.4616,426.0,14.7049
V,1944.0,1.7695,11.0,932,1026,969.0,10.0,1.7647,1938.0,22.1503,490.6351,6.0,0.3086,16,22,19.0,5.0,3.1097,1747.0,1.4337,2.0555,197.0,10.1337
É,1922.0,1.7495,11.0,891,1004,957.0,10.0,1.7429,1914.0,20.8915,436.4555,8.0,0.4162,16,23,19.0,5.0,3.1097,1747.0,1.3242,1.7535,175.0,9.1051
H,1689.0,1.5374,11.0,799,890,842.0,10.0,1.5334,1684.0,18.3063,335.122,5.0,0.296,17,22,18.0,5.0,2.946,1235.0,1.165,1.3571,454.0,26.8798
F,1284.0,1.1687,11.0,603,692,646.0,10.0,1.1765,1292.0,18.1547,329.5935,8.0,0.6231,16,22,17.0,5.0,2.7823,873.0,1.2027,1.4465,411.0,32.0093
B,1234.0,1.1232,11.0,572,656,616.0,10.0,1.1219,1232.0,17.4981,306.1833,2.0,0.1621,15,20,17.0,5.0,2.7823,873.0,1.2271,1.5057,361.0,29.2545
G,1165.0,1.0604,11.0,542,620,584.0,10.0,1.0636,1168.0,15.8321,250.6547,3.0,0.2575,15,21,17.0,5.0,2.7823,873.0,1.2271,1.5057,292.0,25.0644
Q,1073.0,0.9767,11.0,500,591,541.0,10.0,0.9853,1082.0,18.5857,345.429,9.0,0.8388,15,20,17.0,5.0,2.7823,873.0,1.2578,1.582,200.0,18.6393
J,904.0,0.8228,10.0,414,473,451.0,9.0,0.8214,902.0,14.5418,211.4629,2.0,0.2212,15,20,16.0,4.0,2.6187,617.0,1.2752,1.6261,287.0,31.7478
Y,759.0,0.6909,10.0,343,419,377.0,9.0,0.6866,754.0,14.6076,213.3833,5.0,0.6588,13,19,16.0,4.0,2.6187,617.0,1.1068,1.2249,142.0,18.7088
À,436.0,0.3969,9.0,196,233,214.0,8.0,0.3897,428.0,9.1778,84.2322,8.0,1.8349,13,18,14.0,4.0,2.2913,308.0,1.0568,1.1167,128.0,29.3578
È,423.0,0.385,9.0,186,231,210.0,8.0,0.3825,420.0,10.2671,105.4127,3.0,0.7092,12,17,14.0,4.0,2.2913,308.0,1.1301,1.2771,115.0,27.1868
X,420.0,0.3823,9.0,189,231,211.0,8.0,0.3843,422.0,10.5959,112.2731,2.0,0.4762,12,17,14.0,4.0,2.2913,308.0,1.3566,1.8404,112.0,26.6667
Z,398.0,0.3623,9.0,172,224,199.0,8.0,0.3624,398.0,12.3306,152.0445,0.0,0.0,12,17,14.0,4.0,2.2913,308.0,1.0984,1.2065,90.0,22.6131
W,272.0,0.2476,9.0,114,157,136.0,8.0,0.2477,272.0,8.8633,78.5588,0.0,0.0,12,17,13.0,4.0,2.1277,217.0,1.1473,1.3163,55.0,20.2206
K,192.0,0.1748,8.0,81,112,94.0,7.0,0.1712,188.0,7.1571,51.2245,4.0,2.0833,10,16,12.0,4.0,1.964,153.0,1.1622,1.3506,39.0,20.3125
Ê,188.0,0.1711,8.0,77,111,92.0,7.0,0.1675,184.0,6.2342,38.8657,4.0,2.1277,10,15,12.0,4.0,1.964,153.0,1.2739,1.6229,35.0,18.617
Ô,105.0,0.0956,7.0,41,64,52.0,6.0,0.0947,104.0,5.1475,26.4963,1.0,0.9524,9,14,10.0,4.0,1.6367,76.0,1.1507,1.3241,29.0,27.619
Â,79.0,0.0719,7.0,30,49,38.0,6.0,0.0692,76.0,4.0507,16.4086,3.0,3.7975,7,12,10.0,4.0,1.6367,76.0,1.2036,1.4486,3.0,3.7975
Ù,49.0,0.0446,6.0,19,33,25.0,5.0,0.0455,50.0,3.3175,11.0057,1.0,2.0408,6,12,8.0,3.0,1.3093,37.0,1.3372,1.7882,12.0,24.4898
Î,45.0,0.041,6.0,14,33,22.0,5.0,0.0401,44.0,3.659,13.3882,1.0,2.2222,6,12,8.0,3.0,1.3093,37.0,1.2495,1.5612,8.0,17.7778
Û,34.0,0.0309,6.0,11,23,17.0,5.0,0.031,34.0,2.5844,6.6792,0.0,0.0,5,11,7.0,3.0,1.1457,26.0,1.2056,1.4535,8.0,23.5294
Ç,29.0,0.0264,5.0,9,23,14.0,4.0,0.0255,28.0,2.907,8.4506,1.0,3.4483,4,9,6.0,3.0,0.982,18.0,1.14,1.2996,11.0,37.931
Ï,9.0,0.0082,4.0,2,8,4.0,2.0,0.0073,8.0,1.4321,2.051,1.0,11.1111,2,6,4.0,2.0,0.6547,8.0,0.957,0.9159,1.0,11.1111
Ë,7.0,0.0064,3.0,1,6,3.0,2.0,0.0055,6.0,1.2558,1.5771,1.0,14.2857,1,6,3.0,2.0,0.491,5.0,1.0184,1.0371,2.0,28.5714
