letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,16456.0,14.9787,15.0,16258.0,16764.0,16475.0,15.0,14.9999,117.3818,13778.4833,19.0,0.1155,6991.0,39553.0,15355.0,14.0,14.2629,6908.412,47726156.9669,1101.0,6.6906
S,8357.0,7.6067,14.0,8174.0,8528.0,8356.0,14.0,7.6078,81.6094,6660.0882,1.0,0.012,2471.0,19776.0,7926.0,13.0,7.3623,3439.1085,11827467.4812,431.0,5.1574
T,7734.0,7.0397,13.0,7540.0,7944.0,7734.0,13.0,7.0415,99.8307,9966.1649,0.0,0.0,3495.0,13983.0,7927.0,13.0,7.3632,2772.7018,7687875.5004,193.0,2.4955
N,7544.0,6.8667,13.0,7402.0,7690.0,7535.0,13.0,6.8604,69.7119,4859.7551,9.0,0.1193,3495.0,13983.0,7525.0,13.0,6.9898,2655.6177,7052305.1363,19.0,0.2519
R,7502.0,6.8285,13.0,7296.0,7686.0,7499.0,13.0,6.8276,94.6344,8955.6637,3.0,0.04,2471.0,13983.0,7219.0,13.0,6.7056,2603.8454,6780010.8147,283.0,3.7723
A,7392.0,6.7284,13.0,7178.0,7532.0,7383.0,13.0,6.722,82.2345,6762.5208,9.0,0.1218,2471.0,19776.0,7042.0,13.0,6.5411,3497.0641,12229457.398,350.0,4.7348
I,7391.0,6.7275,13.0,7168.0,7598.0,7410.0,13.0,6.7465,102.4659,10499.2653,19.0,0.2571,3495.0,19776.0,6861.0,13.0,6.373,3091.43,9556939.1939,530.0,7.1709
O,7082.0,6.4462,13.0,6904.0,7294.0,7064.0,13.0,6.4315,86.0707,7408.1633,18.0,0.2542,3495.0,13983.0,7223.0,13.0,6.7093,3216.3608,10344976.7445,141.0,1.991
U,6820.0,6.2077,13.0,6584.0,6990.0,6813.0,13.0,6.203,93.6404,8768.5159,7.0,0.1026,2471.0,13983.0,6330.0,13.0,5.8798,2759.1776,7613060.9371,490.0,7.1848
L,5486.0,4.9935,13.0,5338.0,5714.0,5488.0,13.0,4.9966,68.2824,4662.48,2.0,0.0365,2471.0,19776.0,5983.0,13.0,5.5575,3137.3221,9842790.2241,497.0,9.0594
D,3616.0,3.2914,12.0,3470.0,3724.0,3621.0,12.0,3.2968,58.4878,3420.8261,5.0,0.1383,1235.0,6991.0,3711.0,12.0,3.4471,1432.5702,2052257.4955,95.0,2.6272
M,3558.0,3.2386,12.0,3412.0,3652.0,3546.0,12.0,3.2285,58.6919,3444.7347,12.0,0.3373,1235.0,6991.0,3623.0,12.0,3.3653,1528.5251,2336388.9371,65.0,1.8269
C,3368.0,3.0656,12.0,3240.0,3498.0,3370.0,12.0,3.0683,56.6669,3211.1429,2.0,0.0594,1235.0,6991.0,3330.0,12.0,3.0932,1615.2196,2608934.5045,38.0,1.1283
P,2897.0,2.6369,12.0,2778.0,3016.0,2903.0,12.0,2.6431,50.1915,2519.1837,6.0,0.2071,1235.0,6991.0,2946.0,12.0,2.7365,1257.3425,1580910.1649,49.0,1.6914
V,1944.0,1.7695,11.0,1864.0,2052.0,1938.0,11.0,1.7645,44.3006,1962.5404,6.0,0.3086,617.0,4943.0,2072.0,12.0,1.9246,987.0219,974212.2857,128.0,6.5844
É,1922.0,1.7495,11.0,1782.0,2008.0,1914.0,11.0,1.7426,41.783,1745.822,8.0,0.4162,617.0,6991.0,1988.0,11.0,1.8466,1146.6776,1314869.4922,66.0,3.4339
H,1689.0,1.5374,11.0,1598.0,1780.0,1685.0,11.0,1.5341,36.6127,1340.4882,4.0,0.2368,873.0,4943.0,1612.0,11.0,1.4973,860.6728,740757.6882,77.0,4.5589
F,1284.0,1.1687,11.0,1206.0,1384.0,1292.0,11.0,1.1763,36.3094,1318.3739,8.0,0.6231,617.0,4943.0,1218.0,11.0,1.1314,679.7928,462118.2514,66.0,5.1402
B,1234.0,1.1232,11.0,1144.0,1312.0,1232.0,11.0,1.1217,34.9962,1224.7331,2.0,0.1621,436.0,2471.0,1181.0,11.0,1.097,506.7715,256817.3567,53.0,4.295
G,1165.0,1.0604,11.0,1084.0,1240.0,1169.0,11.0,1.0643,31.6642,1002.6188,4.0,0.3433,436.0,3495.0,1185.0,11.0,1.1007,555.8084,308923.022,20.0,1.7167
Q,1073.0,0.9767,11.0,1000.0,1182.0,1082.0,11.0,0.9851,37.1714,1381.7159,9.0,0.8388,436.0,2471.0,1083.0,11.0,1.006,472.1986,222971.5629,10.0,0.932
J,904.0,0.8228,10.0,828.0,946.0,902.0,10.0,0.8212,29.0835,845.8514,2.0,0.2212,436.0,2471.0,937.0,10.0,0.8704,447.2123,199998.8065,33.0,3.6504
Y,759.0,0.6909,10.0,686.0,838.0,755.0,10.0,0.6874,29.2153,853.5331,4.0,0.527,217.0,1747.0,697.0,10.0,0.6474,287.0908,82421.1122,62.0,8.1686
À,436.0,0.3969,9.0,392.0,466.0,429.0,9.0,0.3906,18.3556,336.929,7.0,1.6055,217.0,1235.0,442.0,9.0,0.4106,185.3936,34370.8037,6.0,1.3761
È,423.0,0.385,9.0,372.0,462.0,420.0,9.0,0.3824,20.5341,421.6506,3.0,0.7092,153.0,873.0,435.0,9.0,0.4041,178.4307,31837.522,12.0,2.8369
X,420.0,0.3823,9.0,378.0,462.0,423.0,9.0,0.3851,21.1918,449.0922,3.0,0.7143,153.0,873.0,397.0,9.0,0.3688,199.4109,39764.7041,23.0,5.4762
Z,398.0,0.3623,9.0,344.0,448.0,398.0,9.0,0.3624,24.6613,608.178,0.0,0.0,153.0,873.0,359.0,9.0,0.3335,145.0462,21038.3955,39.0,9.799
W,272.0,0.2476,9.0,228.0,314.0,272.0,9.0,0.2476,17.7267,314.2351,0.0,0.0,153.0,873.0,301.0,9.0,0.2796,138.483,19177.5282,29.0,10.6618
K,192.0,0.1748,8.0,162.0,224.0,189.0,8.0,0.1721,14.3143,204.898,3.0,1.5625,76.0,617.0,192.0,8.0,0.1783,90.3548,8163.9873,0.0,0.0
Ê,188.0,0.1711,8.0,154.0,222.0,184.0,8.0,0.1675,12.4685,155.4629,4.0,2.1277,76.0,436.0,191.0,8.0,0.1774,89.0227,7925.0384,3.0,1.5957
Ô,105.0,0.0956,7.0,82.0,128.0,105.0,7.0,0.0956,10.2949,105.9853,0.0,0.0,53.0,308.0,105.0,7.0,0.0975,49.5253,2452.7514,0.0,0.0
Â,79.0,0.0719,7.0,60.0,98.0,77.0,7.0,0.0701,8.1015,65.6343,2.0,2.5316,26.0,153.0,83.0,7.0,0.0771,33.9414,1152.02,4.0,5.0633
Ù,49.0,0.0446,6.0,38.0,66.0,50.0,6.0,0.0455,6.635,44.0229,1.0,2.0408,18.0,153.0,53.0,6.0,0.0492,25.9485,673.3229,4.0,8.1633
Î,45.0,0.041,6.0,28.0,66.0,45.0,6.0,0.041,7.318,53.5527,0.0,0.0,18.0,153.0,45.0,6.0,0.0418,23.6058,557.2347,0.0,0.0
Û,34.0,0.0309,6.0,22.0,46.0,34.0,6.0,0.031,5.1688,26.7167,0.0,0.0,12.0,108.0,36.0,6.0,0.0334,17.3758,301.9167,2.0,5.8824
Ç,29.0,0.0264,5.0,18.0,46.0,28.0,5.0,0.0255,5.814,33.8024,1.0,3.4483,8.0,53.0,27.0,5.0,0.0251,10.9421,119.729,2.0,6.8966
Ï,9.0,0.0082,4.0,4.0,16.0,8.0,3.0,0.0073,2.8643,8.2041,1.0,11.1111,3.0,18.0,9.0,4.0,0.0084,3.8121,14.5322,0.0,0.0
Ë,7.0,0.0064,3.0,2.0,12.0,6.0,3.0,0.0055,2.5117,6.3086,1.0,14.2857,2.0,18.0,8.0,3.0,0.0074,3.6854,13.582,1.0,14.2857
