letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,12083.0,15.28,14.0,5920,6213,6036.0,13.0,15.2775,12072.0,55.8926,3123.9841,11.0,0.091,22,27,24.0,5.0,4.7809,9887.0,1.1036,1.218,2196.0,18.1743
N,7464.0,9.4389,13.0,3671,3844,3727.0,12.0,9.4333,7454.0,40.9458,1676.5588,10.0,0.134,21,25,23.0,5.0,4.5817,6991.0,1.1952,1.4286,473.0,6.3371
I,6684.0,8.4525,13.0,3244,3420,3349.0,12.0,8.4765,6698.0,37.7667,1426.3249,14.0,0.2095,20,25,22.0,5.0,4.3825,4943.0,1.1409,1.3016,1741.0,26.0473
S,5603.0,7.0855,13.0,2710,2909,2797.0,12.0,7.0794,5594.0,43.1693,1863.5853,9.0,0.1606,20,24,22.0,5.0,4.3825,4943.0,1.1718,1.3731,660.0,11.7794
R,5235.0,6.6201,13.0,2551,2705,2617.0,12.0,6.6238,5234.0,34.3751,1181.6506,1.0,0.0191,19,24,21.0,5.0,4.1833,3495.0,1.2237,1.4976,1740.0,33.2378
H,4917.0,6.218,13.0,2400,2543,2463.0,12.0,6.234,4926.0,35.1659,1236.6371,9.0,0.183,18,25,21.0,5.0,4.1833,3495.0,1.5779,2.4898,1422.0,28.9201
T,4900.0,6.1965,13.0,2335,2524,2441.0,12.0,6.1783,4882.0,42.9401,1843.8547,18.0,0.3673,19,23,21.0,5.0,4.1833,3495.0,1.0539,1.1106,1405.0,28.6735
A,3792.0,4.7953,12.0,1839,1998,1900.0,11.0,4.809,3800.0,31.4843,991.2637,8.0,0.211,19,24,20.0,5.0,3.9841,2471.0,1.1925,1.422,1321.0,34.8365
D,3757.0,4.7511,12.0,1801,1945,1877.0,11.0,4.7508,3754.0,31.0538,964.3367,3.0,0.0799,18,23,20.0,5.0,3.9841,2471.0,1.2423,1.5433,1286.0,34.2294
L,3367.0,4.2579,12.0,1609,1741,1682.0,11.0,4.2573,3364.0,27.7073,767.6963,3.0,0.0891,18,24,20.0,5.0,3.9841,2471.0,1.2488,1.5596,896.0,26.6112
U,3228.0,4.0821,12.0,1539,1691,1612.0,11.0,4.0801,3224.0,28.4733,810.7269,4.0,0.1239,18,24,20.0,5.0,3.9841,2471.0,1.4155,2.0037,757.0,23.4511
C,2897.0,3.6635,12.0,1374,1495,1436.0,11.0,3.6346,2872.0,29.4649,868.1812,25.0,0.863,18,23,20.0,5.0,3.9841,2471.0,1.2848,1.6506,426.0,14.7049
M,2598.0,3.2854,12.0,1258,1353,1299.0,11.0,3.2879,2598.0,22.7659,518.2857,0.0,0.0,18,23,20.0,5.0,3.9841,2471.0,1.1141,1.2412,127.0,4.8884
O,2015.0,2.5481,11.0,970,1047,1007.0,10.0,2.5488,2014.0,21.5084,462.6122,1.0,0.0496,16,21,19.0,5.0,3.7849,1747.0,1.2395,1.5363,268.0,13.3002
G,1831.0,2.3155,11.0,875,958,915.0,10.0,2.3159,1830.0,23.0768,532.5408,1.0,0.0546,16,23,18.0,5.0,3.5857,1235.0,1.3845,1.9167,596.0,32.5505
B,1551.0,1.9614,11.0,743,822,779.0,10.0,1.9717,1558.0,18.7855,352.8935,7.0,0.4513,15,21,18.0,5.0,3.5857,1235.0,1.2656,1.6016,316.0,20.374
W,1503.0,1.9007,11.0,710,796,748.0,10.0,1.8932,1496.0,19.6983,388.0229,7.0,0.4657,16,20,18.0,5.0,3.5857,1235.0,1.0152,1.0306,268.0,17.831
F,1164.0,1.472,11.0,543,631,580.0,10.0,1.468,1160.0,17.2044,295.9922,4.0,0.3436,15,21,17.0,5.0,3.3865,873.0,1.3738,1.8873,291.0,25.0
Z,950.0,1.2014,10.0,444,512,478.0,9.0,1.2099,956.0,16.9451,287.1363,6.0,0.6316,14,20,17.0,5.0,3.3865,873.0,1.2771,1.631,77.0,8.1053
K,881.0,1.1141,10.0,399,474,444.0,9.0,1.1238,888.0,15.1415,229.2657,7.0,0.7946,15,20,16.0,4.0,3.1873,617.0,1.3093,1.7143,264.0,29.9659
P,594.0,0.7512,10.0,271,315,294.0,9.0,0.7441,588.0,10.7423,115.398,6.0,1.0101,12,18,15.0,4.0,2.988,436.0,1.3734,1.8861,158.0,26.5993
