letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,12083.0,15.28,14.0,11840.0,12426.0,12072.0,14.0,15.2741,111.7852,12495.9363,11.0,0.091,4943.0,27968.0,10956.0,14.0,14.1359,4600.2338,21162150.5833,1127.0,9.3272
N,7464.0,9.4389,13.0,7342.0,7688.0,7455.0,13.0,9.4324,81.8916,6706.2351,9.0,0.1206,3495.0,13983.0,7609.0,13.0,9.8174,3239.5284,10494544.4833,145.0,1.9427
I,6684.0,8.4525,13.0,6488.0,6840.0,6698.0,13.0,8.4746,75.5334,5705.2996,14.0,0.2095,2471.0,13983.0,6086.0,13.0,7.8524,2441.6917,5961858.1943,598.0,8.9467
S,5603.0,7.0855,13.0,5420.0,5818.0,5595.0,13.0,7.0791,86.3385,7454.3412,8.0,0.1428,2471.0,9887.0,5577.0,13.0,7.1957,2242.9478,5030814.72,26.0,0.464
R,5235.0,6.6201,13.0,5102.0,5410.0,5235.0,13.0,6.6236,68.7503,4726.6024,0.0,0.0,1747.0,9887.0,5044.0,13.0,6.508,1988.3277,3953447.1837,191.0,3.6485
H,4917.0,6.218,13.0,4800.0,5086.0,4927.0,13.0,6.2339,70.3317,4946.5486,10.0,0.2034,1235.0,13983.0,5345.0,13.0,6.8963,3106.2256,9648637.3159,428.0,8.7045
T,4900.0,6.1965,13.0,4670.0,5048.0,4882.0,13.0,6.1769,85.8803,7375.4188,18.0,0.3673,1747.0,6991.0,4487.0,13.0,5.7893,1565.1406,2449665.1037,413.0,8.4286
A,3792.0,4.7953,12.0,3678.0,3996.0,3801.0,12.0,4.8092,62.9687,3965.0547,9.0,0.2373,1747.0,9887.0,3704.0,12.0,4.779,1644.1741,2703308.4343,88.0,2.3207
D,3757.0,4.7511,12.0,3602.0,3890.0,3755.0,12.0,4.751,62.1075,3857.3469,2.0,0.0532,1235.0,6991.0,3478.0,12.0,4.4875,1399.7705,1959357.5771,279.0,7.4261
L,3367.0,4.2579,12.0,3218.0,3482.0,3365.0,12.0,4.2576,55.4147,3070.7853,2.0,0.0594,1235.0,9887.0,3279.0,12.0,4.2307,1596.5666,2549024.8882,88.0,2.6136
U,3228.0,4.0821,12.0,3078.0,3382.0,3224.0,12.0,4.0792,56.9465,3242.9078,4.0,0.1239,1235.0,9887.0,3400.0,12.0,4.3868,1750.3741,3063809.4106,172.0,5.3284
C,2897.0,3.6635,12.0,2748.0,2990.0,2872.0,12.0,3.6338,58.9298,3472.7249,25.0,0.863,1235.0,6991.0,3043.0,12.0,3.9262,1397.7218,1953626.2857,146.0,5.0397
M,2598.0,3.2854,12.0,2516.0,2706.0,2599.0,12.0,3.2884,45.5318,2073.1429,1.0,0.0385,1235.0,6991.0,2722.0,12.0,3.512,1148.6833,1319473.3453,124.0,4.7729
O,2015.0,2.5481,11.0,1940.0,2094.0,2015.0,11.0,2.5495,43.0168,1850.449,0.0,0.0,617.0,3495.0,1982.0,11.0,2.5573,803.0391,644871.8302,33.0,1.6377
