letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,21743.0,13.2473,15.0,10705,11022,10857.0,14.0,13.238,21714.0,61.2317,3749.3229,29.0,0.1334,23,29,25.0,5.0,4.1051,13983.0,1.2182,1.4841,7760.0,35.6896
A,17653.0,10.7554,15.0,8714,8969,8844.0,14.0,10.7835,17688.0,57.032,3252.6547,35.0,0.1983,22,28,25.0,5.0,4.1051,13983.0,1.3093,1.7143,3670.0,20.7897
O,14901.0,9.0787,14.0,7297,7610,7437.0,13.0,9.068,14874.0,67.8418,4602.5045,27.0,0.1812,22,26,24.0,5.0,3.9409,9887.0,1.1817,1.3963,5014.0,33.6487
S,12342.0,7.5196,14.0,6022,6279,6159.0,13.0,7.5097,12318.0,58.931,3472.8588,24.0,0.1945,22,27,24.0,5.0,3.9409,9887.0,1.2501,1.5629,2455.0,19.8914
R,10964.0,6.68,14.0,5363,5576,5487.0,13.0,6.6903,10974.0,46.9382,2203.1922,10.0,0.0912,22,28,23.0,5.0,3.7767,6991.0,1.3323,1.7751,3973.0,36.2368
N,10005.0,6.0957,14.0,4845,5098,5000.0,13.0,6.0965,10000.0,49.0273,2403.6735,5.0,0.05,22,26,23.0,5.0,3.7767,6991.0,1.0079,1.0159,3014.0,30.1249
I,9484.0,5.7783,14.0,4634,4815,4733.0,13.0,5.771,9466.0,40.9244,1674.8037,18.0,0.1898,20,27,23.0,5.0,3.7767,6991.0,1.1808,1.3943,2493.0,26.2864
L,8919.0,5.4341,14.0,4337,4599,4459.0,13.0,5.4369,8918.0,53.33,2844.0853,1.0,0.0112,21,26,23.0,5.0,3.7767,6991.0,1.0994,1.2086,1928.0,21.6168
D,7622.0,4.6439,13.0,3743,3881,3808.0,12.0,4.6431,7616.0,37.0649,1373.8061,6.0,0.0787,21,26,23.0,5.0,3.7767,6991.0,1.1132,1.2392,631.0,8.2787
U,7385.0,4.4995,13.0,3592,3792,3693.0,12.0,4.5029,7386.0,46.7909,2189.3861,1.0,0.0135,20,25,22.0,5.0,3.6125,4943.0,1.2936,1.6735,2442.0,33.067
T,7224.0,4.4014,13.0,3528,3727,3611.0,12.0,4.4029,7222.0,41.4006,1714.0102,2.0,0.0277,21,26,23.0,5.0,3.7767,6991.0,1.3952,1.9465,233.0,3.2254
C,6304.0,3.8408,13.0,3046,3234,3148.0,12.0,3.8384,6296.0,41.3629,1710.8902,8.0,0.1269,21,25,22.0,5.0,3.6125,4943.0,0.9392,0.882,1361.0,21.5895
M,5392.0,3.2852,13.0,2635,2788,2699.0,12.0,3.2909,5398.0,34.9913,1224.3922,6.0,0.1113,20,24,21.0,5.0,3.4483,3495.0,1.0467,1.0955,1897.0,35.1818
P,3930.0,2.3944,12.0,1891,2018,1965.0,11.0,2.3959,3930.0,28.8026,829.5902,0.0,0.0,18,23,20.0,5.0,3.2841,2471.0,1.1156,1.2445,1459.0,37.1247
H,2542.0,1.5488,12.0,1201,1335,1267.0,11.0,1.5449,2534.0,30.2338,914.0833,8.0,0.3147,17,22,19.0,5.0,3.1199,1747.0,1.1739,1.378,795.0,31.2746
Q,2208.0,1.3453,12.0,1052,1153,1096.0,11.0,1.3364,2192.0,24.3017,590.5714,16.0,0.7246,17,23,19.0,5.0,3.1199,1747.0,1.2752,1.6261,461.0,20.8786
B,2000.0,1.2185,11.0,949,1039,991.0,10.0,1.2083,1982.0,21.7715,474.0,18.0,0.9,17,23,19.0,5.0,3.1199,1747.0,1.2122,1.4694,253.0,12.65
Y,1956.0,1.1917,11.0,929,1022,977.0,10.0,1.1913,1954.0,19.4695,379.0629,2.0,0.1022,17,22,19.0,5.0,3.1199,1747.0,1.1156,1.2445,209.0,10.6851
V,1936.0,1.1795,11.0,920,1022,969.0,10.0,1.1815,1938.0,24.4948,599.9955,2.0,0.1033,17,22,19.0,5.0,3.1199,1747.0,1.2488,1.5596,189.0,9.7624
G,1803.0,1.0985,11.0,839,944,900.0,10.0,1.0974,1800.0,23.6685,560.1976,3.0,0.1664,17,21,19.0,5.0,3.1199,1747.0,1.1429,1.3061,56.0,3.1059
Á,1626.0,0.9907,11.0,764,868,815.0,10.0,0.9937,1630.0,21.9471,481.6739,4.0,0.246,16,21,18.0,5.0,2.9557,1235.0,1.3273,1.7616,391.0,24.0467
F,1079.0,0.6574,11.0,491,582,541.0,10.0,0.6596,1082.0,15.8325,250.6678,3.0,0.278,15,20,17.0,5.0,2.7915,873.0,1.0529,1.1086,206.0,19.0918
