letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,21743.0,13.2473,15.0,21410.0,22044.0,21714.0,15.0,13.2367,122.4634,14997.2914,29.0,0.1334,6991.0,55937.0,20457.0,15.0,12.7708,9314.3608,86757317.0612,1286.0,5.9145
A,17653.0,10.7554,15.0,17428.0,17938.0,17688.0,15.0,10.7825,114.0641,13010.6188,35.0,0.1983,4943.0,39553.0,18868.0,15.0,11.7788,7631.3778,58237927.269,1215.0,6.8827
O,14901.0,9.0787,14.0,14594.0,15220.0,14874.0,14.0,9.0671,135.6835,18410.018,27.0,0.1812,4943.0,19776.0,12885.0,14.0,8.0438,4909.081,24099076.7547,2016.0,13.5293
S,12342.0,7.5196,14.0,12044.0,12558.0,12318.0,14.0,7.509,117.8619,13891.4351,24.0,0.1945,4943.0,27968.0,11723.0,14.0,7.3184,5417.631,29350725.9363,619.0,5.0154
R,10964.0,6.68,14.0,10726.0,11152.0,10975.0,14.0,6.6903,93.8763,8812.769,11.0,0.1003,4943.0,39553.0,11034.0,14.0,6.8882,6353.7464,40370093.631,70.0,0.6385
N,10005.0,6.0957,14.0,9690.0,10196.0,10001.0,14.0,6.0965,98.0545,9614.6939,4.0,0.04,4943.0,19776.0,9220.0,14.0,5.7558,3465.3176,12008426.0963,785.0,7.8461
I,9484.0,5.7783,14.0,9268.0,9630.0,9466.0,14.0,5.7704,81.8487,6699.2147,18.0,0.1898,2471.0,27968.0,8840.0,14.0,5.5186,3955.4264,15645397.878,644.0,6.7904
L,8919.0,5.4341,14.0,8674.0,9198.0,8919.0,14.0,5.437,106.6599,11376.3412,0.0,0.0,3495.0,19776.0,9419.0,14.0,5.88,3528.0771,12447327.8567,500.0,5.606
D,7622.0,4.6439,13.0,7486.0,7762.0,7616.0,13.0,4.6427,74.1298,5495.2245,6.0,0.0787,3495.0,19776.0,7956.0,13.0,4.9667,3234.4012,10461350.9751,334.0,4.3821
U,7385.0,4.4995,13.0,7184.0,7584.0,7387.0,13.0,4.5031,93.5818,8757.5445,2.0,0.0271,2471.0,13983.0,6275.0,13.0,3.9173,2989.4273,8936675.5004,1110.0,15.0305
T,7224.0,4.4014,13.0,7056.0,7454.0,7223.0,13.0,4.4031,82.8012,6856.0408,1.0,0.0138,3495.0,19776.0,8408.0,14.0,5.2489,4596.9944,21132357.8127,1184.0,16.3898
