letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,37206.0,15.5418,16.0,18264,18860,18610.0,15.0,15.5469,37220.0,107.6938,11597.9576,14.0,0.0376,26,32,27.0,5.0,3.9359,27968.0,1.2657,1.602,9238.0,24.8293
S,19107.0,7.9814,15.0,9410,9726,9561.0,14.0,7.9873,19122.0,72.2533,5220.5404,15.0,0.0785,22,28,25.0,5.0,3.6443,13983.0,1.1429,1.3061,5124.0,26.8174
A,17165.0,7.1702,15.0,8394,8694,8576.0,14.0,7.1645,17152.0,60.778,3693.9608,13.0,0.0757,23,28,25.0,5.0,3.6443,13983.0,1.2002,1.4404,3182.0,18.5377
N,17093.0,7.1401,15.0,8375,8677,8550.0,14.0,7.1427,17100.0,62.3865,3892.0771,7.0,0.041,23,28,25.0,5.0,3.6443,13983.0,1.2976,1.6837,3110.0,18.1946
T,16625.0,6.9446,15.0,8209,8432,8303.0,14.0,6.9364,16606.0,50.1717,2517.1955,19.0,0.1143,23,28,25.0,5.0,3.6443,13983.0,1.3439,1.8061,2642.0,15.8917
I,16156.0,6.7487,14.0,7961,8202,8073.0,13.0,6.7442,16146.0,65.2994,4264.0102,10.0,0.0619,22,28,24.0,5.0,3.4985,9887.0,1.165,1.3571,6269.0,38.8029
R,16095.0,6.7233,14.0,7901,8166,8040.0,13.0,6.7167,16080.0,62.7782,3941.102,15.0,0.0932,22,28,24.0,5.0,3.4985,9887.0,1.2696,1.6118,6208.0,38.571
U,15095.0,6.3055,14.0,7354,7643,7542.0,13.0,6.3006,15084.0,56.8848,3235.8759,11.0,0.0729,22,28,24.0,5.0,3.4985,9887.0,1.4097,1.9873,5208.0,34.5015
O,14899.0,6.2237,14.0,7302,7583,7464.0,13.0,6.2355,14928.0,66.8181,4464.6596,29.0,0.1946,22,27,24.0,5.0,3.4985,9887.0,1.2395,1.5363,5012.0,33.6398
L,12997.0,5.4291,14.0,6394,6660,6510.0,13.0,5.4385,13020.0,66.04,4361.2853,23.0,0.177,22,27,24.0,5.0,3.4985,9887.0,0.9858,0.9718,3110.0,23.9286
M,8000.0,3.3418,13.0,3914,4072,3990.0,12.0,3.3333,7980.0,39.4136,1553.4302,20.0,0.25,21,27,23.0,5.0,3.3528,6991.0,1.3013,1.6935,1009.0,12.6125
D,7681.0,3.2085,13.0,3717,3946,3844.0,12.0,3.2113,7688.0,46.7378,2184.4184,7.0,0.0911,21,25,22.0,5.0,3.207,4943.0,0.9864,0.9731,2738.0,35.6464
C,7210.0,3.0118,13.0,3529,3679,3597.0,12.0,3.005,7194.0,37.6684,1418.9082,16.0,0.2219,20,25,22.0,5.0,3.207,4943.0,1.2056,1.4535,2267.0,31.4424
P,6590.0,2.7528,13.0,3225,3389,3300.0,12.0,2.7568,6600.0,38.4915,1481.5918,10.0,0.1517,20,25,22.0,5.0,3.207,4943.0,1.1824,1.398,1647.0,24.9924
V,4193.0,1.7515,13.0,2040,2177,2103.0,12.0,1.7569,4206.0,36.2389,1313.2555,13.0,0.31,19,24,21.0,5.0,3.0612,3495.0,1.1995,1.4388,698.0,16.6468
É,3709.0,1.5493,12.0,1782,1892,1849.0,11.0,1.5447,3698.0,25.5929,654.9943,11.0,0.2966,19,23,20.0,5.0,2.9155,2471.0,1.0412,1.0841,1238.0,33.3783
Q,2891.0,1.2076,12.0,1388,1500,1446.0,11.0,1.208,2892.0,26.0838,680.3629,1.0,0.0346,18,22,20.0,5.0,2.9155,2471.0,1.0926,1.1939,420.0,14.5278
H,2808.0,1.173,12.0,1350,1475,1406.0,11.0,1.1746,2812.0,28.2005,795.269,4.0,0.1425,17,23,19.0,5.0,2.7697,1747.0,1.1782,1.3882,1061.0,37.7849
F,2401.0,1.003,12.0,1160,1267,1205.0,11.0,1.0067,2410.0,26.8269,719.6837,9.0,0.3748,16,22,19.0,5.0,2.7697,1747.0,1.0897,1.1873,654.0,27.2387
G,2235.0,0.9336,12.0,1075,1160,1117.0,11.0,0.9332,2234.0,20.5935,424.0918,1.0,0.0447,17,23,19.0,5.0,2.7697,1747.0,1.2289,1.5102,488.0,21.8345
B,1936.0,0.8087,11.0,902,1028,968.0,10.0,0.8087,1936.0,26.3671,695.2261,0.0,0.0,16,21,19.0,5.0,2.7697,1747.0,1.069,1.1429,189.0,9.7624
J,1333.0,0.5568,11.0,633,710,667.0,10.0,0.5572,1334.0,16.4704,271.2755,1.0,0.075,15,21,17.0,5.0,2.4781,873.0,1.1337,1.2853,460.0,34.5086
À,1252.0,0.523,11.0,583,657,628.0,10.0,0.5246,1256.0,15.0809,227.4322,4.0,0.3195,16,21,18.0,5.0,2.6239,1235.0,1.3553,1.8367,17.0,1.3578
È,827.0,0.3455,10.0,380,439,410.0,9.0,0.3425,820.0,14.953,223.5918,7.0,0.8464,15,18,16.0,4.0,2.3324,617.0,0.9116,0.831,210.0,25.393
X,784.0,0.3275,10.0,362,421,395.0,9.0,0.33,790.0,13.5524,183.6669,6.0,0.7653,14,21,16.0,4.0,2.3324,617.0,1.5093,2.278,167.0,21.301
Z,736.0,0.3074,10.0,330,397,366.0,9.0,0.3058,732.0,15.0621,226.8673,4.0,0.5435,14,19,16.0,4.0,2.3324,617.0,1.2224,1.4943,119.0,16.1685
Y,627.0,0.2619,10.0,293,334,314.0,9.0,0.2623,628.0,10.4242,108.6633,1.0,0.1595,14,18,15.0,4.0,2.1866,436.0,1.1445,1.3098,191.0,30.4625
Ê,585.0,0.2444,10.0,250,321,293.0,9.0,0.2448,586.0,12.1794,148.3384,1.0,0.1709,13,18,15.0,4.0,2.1866,436.0,1.1988,1.4371,149.0,25.4701
Â,264.0,0.1103,9.0,106,154,132.0,8.0,0.1103,264.0,8.8605,78.5078,0.0,0.0,11,16,13.0,4.0,1.895,217.0,1.0645,1.1331,47.0,17.803
K,205.0,0.0856,8.0,86,115,102.0,7.0,0.0852,204.0,6.7806,45.9759,1.0,0.4878,10,14,12.0,4.0,1.7493,153.0,1.1386,1.2963,52.0,25.3659
Ô,137.0,0.0572,8.0,59,80,68.0,7.0,0.0568,136.0,5.4372,29.5629,1.0,0.7299,9,14,11.0,4.0,1.6035,108.0,1.2324,1.5188,29.0,21.1679
Ù,125.0,0.0522,7.0,47,76,62.0,6.0,0.0518,124.0,5.8485,34.2045,1.0,0.8,9,14,11.0,4.0,1.6035,108.0,1.3293,1.7669,17.0,13.6
Û,114.0,0.0476,7.0,47,67,57.0,6.0,0.0476,114.0,4.9621,24.6224,0.0,0.0,9,13,10.0,4.0,1.4577,76.0,0.9899,0.98,38.0,33.3333
Î,100.0,0.0418,7.0,41,61,50.0,6.0,0.0418,100.0,4.601,21.169,0.0,0.0,8,14,10.0,4.0,1.4577,76.0,1.3118,1.7208,24.0,24.0
Ç,89.0,0.0372,7.0,33,53,44.0,6.0,0.0368,88.0,4.6363,21.4955,1.0,1.1236,7,14,10.0,4.0,1.4577,76.0,1.3649,1.8629,13.0,14.6067
Ë,68.0,0.0284,7.0,27,41,34.0,6.0,0.0284,68.0,3.6107,13.0371,0.0,0.0,8,12,9.0,4.0,1.312,53.0,1.1643,1.3555,15.0,22.0588
W,35.0,0.0146,6.0,11,26,17.0,5.0,0.0142,34.0,3.3857,11.4629,1.0,2.8571,5,11,7.0,3.0,1.0204,26.0,1.2382,1.5331,9.0,25.7143
Ï,19.0,0.0079,5.0,5,15,9.0,4.0,0.0075,18.0,2.4558,6.031,1.0,5.2632,4,9,6.0,3.0,0.8746,18.0,1.1718,1.3731,1.0,5.2632
Æ,1.0,0.0004,0.0,0,1,0.0,-inf,0.0,0.0,0.4949,0.2449,1.0,100.0,1,1,1.0,0.0,0.1458,2.0,0.0,0.0,1.0,100.0
