letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,37206.0,15.5418,16.0,36528.0,37720.0,37221.0,16.0,15.5465,215.3876,46391.8302,15.0,0.0403,19776.0,158216.0,42654.0,16.0,17.6003,24857.4866,617894637.6637,5448.0,14.6428
S,19107.0,7.9814,15.0,18820.0,19452.0,19122.0,15.0,7.9869,144.5066,20882.1616,15.0,0.0785,4943.0,39553.0,18530.0,15.0,7.646,7222.5108,52164662.1453,577.0,3.0198
A,17165.0,7.1702,15.0,16788.0,17388.0,17153.0,15.0,7.1645,121.5559,14775.8433,12.0,0.0699,6991.0,39553.0,16517.0,15.0,6.8154,7797.2911,60797748.0963,648.0,3.7751
N,17093.0,7.1401,15.0,16750.0,17354.0,17100.0,15.0,7.1423,124.773,15568.3086,7.0,0.041,6991.0,39553.0,18359.0,15.0,7.5755,8430.3065,71070068.1486,1266.0,7.4065
T,16625.0,6.9446,15.0,16418.0,16864.0,16606.0,15.0,6.936,100.3433,10068.782,19.0,0.1143,6991.0,39553.0,18605.0,15.0,7.677,9577.7423,91733148.0853,1980.0,11.9098
I,16156.0,6.7487,14.0,15922.0,16404.0,16147.0,14.0,6.7443,130.5988,17056.0408,9.0,0.0557,4943.0,39553.0,14701.0,14.0,6.0661,6733.5245,45340352.1224,1455.0,9.0059
R,16095.0,6.7233,14.0,15802.0,16332.0,16080.0,14.0,6.7163,125.5564,15764.4082,15.0,0.0932,4943.0,39553.0,15270.0,14.0,6.3009,6991.4794,48880784.6486,825.0,5.1258
U,15095.0,6.3055,14.0,14708.0,15286.0,15084.0,14.0,6.3003,113.7695,12943.5037,11.0,0.0729,4943.0,39553.0,14761.0,14.0,6.0908,7415.2367,54985734.7282,334.0,2.2127
O,14899.0,6.2237,14.0,14604.0,15166.0,14929.0,14.0,6.2355,133.6362,17858.6384,30.0,0.2014,4943.0,27968.0,14612.0,14.0,6.0293,5960.5731,35528432.0261,287.0,1.9263
L,12997.0,5.4291,14.0,12788.0,13320.0,13021.0,14.0,5.4386,132.0801,17445.1412,24.0,0.1847,4943.0,27968.0,13510.0,14.0,5.5746,4555.3642,20751343.0127,513.0,3.9471
M,8000.0,3.3418,13.0,7828.0,8144.0,7981.0,13.0,3.3335,78.8272,6213.7208,19.0,0.2375,3495.0,27968.0,7852.0,13.0,3.24,4286.4025,18373246.2567,148.0,1.85
D,7681.0,3.2085,13.0,7434.0,7892.0,7688.0,13.0,3.2111,93.4755,8737.6735,7.0,0.0911,3495.0,13983.0,7199.0,13.0,2.9705,2491.6684,6208411.1935,482.0,6.2752
C,7210.0,3.0118,13.0,7058.0,7358.0,7194.0,13.0,3.0048,75.3368,5675.6327,16.0,0.2219,2471.0,13983.0,6747.0,13.0,2.784,2697.9951,7279177.5608,463.0,6.4216
P,6590.0,2.7528,13.0,6450.0,6778.0,6600.0,13.0,2.7567,76.9829,5926.3673,10.0,0.1517,2471.0,13983.0,6379.0,13.0,2.6322,2663.9096,7096414.4588,211.0,3.2018
V,4193.0,1.7515,13.0,4080.0,4354.0,4207.0,13.0,1.7572,72.4777,5253.022,14.0,0.3339,1747.0,9887.0,4214.0,13.0,1.7388,1752.6966,3071945.5086,21.0,0.5008
É,3709.0,1.5493,12.0,3564.0,3784.0,3698.0,12.0,1.5446,51.1857,2619.9771,11.0,0.2966,1747.0,6991.0,3424.0,12.0,1.4128,1223.0098,1495752.9861,285.0,7.684
Q,2891.0,1.2076,12.0,2776.0,3000.0,2892.0,12.0,1.2079,52.1675,2721.4514,1.0,0.0346,1235.0,4943.0,2734.0,12.0,1.1281,983.8677,967995.6963,157.0,5.4306
H,2808.0,1.173,12.0,2700.0,2950.0,2812.0,12.0,1.1745,56.401,3181.0759,4.0,0.1425,873.0,6991.0,2552.0,12.0,1.053,1082.6874,1172212.0098,256.0,9.1168
