letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,28300.0,16.6556,15.0,13967,14313,14142.0,14.0,16.6472,28284.0,83.7884,7020.5,16.0,0.0565,25,29,26.0,5.0,4.6763,19776.0,0.9607,0.9229,8524.0,30.1201
N,17178.0,10.1099,15.0,8446,8719,8587.0,14.0,10.1082,17174.0,62.6978,3931.0188,4.0,0.0233,23,28,25.0,5.0,4.4964,13983.0,1.3126,1.7229,3195.0,18.5994
I,13710.0,8.0688,14.0,6719,6957,6860.0,13.0,8.0752,13720.0,56.0065,3136.7269,10.0,0.0729,21,28,24.0,5.0,4.3165,9887.0,1.3864,1.922,3823.0,27.8848
S,12046.0,7.0895,14.0,5929,6163,6040.0,13.0,7.11,12080.0,57.2081,3272.7678,34.0,0.2823,22,26,24.0,5.0,4.3165,9887.0,1.0956,1.2004,2159.0,17.923
R,11479.0,6.7558,14.0,5627,5829,5744.0,13.0,6.7615,11488.0,44.3649,1968.2449,9.0,0.0784,22,27,24.0,5.0,4.3165,9887.0,1.183,1.3996,1592.0,13.8688
H,10050.0,5.9148,14.0,4869,5111,5015.0,13.0,5.9034,10030.0,45.3089,2052.8996,20.0,0.199,21,27,23.0,5.0,4.1367,6991.0,1.2002,1.4404,3059.0,30.4378
T,9775.0,5.7529,14.0,4761,4983,4873.0,13.0,5.7362,9746.0,44.7107,1999.0486,29.0,0.2967,21,27,23.0,5.0,4.1367,6991.0,1.0645,1.1331,2784.0,28.4808
A,8630.0,5.0791,14.0,4214,4420,4303.0,13.0,5.0653,8606.0,46.0608,2121.5955,24.0,0.2781,21,26,23.0,5.0,4.1367,6991.0,1.1471,1.3159,1639.0,18.9919
D,7670.0,4.5141,13.0,3695,3938,3833.0,12.0,4.512,7666.0,46.4422,2156.8739,4.0,0.0522,20,25,22.0,5.0,3.9568,4943.0,1.016,1.0322,2727.0,35.5541
L,6762.0,3.9797,13.0,3293,3494,3383.0,12.0,3.9823,6766.0,45.905,2107.2718,4.0,0.0592,20,25,22.0,5.0,3.9568,4943.0,1.1328,1.2833,1819.0,26.9003
U,6266.0,3.6878,13.0,3061,3226,3143.0,12.0,3.6998,6286.0,41.15,1693.3208,20.0,0.3192,20,25,22.0,5.0,3.9568,4943.0,1.1761,1.3833,1323.0,21.1139
G,5422.0,3.191,13.0,2627,2813,2709.0,12.0,3.1889,5418.0,36.6689,1344.6106,4.0,0.0738,19,24,21.0,5.0,3.777,3495.0,1.2938,1.6739,1927.0,35.5404
C,5209.0,3.0657,13.0,2532,2657,2597.0,12.0,3.0571,5194.0,30.4194,925.3404,15.0,0.288,19,25,21.0,5.0,3.777,3495.0,1.3346,1.7812,1714.0,32.9046
