letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,28300.0,16.6556,15.0,27934.0,28626.0,28284.0,15.0,16.6461,167.5768,28082.0,16.0,0.0565,13983.0,55937.0,26284.0,15.0,15.741,9229.8979,85191014.4249,2016.0,7.1237
N,17178.0,10.1099,15.0,16892.0,17438.0,17174.0,15.0,10.1075,125.3957,15724.0751,4.0,0.0233,6991.0,39553.0,18070.0,15.0,10.8218,7929.6206,62878883.3894,892.0,5.1927
I,13710.0,8.0688,14.0,13438.0,13914.0,13720.0,14.0,8.0747,112.013,12546.9078,10.0,0.0729,3495.0,39553.0,13508.0,14.0,8.0897,6633.756,44006718.0424,202.0,1.4734
S,12046.0,7.0895,14.0,11858.0,12326.0,12081.0,14.0,7.1101,114.4162,13091.071,35.0,0.2906,4943.0,19776.0,10823.0,14.0,6.4817,4078.0501,16630492.6531,1223.0,10.1527
R,11479.0,6.7558,14.0,11254.0,11658.0,11488.0,14.0,6.7611,88.7298,7872.9796,9.0,0.0784,4943.0,27968.0,11641.0,14.0,6.9716,5320.7834,28310736.4898,162.0,1.4113
H,10050.0,5.9148,14.0,9738.0,10222.0,10030.0,14.0,5.903,90.6179,8211.5984,20.0,0.199,3495.0,27968.0,9948.0,14.0,5.9577,4238.9265,17968498.1812,102.0,1.0149
T,9775.0,5.7529,14.0,9522.0,9966.0,9746.0,14.0,5.7358,89.4214,7996.1943,29.0,0.2967,3495.0,27968.0,9364.0,14.0,5.6079,3999.618,15996944.0392,411.0,4.2046
A,8630.0,5.0791,14.0,8428.0,8840.0,8607.0,14.0,5.0655,92.1216,8486.382,23.0,0.2665,3495.0,19776.0,9010.0,14.0,5.3959,3416.1899,11670353.7506,380.0,4.4032
D,7670.0,4.5141,13.0,7390.0,7876.0,7666.0,13.0,4.5117,92.8843,8627.4955,4.0,0.0522,2471.0,13983.0,6882.0,13.0,4.1215,2480.2323,6151552.2351,788.0,10.2738
L,6762.0,3.9797,13.0,6586.0,6988.0,6767.0,13.0,3.9826,91.8101,8429.0873,5.0,0.0739,2471.0,13983.0,6759.0,13.0,4.0478,2803.9736,7862267.8465,3.0,0.0444
U,6266.0,3.6878,13.0,6122.0,6452.0,6287.0,13.0,3.7001,82.3,6773.2833,21.0,0.3351,2471.0,13983.0,6104.0,13.0,3.6556,2471.2014,6106836.3494,162.0,2.5854
G,5422.0,3.191,13.0,5254.0,5626.0,5418.0,13.0,3.1887,73.3379,5378.4424,4.0,0.0738,1747.0,9887.0,5167.0,13.0,3.0944,2202.4272,4850685.5771,255.0,4.7031
