letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,9679.0,11.0116,14.0,4763,4908,4839.0,13.0,11.0188,9678.0,37.1437,1379.6527,1.0,0.0103,22,26,23.0,5.0,4.8832,6991.0,1.0774,1.1608,2688.0,27.7715
T,7845.0,8.9251,13.0,3785,4015,3928.0,12.0,8.9443,7856.0,48.601,2362.0527,11.0,0.1402,20,26,23.0,5.0,4.8832,6991.0,1.1608,1.3473,854.0,10.8859
A,7120.0,8.1003,13.0,3457,3658,3552.0,12.0,8.0882,7104.0,47.3626,2243.2167,16.0,0.2247,20,25,22.0,5.0,4.6709,4943.0,1.1739,1.378,2177.0,30.5758
S,6969.0,7.9285,13.0,3400,3582,3480.0,12.0,7.9242,6960.0,39.3579,1549.0404,9.0,0.1291,20,25,22.0,5.0,4.6709,4943.0,1.2423,1.5433,2026.0,29.0716
O,6890.0,7.8386,13.0,3365,3542,3445.0,12.0,7.8445,6890.0,35.2319,1241.2902,0.0,0.0,20,26,22.0,5.0,4.6709,4943.0,1.3856,1.92,1947.0,28.2583
I,6057.0,6.8909,13.0,2958,3122,3026.0,12.0,6.8904,6052.0,34.5999,1197.1514,5.0,0.0825,20,25,22.0,5.0,4.6709,4943.0,1.1178,1.2494,1114.0,18.3919
R,5449.0,6.1992,13.0,2648,2829,2724.0,12.0,6.2028,5448.0,41.5042,1722.5996,1.0,0.0184,20,25,22.0,5.0,4.6709,4943.0,1.2357,1.5269,506.0,9.2861
N,5406.0,6.1503,13.0,2617,2761,2707.0,12.0,6.164,5414.0,32.4576,1053.4955,8.0,0.148,19,25,21.0,5.0,4.4586,3495.0,1.3991,1.9576,1911.0,35.3496
H,5078.0,5.7772,13.0,2457,2629,2537.0,12.0,5.7769,5074.0,38.7089,1498.3792,4.0,0.0788,20,25,22.0,5.0,4.6709,4943.0,1.3293,1.7669,135.0,2.6585
U,3999.0,4.5496,12.0,1930,2090,2001.0,11.0,4.5564,4002.0,29.4399,866.7057,3.0,0.075,18,26,21.0,5.0,4.4586,3495.0,1.2618,1.5922,504.0,12.6032
L,3651.0,4.1537,12.0,1757,1882,1822.0,11.0,4.1488,3644.0,31.2559,976.9322,7.0,0.1917,18,23,20.0,5.0,4.2463,2471.0,1.2817,1.6429,1180.0,32.3199
D,3346.0,3.8067,12.0,1620,1745,1671.0,11.0,3.805,3342.0,26.0675,679.5139,4.0,0.1195,18,23,20.0,5.0,4.2463,2471.0,1.2488,1.5596,875.0,26.1506
C,2484.0,2.826,12.0,1178,1293,1244.0,11.0,2.8327,2488.0,22.9108,524.9045,4.0,0.161,17,22,19.0,5.0,4.034,1747.0,1.2103,1.4649,737.0,29.6699
M,2425.0,2.7589,12.0,1168,1299,1210.0,11.0,2.7553,2420.0,29.3699,862.5914,5.0,0.2062,17,22,19.0,5.0,4.034,1747.0,1.3093,1.7143,678.0,27.9588
Y,2068.0,2.3527,12.0,954,1084,1029.0,11.0,2.3431,2058.0,22.0748,487.2963,10.0,0.4836,17,23,19.0,5.0,4.034,1747.0,1.239,1.5351,321.0,15.5222
W,1972.0,2.2435,11.0,947,1034,992.0,10.0,2.2589,1984.0,20.0319,401.2755,12.0,0.6085,16,22,18.0,5.0,3.8217,1235.0,1.0304,1.0616,737.0,37.3732
F,1682.0,1.9136,11.0,780,884,834.0,10.0,1.8991,1668.0,20.6309,425.6327,14.0,0.8323,16,21,18.0,5.0,3.8217,1235.0,1.1634,1.3535,447.0,26.5755
B,1610.0,1.8317,11.0,769,845,802.0,10.0,1.8262,1604.0,17.1474,294.0343,6.0,0.3727,16,22,18.0,5.0,3.8217,1235.0,1.2969,1.682,375.0,23.2919
G,1235.0,1.405,11.0,581,665,617.0,10.0,1.405,1234.0,17.6545,311.68,1.0,0.081,14,20,17.0,5.0,3.6093,873.0,1.3887,1.9286,362.0,29.3117
P,1185.0,1.3482,11.0,548,635,591.0,10.0,1.3458,1182.0,16.8627,284.3514,3.0,0.2532,15,20,17.0,5.0,3.6093,873.0,1.0897,1.1873,312.0,26.3291
V,836.0,0.9511,10.0,379,442,414.0,9.0,0.9427,828.0,14.4011,207.3914,8.0,0.9569,14,20,16.0,4.0,3.397,617.0,1.4434,2.0833,219.0,26.1962
K,662.0,0.7531,10.0,306,359,328.0,9.0,0.7469,656.0,12.1128,146.7188,6.0,0.9063,13,18,16.0,4.0,3.397,617.0,1.3463,1.8127,45.0,6.7976
Z,105.0,0.1195,7.0,45,64,53.0,6.0,0.1207,106.0,4.5142,20.3776,1.0,0.9524,7,14,10.0,4.0,2.1231,76.0,1.2817,1.6429,29.0,27.619
X,79.0,0.0899,7.0,28,53,39.0,6.0,0.0888,78.0,4.708,22.1649,1.0,1.2658,7,13,9.0,4.0,1.9108,53.0,1.3132,1.7245,26.0,32.9114
J,35.0,0.0398,6.0,13,25,17.0,5.0,0.0387,34.0,2.8788,8.2873,1.0,2.8571,6,10,7.0,3.0,1.4862,26.0,0.9916,0.9833,9.0,25.7143
Q,30.0,0.0341,5.0,9,20,14.0,4.0,0.0319,28.0,2.5498,6.5016,2.0,6.6667,6,11,7.0,3.0,1.4862,26.0,1.2304,1.5139,4.0,13.3333
Æ,1.0,0.0011,0.0,0,1,0.0,-inf,0.0,0.0,0.4849,0.2351,1.0,100.0,1,1,1.0,0.0,0.2123,2.0,0.0,0.0,1.0,100.0
