letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,9679.0,11.0116,14.0,9526.0,9816.0,9678.0,14.0,11.0173,74.2874,5518.6106,1.0,0.0103,4943.0,19776.0,9502.0,14.0,10.8239,3884.5941,15090071.5331,177.0,1.8287
T,7845.0,8.9251,13.0,7570.0,8030.0,7857.0,13.0,8.9443,97.2019,9448.2106,12.0,0.153,2471.0,19776.0,7936.0,13.0,9.0401,3266.3129,10668800.0004,91.0,1.16
A,7120.0,8.1003,13.0,6914.0,7316.0,7104.0,13.0,8.0871,94.7252,8972.8669,16.0,0.2247,2471.0,13983.0,6652.0,13.0,7.5774,2492.7702,6213903.0465,468.0,6.573
S,6969.0,7.9285,13.0,6800.0,7164.0,6960.0,13.0,7.9231,78.7157,6196.1616,9.0,0.1291,2471.0,13983.0,6988.0,13.0,7.9602,3023.5748,9142004.5322,19.0,0.2726
O,6890.0,7.8386,13.0,6730.0,7084.0,6890.0,13.0,7.8434,70.4639,4965.1608,0.0,0.0,2471.0,19776.0,7141.0,13.0,8.1345,3845.6769,14789231.0204,251.0,3.643
I,6057.0,6.8909,13.0,5916.0,6244.0,6053.0,13.0,6.8906,69.1998,4788.6057,4.0,0.066,2471.0,13983.0,5979.0,13.0,6.8108,2326.6406,5413256.4898,78.0,1.2878
R,5449.0,6.1992,13.0,5296.0,5658.0,5449.0,13.0,6.203,83.0084,6890.3984,0.0,0.0,2471.0,13983.0,5552.0,13.0,6.3244,2681.5421,7190668.2514,103.0,1.8903
N,5406.0,6.1503,13.0,5234.0,5522.0,5414.0,13.0,6.1632,64.9152,4213.982,8.0,0.148,1747.0,13983.0,5481.0,13.0,6.2435,2871.225,8243932.8914,75.0,1.3873
H,5078.0,5.7772,13.0,4914.0,5258.0,5074.0,13.0,5.7761,77.4178,5993.5167,4.0,0.0788,2471.0,13983.0,5921.0,13.0,6.7447,2848.2017,8112252.8914,843.0,16.601
U,3999.0,4.5496,12.0,3860.0,4180.0,4003.0,12.0,4.5569,58.8797,3466.8229,4.0,0.1,1235.0,19776.0,4096.0,12.0,4.6658,2646.3566,7003203.2657,97.0,2.4256
L,3651.0,4.1537,12.0,3514.0,3764.0,3644.0,12.0,4.1483,62.5118,3907.729,7.0,0.1917,1235.0,6991.0,3473.0,12.0,3.9562,1598.7038,2555853.8514,178.0,4.8754
D,3346.0,3.8067,12.0,3240.0,3490.0,3342.0,12.0,3.8045,52.135,2718.0555,4.0,0.1195,1235.0,6991.0,3179.0,12.0,3.6213,1434.8953,2058924.4082,167.0,4.991
C,2484.0,2.826,12.0,2356.0,2586.0,2488.0,12.0,2.8323,45.8216,2099.618,4.0,0.161,873.0,4943.0,2358.0,12.0,2.686,987.8112,975770.9078,126.0,5.0725
M,2425.0,2.7589,12.0,2336.0,2598.0,2420.0,12.0,2.7549,58.7398,3450.3657,5.0,0.2062,873.0,4943.0,2224.0,12.0,2.5334,1058.7906,1121037.5771,201.0,8.2887
Y,2068.0,2.3527,12.0,1908.0,2168.0,2059.0,12.0,2.3439,44.1496,1949.1853,9.0,0.4352,873.0,6991.0,2166.0,12.0,2.4673,1092.5179,1193595.2653,98.0,4.7389
