letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,18365.0,14.1477,15.0,9070,9329,9179.0,14.0,14.1437,18358.0,69.2332,4793.2343,7.0,0.0381,23,28,25.0,5.0,4.0388,13983.0,1.328,1.7637,4382.0,23.8606
S,12104.0,9.3245,14.0,5931,6160,6059.0,13.0,9.3362,12118.0,47.9692,2301.0453,14.0,0.1157,22,27,24.0,5.0,3.8772,9887.0,1.2747,1.6249,2217.0,18.3163
U,9497.0,7.3161,14.0,4599,4836,4751.0,13.0,7.3207,9502.0,51.4219,2644.2127,5.0,0.0526,21,25,23.0,5.0,3.7157,6991.0,1.069,1.1429,2506.0,26.3873
A,9144.0,7.0442,14.0,4456,4624,4560.0,13.0,7.0264,9120.0,39.208,1537.2637,24.0,0.2625,21,27,23.0,5.0,3.7157,6991.0,1.1205,1.2555,2153.0,23.5455
R,9030.0,6.9564,14.0,4377,4597,4512.0,13.0,6.9524,9024.0,42.9572,1845.3229,6.0,0.0664,21,26,23.0,5.0,3.7157,6991.0,1.276,1.6282,2039.0,22.5803
N,9005.0,6.9371,14.0,4388,4608,4498.0,13.0,6.9309,8996.0,50.837,2584.3984,9.0,0.0999,21,26,23.0,5.0,3.7157,6991.0,1.1586,1.3424,2014.0,22.3654
I,8997.0,6.931,14.0,4381,4619,4497.0,13.0,6.9293,8994.0,54.1129,2928.2024,3.0,0.0333,21,26,23.0,5.0,3.7157,6991.0,1.1445,1.3098,2006.0,22.2963
T,8937.0,6.8847,14.0,4321,4561,4471.0,13.0,6.8893,8942.0,51.1569,2617.0322,5.0,0.0559,21,26,23.0,5.0,3.7157,6991.0,1.1045,1.22,1946.0,21.7746
O,7909.0,6.0928,13.0,3861,4064,3955.0,12.0,6.0942,7910.0,46.7755,2187.9514,1.0,0.0126,20,25,22.0,5.0,3.5541,4943.0,1.1551,1.3343,2966.0,37.5016
L,6020.0,4.6376,13.0,2928,3097,3003.0,12.0,4.6273,6006.0,35.5536,1264.0588,14.0,0.2326,20,26,22.0,5.0,3.5541,4943.0,1.2122,1.4694,1077.0,17.8904
C,4642.0,3.576,13.0,2243,2406,2325.0,12.0,3.5825,4650.0,30.5996,936.3367,8.0,0.1723,19,25,21.0,5.0,3.3926,3495.0,1.3415,1.7996,1147.0,24.7092
D,3977.0,3.0637,12.0,1915,2058,1988.0,11.0,3.0633,3976.0,32.7172,1070.4167,1.0,0.0251,18,24,21.0,5.0,3.3926,3495.0,1.2521,1.5678,482.0,12.1197
M,3924.0,3.0229,12.0,1900,2036,1970.0,11.0,3.0355,3940.0,30.6784,941.1657,16.0,0.4077,19,25,21.0,5.0,3.3926,3495.0,1.3286,1.7653,429.0,10.9327
P,3336.0,2.5699,12.0,1600,1711,1666.0,11.0,2.5671,3332.0,25.3621,643.2347,4.0,0.1199,18,23,20.0,5.0,3.231,2471.0,1.0844,1.1759,865.0,25.9293
V,2429.0,1.8712,12.0,1164,1280,1217.0,11.0,1.8753,2434.0,24.9539,622.6955,5.0,0.2058,18,23,19.0,5.0,3.0695,1747.0,1.3524,1.829,682.0,28.0774
É,2304.0,1.7749,12.0,1113,1224,1155.0,11.0,1.7797,2310.0,25.4977,650.1322,6.0,0.2604,16,23,19.0,5.0,3.0695,1747.0,1.4569,2.1224,557.0,24.1753
Q,1628.0,1.2542,11.0,776,850,812.0,10.0,1.2512,1624.0,18.7685,352.2567,4.0,0.2457,16,21,18.0,5.0,2.9079,1235.0,1.1278,1.2718,393.0,24.14
B,1401.0,1.0793,11.0,672,746,704.0,10.0,1.0848,1408.0,17.3227,300.0771,7.0,0.4996,15,21,18.0,5.0,2.9079,1235.0,1.3013,1.6935,166.0,11.8487
F,1160.0,0.8936,11.0,535,609,582.0,10.0,0.8968,1164.0,18.2601,333.4302,4.0,0.3448,15,20,17.0,5.0,2.7464,873.0,1.1551,1.3343,287.0,24.7414
