letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,18365.0,14.1477,15.0,18140.0,18658.0,18358.0,15.0,14.1414,138.4664,19172.9371,7.0,0.0381,6991.0,39553.0,18152.0,15.0,14.1276,8236.1187,67833651.7833,213.0,1.1598
S,12104.0,9.3245,14.0,11862.0,12320.0,12119.0,14.0,9.3354,95.9384,9204.1812,15.0,0.1239,4943.0,27968.0,11935.0,14.0,9.2889,5676.1492,32218669.8371,169.0,1.3962
U,9497.0,7.3161,14.0,9198.0,9672.0,9503.0,14.0,7.3203,102.8438,10576.8506,6.0,0.0632,3495.0,13983.0,8011.0,13.0,6.2349,3010.9317,9065709.9494,1486.0,15.647
A,9144.0,7.0442,14.0,8912.0,9248.0,9121.0,14.0,7.026,78.4159,6149.0547,23.0,0.2515,3495.0,27968.0,8556.0,14.0,6.6591,3848.5962,14811692.6698,588.0,6.4304
R,9030.0,6.9564,14.0,8754.0,9194.0,9024.0,14.0,6.9513,85.9144,7381.2914,6.0,0.0664,3495.0,19776.0,9511.0,14.0,7.4024,4142.2656,17158364.3678,481.0,5.3267
N,9005.0,6.9371,14.0,8776.0,9216.0,8997.0,14.0,6.9305,101.674,10337.5935,8.0,0.0888,3495.0,19776.0,9413.0,14.0,7.3261,4131.9375,17072907.6735,408.0,4.5308
I,8997.0,6.931,14.0,8762.0,9238.0,8995.0,14.0,6.929,108.2257,11712.8098,2.0,0.0222,3495.0,19776.0,8694.0,14.0,6.7665,3261.8096,10639402.051,303.0,3.3678
T,8937.0,6.8847,14.0,8642.0,9122.0,8942.0,14.0,6.8882,102.3139,10468.129,5.0,0.0559,3495.0,19776.0,9304.0,14.0,7.2413,3558.8687,12665546.7759,367.0,4.1065
O,7909.0,6.0928,13.0,7722.0,8128.0,7911.0,13.0,6.094,93.5511,8751.8057,2.0,0.0253,2471.0,13983.0,7111.0,13.0,5.5345,2978.3543,8870594.5861,798.0,10.0898
L,6020.0,4.6376,13.0,5856.0,6194.0,6007.0,13.0,4.6273,71.1072,5056.2351,13.0,0.2159,2471.0,19776.0,6260.0,13.0,4.8721,3279.7523,10756775.0208,240.0,3.9867
