letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,12852.0,13.7076,14.0,6283,6530,6424.0,13.0,13.7121,12848.0,53.7492,2888.9796,4.0,0.0311,21,27,24.0,5.0,4.8387,9887.0,1.3738,1.8873,2965.0,23.0703
N,8290.0,8.8419,14.0,4043,4231,4132.0,13.0,8.8198,8264.0,38.926,1515.2347,26.0,0.3136,19,26,23.0,5.0,4.6371,6991.0,1.2403,1.5384,1299.0,15.6695
S,7894.0,8.4195,13.0,3796,4056,3946.0,12.0,8.4228,7892.0,44.5835,1987.6853,2.0,0.0253,21,26,23.0,5.0,4.6371,6991.0,1.0774,1.1608,903.0,11.4391
I,7861.0,8.3844,13.0,3812,4044,3932.0,12.0,8.3929,7864.0,48.5885,2360.8412,3.0,0.0382,21,26,23.0,5.0,4.6371,6991.0,1.2137,1.4731,870.0,11.0673
R,7054.0,7.5236,13.0,3428,3613,3531.0,12.0,7.537,7062.0,42.0727,1770.1159,8.0,0.1134,20,25,22.0,5.0,4.4355,4943.0,1.374,1.8878,2111.0,29.9263
T,6095.0,6.5008,13.0,2946,3128,3049.0,12.0,6.5081,6098.0,41.0142,1682.1633,3.0,0.0492,20,24,22.0,5.0,4.4355,4943.0,1.0422,1.0861,1152.0,18.9007
H,5346.0,5.7019,13.0,2607,2768,2680.0,12.0,5.7205,5360.0,35.9966,1295.7551,14.0,0.2619,20,25,21.0,5.0,4.2339,3495.0,1.3219,1.7473,1851.0,34.624
U,4969.0,5.2998,13.0,2404,2592,2486.0,12.0,5.3064,4972.0,33.7775,1140.9229,3.0,0.0604,19,24,21.0,5.0,4.2339,3495.0,1.1648,1.3567,1474.0,29.6639
A,4932.0,5.2604,13.0,2370,2557,2462.0,12.0,5.2552,4924.0,33.7672,1140.2208,8.0,0.1622,20,24,21.0,5.0,4.2339,3495.0,1.085,1.1771,1437.0,29.1363
D,4137.0,4.4124,13.0,1999,2121,2065.0,12.0,4.4078,4130.0,32.687,1068.4424,7.0,0.1692,18,24,21.0,5.0,4.2339,3495.0,1.2014,1.4433,642.0,15.5185
C,4111.0,4.3847,13.0,2001,2125,2055.0,12.0,4.3864,4110.0,28.6444,820.5,1.0,0.0243,19,23,21.0,5.0,4.2339,3495.0,1.1147,1.2424,616.0,14.9842
L,3335.0,3.557,12.0,1548,1725,1664.0,11.0,3.5518,3328.0,33.7053,1136.0445,7.0,0.2099,17,23,20.0,5.0,4.0323,2471.0,1.2526,1.569,864.0,25.907
M,2672.0,2.8499,12.0,1287,1406,1336.0,11.0,2.8517,2672.0,25.317,640.949,0.0,0.0,17,25,19.0,5.0,3.8306,1747.0,1.4626,2.1392,925.0,34.6183
G,2223.0,2.371,12.0,1043,1154,1109.0,11.0,2.3672,2218.0,26.7038,713.0922,5.0,0.2249,18,22,19.0,5.0,3.8306,1747.0,1.1229,1.2608,476.0,21.4125
O,2147.0,2.2899,12.0,1021,1129,1069.0,11.0,2.2818,2138.0,24.5144,600.9555,9.0,0.4192,17,22,19.0,5.0,3.8306,1747.0,1.1287,1.2739,400.0,18.6306
B,1992.0,2.1246,11.0,962,1038,994.0,10.0,2.1217,1988.0,18.9006,357.231,4.0,0.2008,17,22,19.0,5.0,3.8306,1747.0,1.233,1.5204,245.0,12.2992
W,1800.0,1.9198,11.0,867,944,901.0,10.0,1.9232,1802.0,17.8915,320.1065,2.0,0.1111,16,21,18.0,5.0,3.629,1235.0,1.2081,1.4596,565.0,31.3889
F,1249.0,1.3322,11.0,582,654,622.0,10.0,1.3277,1244.0,16.9408,286.9914,5.0,0.4003,16,19,17.0,5.0,3.4274,873.0,1.0302,1.0612,376.0,30.1041
Z,933.0,0.9951,10.0,428,498,464.0,9.0,0.9904,928.0,14.8497,220.5127,5.0,0.5359,14,19,16.0,4.0,3.2258,617.0,1.325,1.7555,316.0,33.8692
K,895.0,0.9546,10.0,415,490,454.0,9.0,0.9691,908.0,16.8187,282.869,13.0,1.4525,14,20,16.0,4.0,3.2258,617.0,1.1933,1.4241,278.0,31.0615
Ä,691.0,0.737,10.0,314,377,345.0,9.0,0.7364,690.0,13.2949,176.7547,1.0,0.1447,14,18,15.0,4.0,3.0242,436.0,1.1066,1.2245,255.0,36.903
Ü,653.0,0.6965,10.0,294,355,325.0,9.0,0.6937,650.0,11.7696,138.5229,3.0,0.4594,14,20,15.0,4.0,3.0242,436.0,1.3614,1.8535,217.0,33.2312
V,627.0,0.6687,10.0,282,337,309.0,9.0,0.6596,618.0,13.9686,195.122,9.0,1.4354,14,19,15.0,4.0,3.0242,436.0,1.32,1.7424,191.0,30.4625
P,477.0,0.5088,9.0,204,267,238.0,8.0,0.508,476.0,11.2159,125.7959,1.0,0.2096,12,18,14.0,4.0,2.8226,308.0,1.2022,1.4453,169.0,35.4298
Ö,290.0,0.3093,9.0,125,161,143.0,8.0,0.3052,286.0,9.3704,87.8045,4.0,1.3793,11,16,13.0,4.0,2.621,217.0,1.1409,1.3016,73.0,25.1724
J,216.0,0.2304,8.0,92,121,106.0,7.0,0.2263,212.0,6.5618,43.0567,4.0,1.8519,11,16,12.0,4.0,2.4194,153.0,1.1542,1.3322,63.0,29.1667
Y,11.0,0.0117,4.0,2,10,5.0,3.0,0.0107,10.0,1.7984,3.2343,1.0,9.0909,2,7,4.0,2.0,0.8065,8.0,1.0152,1.0306,3.0,27.2727
Q,6.0,0.0064,3.0,1,6,3.0,2.0,0.0064,6.0,1.0859,1.1792,0.0,0.0,2,6,3.0,2.0,0.6048,5.0,0.8053,0.6486,1.0,16.6667
