letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,12852.0,13.7076,14.0,12566.0,13060.0,12849.0,14.0,13.7109,107.4985,11555.9184,3.0,0.0233,3495.0,27968.0,13157.0,14.0,13.9179,6089.3697,37080423.778,305.0,2.3732
N,8290.0,8.8419,14.0,8086.0,8462.0,8264.0,14.0,8.8183,77.852,6060.9388,26.0,0.3136,1747.0,19776.0,8119.0,13.0,8.5885,3548.5425,12592153.6392,171.0,2.0627
S,7894.0,8.4195,13.0,7592.0,8112.0,7892.0,13.0,8.4214,89.1669,7950.7412,2.0,0.0253,3495.0,19776.0,8369.0,14.0,8.853,3251.5871,10572818.3776,475.0,6.0172
I,7861.0,8.3844,13.0,7624.0,8088.0,7864.0,13.0,8.3915,97.177,9443.3649,3.0,0.0382,3495.0,19776.0,8848.0,14.0,9.3597,4045.4225,16365443.1269,987.0,12.5557
R,7054.0,7.5236,13.0,6856.0,7226.0,7063.0,13.0,7.5368,84.1455,7080.4637,9.0,0.1276,2471.0,13983.0,7034.0,13.0,7.4408,3387.9163,11477976.8163,20.0,0.2835
T,6095.0,6.5008,13.0,5892.0,6256.0,6099.0,13.0,6.5081,82.0284,6728.6531,4.0,0.0656,2471.0,9887.0,5919.0,13.0,6.2613,2096.5614,4395569.6327,176.0,2.8876
H,5346.0,5.7019,13.0,5214.0,5536.0,5360.0,13.0,5.7195,71.9932,5183.0204,14.0,0.2619,2471.0,13983.0,5044.0,13.0,5.3357,2659.1966,7071326.6939,302.0,5.6491
U,4969.0,5.2998,13.0,4808.0,5184.0,4972.0,13.0,5.3055,67.5551,4563.6914,3.0,0.0604,1747.0,9887.0,4548.0,13.0,4.811,2018.6381,4074899.618,421.0,8.4725
A,4932.0,5.2604,13.0,4740.0,5114.0,4925.0,13.0,5.2554,67.5343,4560.8833,7.0,0.1419,2471.0,9887.0,5160.0,13.0,5.4584,2029.4425,4118636.9045,228.0,4.6229
D,4137.0,4.4124,13.0,3998.0,4242.0,4130.0,13.0,4.407,65.3741,4273.7698,7.0,0.1692,1235.0,9887.0,4014.0,12.0,4.2461,1686.9314,2845737.5608,123.0,2.9732
