letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,16214.0,12.0406,14.0,7995,8232,8105.0,13.0,12.044,16210.0,53.7154,2885.3469,4.0,0.0247,23,29,25.0,5.0,4.8733,13983.0,1.1988,1.4371,2231.0,13.7597
T,11570.0,8.5919,14.0,5679,5953,5787.0,13.0,8.5995,11574.0,55.3404,3062.5649,4.0,0.0346,22,28,24.0,5.0,4.6784,9887.0,1.2224,1.4943,1683.0,14.5462
O,10638.0,7.8998,14.0,5227,5429,5322.0,13.0,7.9085,10644.0,53.3498,2846.1976,6.0,0.0564,21,26,23.0,5.0,4.4834,6991.0,1.4061,1.9771,3647.0,34.2828
A,9605.0,7.1327,14.0,4740,4917,4810.0,13.0,7.1476,9620.0,45.7579,2093.7861,15.0,0.1562,21,26,23.0,5.0,4.4834,6991.0,1.0631,1.1302,2614.0,27.215
R,9088.0,6.7488,14.0,4431,4682,4539.0,13.0,6.7449,9078.0,48.6716,2368.929,10.0,0.11,21,26,23.0,5.0,4.4834,6991.0,1.0897,1.1873,2097.0,23.0744
H,8556.0,6.3537,14.0,4172,4361,4268.0,13.0,6.3422,8536.0,49.4525,2445.5514,20.0,0.2338,21,26,23.0,5.0,4.4834,6991.0,1.2362,1.5282,1565.0,18.2913
I,8482.0,6.2988,14.0,4127,4368,4237.0,13.0,6.2962,8474.0,54.3404,2952.882,8.0,0.0943,21,26,23.0,5.0,4.4834,6991.0,1.1147,1.2424,1491.0,17.5784
N,8450.0,6.275,14.0,4133,4335,4223.0,13.0,6.2754,8446.0,43.8512,1922.931,4.0,0.0473,21,26,23.0,5.0,4.4834,6991.0,1.2289,1.5102,1459.0,17.2663
S,8131.0,6.0381,13.0,3934,4150,4050.0,12.0,6.0183,8100.0,43.0014,1849.1167,31.0,0.3813,21,26,23.0,5.0,4.4834,6991.0,1.3087,1.7127,1140.0,14.0204
D,6094.0,4.5254,13.0,2944,3125,3039.0,12.0,4.5159,6078.0,40.5314,1642.7922,16.0,0.2626,19,25,22.0,5.0,4.2885,4943.0,1.3834,1.9139,1151.0,18.8874
L,5941.0,4.4118,13.0,2872,3041,2967.0,12.0,4.4089,5934.0,38.6344,1492.6139,7.0,0.1178,20,25,22.0,5.0,4.2885,4943.0,1.2848,1.6506,998.0,16.7985
U,4610.0,3.4234,13.0,2246,2363,2304.0,12.0,3.4237,4608.0,26.4796,701.1678,2.0,0.0434,19,24,21.0,5.0,4.0936,3495.0,1.1761,1.3833,1115.0,24.1866
M,3983.0,2.9578,12.0,1924,2075,1986.0,11.0,2.9512,3972.0,29.7399,884.4592,11.0,0.2762,17,23,20.0,5.0,3.8986,2471.0,1.1851,1.4045,1512.0,37.9613
Y,3657.0,2.7157,12.0,1780,1927,1828.0,11.0,2.7164,3656.0,28.8541,832.5616,1.0,0.0273,19,23,20.0,5.0,3.8986,2471.0,1.1586,1.3424,1186.0,32.431
C,3514.0,2.6095,12.0,1710,1822,1762.0,11.0,2.6183,3524.0,25.5322,651.8922,10.0,0.2846,18,24,20.0,5.0,3.8986,2471.0,1.2122,1.4694,1043.0,29.6813
W,2997.0,2.2256,12.0,1444,1546,1500.0,11.0,2.229,3000.0,24.9165,620.8331,3.0,0.1001,18,23,20.0,5.0,3.8986,2471.0,1.1386,1.2963,526.0,17.5509
G,2954.0,2.1937,12.0,1415,1566,1474.0,11.0,2.1904,2948.0,27.779,771.6751,6.0,0.2031,18,24,20.0,5.0,3.8986,2471.0,1.318,1.7371,483.0,16.3507
F,2681.0,1.9909,12.0,1301,1397,1338.0,11.0,1.9883,2676.0,24.7473,612.431,5.0,0.1865,18,23,20.0,5.0,3.8986,2471.0,1.2002,1.4404,210.0,7.8329
B,2376.0,1.7644,12.0,1138,1228,1190.0,11.0,1.7683,2380.0,22.2008,492.8771,4.0,0.1684,17,22,19.0,5.0,3.7037,1747.0,1.318,1.7371,629.0,26.4731
P,1760.0,1.307,11.0,840,943,885.0,10.0,1.3151,1770.0,19.6173,384.8392,10.0,0.5682,17,21,18.0,5.0,3.5088,1235.0,1.1753,1.3812,525.0,29.8295
K,1421.0,1.0552,11.0,682,756,714.0,10.0,1.061,1428.0,16.9452,287.1412,7.0,0.4926,14,21,18.0,5.0,3.5088,1235.0,1.1678,1.3637,186.0,13.0894
V,1221.0,0.9067,11.0,572,642,609.0,10.0,0.905,1218.0,17.1505,294.1392,3.0,0.2457,15,21,17.0,5.0,3.3138,873.0,1.143,1.3065,348.0,28.5012
Q,266.0,0.1975,9.0,116,149,133.0,8.0,0.1976,266.0,7.4561,55.5935,0.0,0.0,11,17,13.0,4.0,2.5341,217.0,1.1068,1.2249,49.0,18.4211
Z,172.0,0.1277,8.0,70,103,85.0,7.0,0.1263,170.0,7.3713,54.3367,2.0,1.1628,9,15,11.0,4.0,2.1442,108.0,1.1877,1.4106,64.0,37.2093
X,149.0,0.1106,8.0,61,88,75.0,7.0,0.1114,150.0,5.9192,35.0371,1.0,0.6711,8,13,11.0,4.0,2.1442,108.0,1.0616,1.1269,41.0,27.5168
J,131.0,0.0973,8.0,55,79,65.0,7.0,0.0966,130.0,4.8085,23.122,1.0,0.7634,9,16,11.0,4.0,2.1442,108.0,1.5005,2.2514,23.0,17.5573
