letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,16214.0,12.0406,14.0,15990.0,16464.0,16210.0,14.0,12.0431,107.4309,11541.3878,4.0,0.0247,6991.0,55937.0,17974.0,15.0,13.1432,8853.4113,78382890.8902,1760.0,10.8548
T,11570.0,8.5919,14.0,11358.0,11906.0,11574.0,14.0,8.5988,110.6809,12250.2596,4.0,0.0346,4943.0,39553.0,12207.0,14.0,8.9262,5998.1049,35977261.9302,637.0,5.5056
O,10638.0,7.8998,14.0,10454.0,10858.0,10645.0,14.0,7.9086,106.6995,11384.7902,7.0,0.0658,3495.0,19776.0,9885.0,14.0,7.2283,4581.2196,20987572.5812,753.0,7.0784
A,9605.0,7.1327,14.0,9480.0,9834.0,9620.0,14.0,7.1471,91.5158,8375.1445,15.0,0.1562,3495.0,19776.0,9914.0,14.0,7.2495,3628.824,13168363.7551,309.0,3.2171
R,9088.0,6.7488,14.0,8862.0,9364.0,9078.0,14.0,6.7444,97.3433,9475.7159,10.0,0.11,3495.0,19776.0,9169.0,14.0,6.7047,3600.4936,12963553.92,81.0,0.8913
H,8556.0,6.3537,14.0,8344.0,8722.0,8537.0,14.0,6.3425,98.905,9782.2057,19.0,0.2221,3495.0,19776.0,8609.0,14.0,6.2952,4257.3205,18124778.08,53.0,0.6194
I,8482.0,6.2988,14.0,8254.0,8736.0,8474.0,14.0,6.2957,108.6809,11811.5282,8.0,0.0943,3495.0,19776.0,8403.0,14.0,6.1446,3315.0809,10989761.1629,79.0,0.9314
N,8450.0,6.275,14.0,8266.0,8670.0,8446.0,14.0,6.2749,87.7025,7691.7241,4.0,0.0473,3495.0,19776.0,8231.0,14.0,6.0188,3956.1826,15651380.4853,219.0,2.5917
S,8131.0,6.0381,13.0,7868.0,8300.0,8100.0,13.0,6.0178,86.0027,7396.4669,31.0,0.3813,3495.0,19776.0,7896.0,13.0,5.7738,4082.9533,16670507.9433,235.0,2.8902
D,6094.0,4.5254,13.0,5888.0,6250.0,6078.0,13.0,4.5156,81.0627,6571.169,16.0,0.2626,1747.0,13983.0,6310.0,13.0,4.6141,3130.0206,9797028.7347,216.0,3.5445
L,5941.0,4.4118,13.0,5744.0,6082.0,5935.0,13.0,4.4094,77.2687,5970.4555,6.0,0.101,2471.0,13983.0,6087.0,13.0,4.451,2795.4436,7814505.1429,146.0,2.4575
U,4610.0,3.4234,13.0,4492.0,4726.0,4608.0,13.0,3.4235,52.9591,2804.671,2.0,0.0434,1747.0,9887.0,4329.0,13.0,3.1655,1852.9817,3433541.2506,281.0,6.0954
M,3983.0,2.9578,12.0,3848.0,4150.0,3972.0,12.0,2.951,59.4797,3537.8367,11.0,0.2762,873.0,6991.0,3689.0,12.0,2.6975,1354.3858,1834360.8833,294.0,7.3814
Y,3657.0,2.7157,12.0,3560.0,3854.0,3656.0,12.0,2.7162,57.7083,3330.2465,1.0,0.0273,1747.0,6991.0,3330.0,12.0,2.435,1486.1299,2208582.0669,327.0,8.9418
C,3514.0,2.6095,12.0,3420.0,3644.0,3524.0,12.0,2.6181,51.0644,2607.569,10.0,0.2846,1235.0,9887.0,3566.0,12.0,2.6076,1642.8911,2699091.3045,52.0,1.4798
W,2997.0,2.2256,12.0,2888.0,3092.0,3001.0,12.0,2.2296,49.833,2483.3322,4.0,0.1335,1235.0,6991.0,3024.0,12.0,2.2113,1265.676,1601935.7322,27.0,0.9009
G,2954.0,2.1937,12.0,2830.0,3132.0,2948.0,12.0,2.1902,55.5581,3086.7004,6.0,0.2031,1235.0,9887.0,3561.0,12.0,2.6039,1698.7733,2885830.6939,607.0,20.5484
F,2681.0,1.9909,12.0,2602.0,2794.0,2676.0,12.0,1.9881,49.4947,2449.7241,5.0,0.1865,1235.0,6991.0,2913.0,12.0,2.1301,1308.7382,1712795.5918,232.0,8.6535
B,2376.0,1.7644,12.0,2276.0,2456.0,2381.0,12.0,1.7689,44.4017,1971.5086,5.0,0.2104,873.0,4943.0,2507.0,12.0,1.8332,1110.4367,1233069.6833,131.0,5.5135
P,1760.0,1.307,11.0,1680.0,1886.0,1771.0,11.0,1.3158,39.2346,1539.3567,11.0,0.625,873.0,3495.0,1838.0,11.0,1.344,723.2187,523045.3241,78.0,4.4318
K,1421.0,1.0552,11.0,1364.0,1512.0,1429.0,11.0,1.0617,33.8905,1148.5649,8.0,0.563,308.0,3495.0,1360.0,11.0,0.9945,547.8466,300135.8469,61.0,4.2928
V,1221.0,0.9067,11.0,1144.0,1284.0,1219.0,11.0,0.9056,34.301,1176.5567,2.0,0.1638,436.0,3495.0,1273.0,11.0,0.9309,550.5804,303138.8118,52.0,4.2588
Q,266.0,0.1975,9.0,232.0,298.0,267.0,9.0,0.1984,14.9122,222.3739,1.0,0.3759,108.0,873.0,246.0,8.0,0.1799,116.42,13553.6229,20.0,7.5188
Z,172.0,0.1277,8.0,140.0,206.0,170.0,8.0,0.1263,14.7427,217.3469,2.0,1.1628,53.0,436.0,153.0,8.0,0.1119,71.3708,5093.7959,19.0,11.0465
X,149.0,0.1106,8.0,122.0,176.0,150.0,8.0,0.1114,11.8384,140.1486,1.0,0.6711,37.0,217.0,129.0,8.0,0.0943,44.7418,2001.8322,20.0,13.4228
J,131.0,0.0973,8.0,110.0,158.0,131.0,8.0,0.0973,9.6171,92.4882,0.0,0.0,53.0,617.0,152.0,8.0,0.1111,98.9395,9789.0306,21.0,16.0305
