letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,27362.0,15.2208,15.0,13525,13872,13693.0,14.0,15.2414,27386.0,86.0703,7408.0935,24.0,0.0877,24,29,26.0,5.0,3.9755,19776.0,1.1192,1.2527,7586.0,27.7246
S,14613.0,8.1289,14.0,7161,7430,7299.0,13.0,8.1244,14598.0,56.7193,3217.0841,15.0,0.1026,22,27,24.0,5.0,3.6697,9887.0,1.1669,1.3616,4726.0,32.3411
R,13527.0,7.5247,14.0,6672,6927,6775.0,13.0,7.5411,13550.0,56.2303,3161.8486,23.0,0.17,22,27,24.0,5.0,3.6697,9887.0,1.2164,1.4796,3640.0,26.9091
A,12369.0,6.8806,14.0,6076,6287,6181.0,13.0,6.8799,12362.0,49.2359,2424.1735,7.0,0.0566,22,26,24.0,5.0,3.6697,9887.0,1.1995,1.4388,2482.0,20.0663
N,12222.0,6.7988,14.0,5961,6245,6104.0,13.0,6.7942,12208.0,55.3944,3068.5408,14.0,0.1145,21,27,24.0,5.0,3.6697,9887.0,1.2747,1.6249,2335.0,19.1049
I,12200.0,6.7866,14.0,5993,6183,6099.0,13.0,6.7887,12198.0,46.5118,2163.3453,2.0,0.0164,21,27,24.0,5.0,3.6697,9887.0,1.1911,1.4188,2313.0,18.959
T,11732.0,6.5262,14.0,5780,5982,5869.0,13.0,6.5327,11738.0,53.5377,2866.2857,6.0,0.0511,22,27,24.0,5.0,3.6697,9887.0,1.1073,1.2261,1845.0,15.7262
U,11186.0,6.2225,14.0,5497,5664,5590.0,13.0,6.2221,11180.0,38.0524,1447.9853,6.0,0.0536,20,27,24.0,5.0,3.6697,9887.0,1.2936,1.6735,1299.0,11.6127
O,10956.0,6.0946,14.0,5349,5572,5471.0,13.0,6.0896,10942.0,54.676,2989.4649,14.0,0.1278,21,26,24.0,5.0,3.6697,9887.0,1.1249,1.2653,1069.0,9.7572
L,8904.0,4.9531,14.0,4364,4526,4445.0,13.0,4.9476,8890.0,37.2524,1387.7424,14.0,0.1572,20,26,23.0,5.0,3.5168,6991.0,1.3864,1.922,1913.0,21.4847
