letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,27362.0,15.2208,15.0,27050.0,27744.0,27387.0,15.0,15.2407,172.1406,29632.3739,25.0,0.0914,9887.0,55937.0,28174.0,15.0,15.6024,10386.3502,107876270.8265,812.0,2.9676
S,14613.0,8.1289,14.0,14322.0,14860.0,14599.0,14.0,8.1242,113.4387,12868.3363,14.0,0.0958,4943.0,27968.0,14315.0,14.0,7.9275,5814.5653,33809169.3943,298.0,2.0393
R,13527.0,7.5247,14.0,13344.0,13854.0,13550.0,14.0,7.5405,112.4606,12647.3943,23.0,0.17,4943.0,27968.0,13722.0,14.0,7.5991,5815.7363,33822788.4592,195.0,1.4416
A,12369.0,6.8806,14.0,12152.0,12574.0,12363.0,14.0,6.8799,98.4718,9696.6939,6.0,0.0485,4943.0,19776.0,11106.0,14.0,6.1504,4448.0609,19785246.1224,1263.0,10.211
N,12222.0,6.7988,14.0,11922.0,12490.0,12208.0,14.0,6.7937,110.7888,12274.1633,14.0,0.1145,3495.0,27968.0,11810.0,14.0,6.5402,4849.9456,23521972.518,412.0,3.371
I,12200.0,6.7866,14.0,11986.0,12366.0,12199.0,14.0,6.7886,93.0236,8653.3812,1.0,0.0082,3495.0,27968.0,12157.0,14.0,6.7324,5049.5572,25498028.3494,43.0,0.3525
T,11732.0,6.5262,14.0,11560.0,11964.0,11738.0,14.0,6.5321,107.0754,11465.1429,6.0,0.0511,4943.0,27968.0,11737.0,14.0,6.4998,4901.5284,24024980.9637,5.0,0.0426
U,11186.0,6.2225,14.0,10994.0,11328.0,11180.0,14.0,6.2216,76.1048,5791.9412,6.0,0.0536,2471.0,27968.0,12486.0,14.0,6.9146,5620.0558,31585027.1412,1300.0,11.6217
O,10956.0,6.0946,14.0,10698.0,11144.0,10942.0,14.0,6.0891,109.352,11957.8596,14.0,0.1278,3495.0,19776.0,10640.0,14.0,5.8923,4170.5459,17393453.3555,316.0,2.8843
L,8904.0,4.9531,14.0,8728.0,9052.0,8890.0,14.0,4.9472,74.5048,5550.9698,14.0,0.1572,2471.0,19776.0,9494.0,14.0,5.2576,4286.2996,18372364.6139,590.0,6.6262
