letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,20335.0,16.5866,15.0,9998,10324,10169.0,14.0,16.5892,20338.0,68.8217,4736.4282,3.0,0.0148,23,28,25.0,5.0,4.6642,13983.0,1.1112,1.2347,6352.0,31.2368
N,12739.0,10.3908,14.0,6236,6437,6362.0,13.0,10.3786,12724.0,46.4453,2157.1657,15.0,0.1177,22,27,24.0,5.0,4.4776,9887.0,1.2643,1.5984,2852.0,22.3879
I,9783.0,7.9797,14.0,4781,5000,4898.0,13.0,7.9903,9796.0,50.0477,2504.7771,13.0,0.1329,21,26,23.0,5.0,4.291,6991.0,1.2014,1.4433,2792.0,28.5393
R,8845.0,7.2146,14.0,4293,4538,4429.0,13.0,7.2252,8858.0,47.33,2240.1327,13.0,0.147,21,26,23.0,5.0,4.291,6991.0,1.2617,1.5918,1854.0,20.961
S,8139.0,6.6387,13.0,3981,4189,4064.0,12.0,6.6298,8128.0,41.679,1737.1429,11.0,0.1352,21,26,23.0,5.0,4.291,6991.0,1.1657,1.3588,1148.0,14.1049
H,6686.0,5.4536,13.0,3264,3443,3342.0,12.0,5.452,6684.0,39.0546,1525.2653,2.0,0.0299,20,24,22.0,5.0,4.1045,4943.0,0.9988,0.9976,1743.0,26.0694
T,6420.0,5.2366,13.0,3151,3293,3211.0,12.0,5.2383,6422.0,34.2639,1174.0167,2.0,0.0312,20,25,21.0,5.0,3.9179,3495.0,1.1337,1.2853,2925.0,45.5607
D,5955.0,4.8573,13.0,2885,3061,2977.0,12.0,4.8565,5954.0,42.1087,1773.1445,1.0,0.0168,20,26,22.0,5.0,4.1045,4943.0,1.1911,1.4188,1012.0,16.9941
A,5505.0,4.4902,13.0,2660,2845,2755.0,12.0,4.4944,5510.0,38.6815,1496.2616,5.0,0.0908,20,25,22.0,5.0,4.1045,4943.0,1.14,1.2996,562.0,10.2089
U,4625.0,3.7725,13.0,2234,2362,2316.0,12.0,3.7782,4632.0,31.1934,973.0306,7.0,0.1514,19,24,21.0,5.0,3.9179,3495.0,1.1287,1.2739,1130.0,24.4324
