letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,20335.0,16.5866,15.0,19996.0,20648.0,20338.0,15.0,16.5873,137.6434,18945.7127,3.0,0.0148,6991.0,39553.0,19174.0,15.0,15.9979,7668.5925,58807311.4486,1161.0,5.7094
N,12739.0,10.3908,14.0,12472.0,12874.0,12724.0,14.0,10.3775,92.8906,8628.6629,15.0,0.1177,4943.0,27968.0,12661.0,14.0,10.5638,5783.5273,33449187.7159,78.0,0.6123
I,9783.0,7.9797,14.0,9562.0,10000.0,9796.0,14.0,7.9894,100.0955,10019.1086,13.0,0.1329,3495.0,19776.0,10127.0,14.0,8.4495,3943.8062,15553607.2412,344.0,3.5163
R,8845.0,7.2146,14.0,8586.0,9076.0,8859.0,14.0,7.2252,94.6601,8960.5306,14.0,0.1583,3495.0,19776.0,8848.0,14.0,7.3824,4166.9168,17363195.2902,3.0,0.0339
S,8139.0,6.6387,13.0,7962.0,8378.0,8129.0,13.0,6.6299,83.3581,6948.5714,10.0,0.1229,3495.0,19776.0,8183.0,13.0,6.8275,3459.0331,11964909.9433,44.0,0.5406
H,6686.0,5.4536,13.0,6528.0,6886.0,6685.0,13.0,5.4522,78.1093,6101.0612,1.0,0.015,2471.0,9887.0,5849.0,13.0,4.8801,1997.0531,3988220.8914,837.0,12.5187
T,6420.0,5.2366,13.0,6302.0,6586.0,6422.0,13.0,5.2377,68.5279,4696.0669,2.0,0.0312,2471.0,13983.0,5305.0,13.0,4.4263,2250.8281,5066227.0433,1115.0,17.3676
D,5955.0,4.8573,13.0,5770.0,6122.0,5954.0,13.0,4.856,84.2174,7092.578,1.0,0.0168,2471.0,19776.0,6128.0,13.0,5.1129,3008.368,9050277.9302,173.0,2.9051
A,5505.0,4.4902,13.0,5320.0,5690.0,5511.0,13.0,4.4947,77.3631,5985.0465,6.0,0.109,2471.0,13983.0,5494.0,13.0,4.5839,2312.8918,5349468.4996,11.0,0.1998
U,4625.0,3.7725,13.0,4468.0,4724.0,4633.0,13.0,3.7786,62.3869,3892.1224,8.0,0.173,1747.0,9887.0,4534.0,13.0,3.783,1754.2218,3077294.2629,91.0,1.9676
L,4533.0,3.6974,13.0,4302.0,4696.0,4516.0,13.0,3.6832,87.7894,7706.978,17.0,0.375,2471.0,9887.0,4580.0,13.0,3.8213,2240.4147,5019457.9592,47.0,1.0368
