letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,10333.0,13.723,14.0,5062,5289,5171.0,13.0,13.7501,10342.0,46.3506,2148.3759,9.0,0.0871,21,26,24.0,5.0,5.298,9887.0,1.2454,1.551,446.0,4.3163
T,6720.0,8.9247,13.0,3265,3439,3356.0,12.0,8.9239,6712.0,39.337,1547.4024,8.0,0.119,21,25,22.0,5.0,4.8565,4943.0,0.9689,0.9388,1777.0,26.4435
O,5857.0,7.7785,13.0,2843,3015,2932.0,12.0,7.7964,5864.0,35.653,1271.1384,7.0,0.1195,20,24,21.0,5.0,4.6358,3495.0,1.0351,1.0714,2362.0,40.3278
A,5746.0,7.6311,13.0,2808,2936,2873.0,12.0,7.6395,5746.0,36.0697,1301.0208,0.0,0.0,20,25,22.0,5.0,4.8565,4943.0,1.2501,1.5629,803.0,13.9749
H,4965.0,6.5939,13.0,2405,2551,2473.0,12.0,6.5759,4946.0,39.3614,1549.3229,19.0,0.3827,19,24,21.0,5.0,4.6358,3495.0,1.1952,1.4286,1470.0,29.6073
N,4824.0,6.4066,13.0,2334,2474,2411.0,12.0,6.411,4822.0,32.6895,1068.6057,2.0,0.0415,19,25,21.0,5.0,4.6358,3495.0,1.2162,1.4792,1329.0,27.5498
S,4812.0,6.3907,13.0,2317,2458,2393.0,12.0,6.3632,4786.0,36.5873,1338.6302,26.0,0.5403,19,26,21.0,5.0,4.6358,3495.0,1.5238,2.322,1317.0,27.3691
I,4376.0,5.8117,13.0,2127,2256,2187.0,12.0,5.8154,4374.0,34.7024,1204.2551,2.0,0.0457,19,24,21.0,5.0,4.6358,3495.0,1.1287,1.2739,881.0,20.1325
R,4330.0,5.7506,13.0,2097,2266,2159.0,12.0,5.741,4318.0,30.7081,942.9894,12.0,0.2771,19,24,21.0,5.0,4.6358,3495.0,1.295,1.6771,835.0,19.2841
L,3264.0,4.3348,12.0,1585,1745,1631.0,11.0,4.337,3262.0,29.5602,873.8057,2.0,0.0613,18,23,20.0,5.0,4.415,2471.0,1.1147,1.2424,793.0,24.2953
D,3054.0,4.0559,12.0,1470,1610,1531.0,11.0,4.0711,3062.0,28.9009,835.2637,8.0,0.262,17,23,20.0,5.0,4.415,2471.0,1.2196,1.4873,583.0,19.0897
U,2719.0,3.611,12.0,1283,1407,1359.0,11.0,3.6137,2718.0,23.0718,532.3057,1.0,0.0368,18,22,20.0,5.0,4.415,2471.0,1.1753,1.3812,248.0,9.121
M,2323.0,3.0851,12.0,1113,1208,1165.0,11.0,3.0978,2330.0,23.4596,550.3514,7.0,0.3013,17,23,19.0,5.0,4.1943,1747.0,1.2289,1.5102,576.0,24.7955
C,1911.0,2.5379,11.0,895,1001,952.0,10.0,2.5314,1904.0,24.8034,615.2098,7.0,0.3663,16,21,18.0,5.0,3.9735,1235.0,1.3644,1.8616,676.0,35.3741
W,1899.0,2.522,11.0,904,1001,947.0,10.0,2.5181,1894.0,22.1682,491.4286,5.0,0.2633,17,23,19.0,5.0,4.1943,1747.0,1.2618,1.5922,152.0,8.0042
Y,1693.0,2.2484,11.0,805,911,845.0,10.0,2.2469,1690.0,20.9718,439.8159,3.0,0.1772,16,21,18.0,5.0,3.9735,1235.0,1.122,1.2588,458.0,27.0526
F,1509.0,2.0041,11.0,715,806,757.0,10.0,2.0129,1514.0,19.7412,389.7147,5.0,0.3313,16,21,18.0,5.0,3.9735,1235.0,1.3099,1.7159,274.0,18.1577
B,1363.0,1.8102,11.0,626,740,678.0,10.0,1.8029,1356.0,18.8471,355.2118,7.0,0.5136,16,21,18.0,5.0,3.9735,1235.0,1.0947,1.1984,128.0,9.391
G,1343.0,1.7836,11.0,640,708,668.0,10.0,1.7763,1336.0,16.2258,263.2751,7.0,0.5212,15,20,17.0,5.0,3.7528,873.0,1.1586,1.3424,470.0,34.9963
P,993.0,1.3188,10.0,434,545,496.0,9.0,1.3189,992.0,18.6962,349.5494,1.0,0.1007,15,20,17.0,5.0,3.7528,873.0,1.1683,1.3649,120.0,12.0846
K,723.0,0.9602,10.0,328,386,357.0,9.0,0.9493,714.0,15.2937,233.8976,9.0,1.2448,14,18,16.0,4.0,3.532,617.0,1.05,1.1024,106.0,14.6611
V,300.0,0.3984,9.0,132,167,148.0,8.0,0.3935,296.0,8.0711,65.1429,4.0,1.3333,11,16,13.0,4.0,2.8698,217.0,1.1713,1.3718,83.0,27.6667
Q,119.0,0.158,7.0,47,68,58.0,6.0,0.1542,116.0,4.7625,22.6812,3.0,2.521,8,13,10.0,4.0,2.2075,76.0,1.14,1.2996,43.0,36.1345
X,98.0,0.1302,7.0,37,61,49.0,6.0,0.1303,98.0,5.1516,26.5392,0.0,0.0,8,13,10.0,4.0,2.2075,76.0,1.073,1.1514,22.0,22.449
Z,23.0,0.0305,5.0,5,17,11.0,4.0,0.0292,22.0,2.5359,6.431,1.0,4.3478,4,8,6.0,3.0,1.3245,18.0,0.9941,0.9882,5.0,21.7391
