letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,10333.0,13.723,14.0,10124.0,10578.0,10343.0,14.0,13.7491,92.7012,8593.5037,10.0,0.0968,3495.0,19776.0,10812.0,14.0,14.5042,4676.1184,21866083.7159,479.0,4.6356
T,6720.0,8.9247,13.0,6530.0,6878.0,6713.0,13.0,8.9237,78.6741,6189.6098,7.0,0.1042,3495.0,13983.0,6439.0,13.0,8.6379,2305.225,5314062.1322,281.0,4.1815
O,5857.0,7.7785,13.0,5686.0,6030.0,5864.0,13.0,7.7951,71.3061,5084.5535,7.0,0.1195,2471.0,9887.0,5087.0,13.0,6.8242,1874.7895,3514835.5918,770.0,13.1467
A,5746.0,7.6311,13.0,5616.0,5872.0,5747.0,13.0,7.6395,72.1393,5204.0833,1.0,0.0174,2471.0,13983.0,5857.0,13.0,7.8571,2693.3588,7254181.7208,111.0,1.9318
H,4965.0,6.5939,13.0,4810.0,5102.0,4947.0,13.0,6.5761,78.7229,6197.2914,18.0,0.3625,1747.0,9887.0,4674.0,13.0,6.2701,1938.6354,3758307.0302,291.0,5.861
N,4824.0,6.4066,13.0,4668.0,4948.0,4823.0,13.0,6.4113,65.3791,4274.4229,1.0,0.0207,1747.0,13983.0,4592.0,13.0,6.1601,2243.2011,5031951.0204,232.0,4.8093
S,4812.0,6.3907,13.0,4634.0,4916.0,4787.0,13.0,6.3634,73.1746,5354.5208,25.0,0.5195,1747.0,19776.0,5035.0,13.0,6.7544,3274.7341,10723883.602,223.0,4.6342
I,4376.0,5.8117,13.0,4254.0,4512.0,4374.0,13.0,5.8144,69.4048,4817.0204,2.0,0.0457,1747.0,9887.0,4557.0,13.0,6.1132,1949.2245,3799475.9902,181.0,4.1362
R,4330.0,5.7506,13.0,4194.0,4532.0,4318.0,13.0,5.74,61.4163,3771.9576,12.0,0.2771,1747.0,9887.0,4475.0,13.0,6.0032,2163.1941,4679408.7771,145.0,3.3487
L,3264.0,4.3348,12.0,3170.0,3490.0,3262.0,12.0,4.3362,59.1204,3495.2229,2.0,0.0613,1235.0,6991.0,2971.0,12.0,3.9856,1183.3962,1400426.449,293.0,8.9767
D,3054.0,4.0559,12.0,2940.0,3220.0,3062.0,12.0,4.0703,57.8019,3341.0547,8.0,0.262,873.0,6991.0,3015.0,12.0,4.0446,1340.782,1797696.2629,39.0,1.277
U,2719.0,3.611,12.0,2566.0,2814.0,2718.0,12.0,3.6131,46.1435,2129.2229,1.0,0.0368,1235.0,4943.0,2746.0,12.0,3.6837,1059.8084,1123193.8351,27.0,0.993
M,2323.0,3.0851,12.0,2226.0,2416.0,2331.0,12.0,3.0986,46.9191,2201.4057,8.0,0.3444,873.0,6991.0,2353.0,12.0,3.1565,1081.7293,1170138.2465,30.0,1.2914
C,1911.0,2.5379,11.0,1790.0,2002.0,1905.0,11.0,2.5323,49.6068,2460.8392,6.0,0.314,617.0,3495.0,1723.0,11.0,2.3114,782.6058,612471.7976,188.0,9.8378
W,1899.0,2.522,11.0,1808.0,2002.0,1895.0,11.0,2.519,44.3364,1965.7143,4.0,0.2106,873.0,6991.0,2037.0,11.0,2.7326,1123.0388,1261216.178,138.0,7.267
Y,1693.0,2.2484,11.0,1610.0,1822.0,1691.0,11.0,2.2479,41.9436,1759.2637,2.0,0.1181,617.0,3495.0,1819.0,11.0,2.4402,649.2193,421485.7551,126.0,7.4424
F,1509.0,2.0041,11.0,1430.0,1612.0,1514.0,11.0,2.0126,39.4824,1558.8588,5.0,0.3313,617.0,3495.0,1502.0,11.0,2.0149,684.3008,468267.5608,7.0,0.4639
B,1363.0,1.8102,11.0,1252.0,1480.0,1356.0,11.0,1.8025,37.6941,1420.8473,7.0,0.5136,617.0,3495.0,1404.0,11.0,1.8835,580.7061,337219.5657,41.0,3.0081
G,1343.0,1.7836,11.0,1280.0,1416.0,1337.0,11.0,1.7773,32.4515,1053.1004,6.0,0.4468,436.0,2471.0,1169.0,11.0,1.5682,465.1232,216339.618,174.0,12.9561
P,993.0,1.3188,10.0,868.0,1090.0,993.0,10.0,1.32,37.3925,1398.1976,0.0,0.0,436.0,2471.0,1061.0,11.0,1.4233,473.0614,223787.1122,68.0,6.8479
K,723.0,0.9602,10.0,656.0,772.0,714.0,10.0,0.9491,30.5874,935.5902,9.0,1.2448,308.0,1235.0,692.0,10.0,0.9283,262.7454,69035.1282,31.0,4.2877
V,300.0,0.3984,9.0,264.0,334.0,296.0,9.0,0.3935,16.1422,260.5714,4.0,1.3333,108.0,617.0,295.0,9.0,0.3957,118.362,14009.5514,5.0,1.6667
Q,119.0,0.158,7.0,94.0,136.0,117.0,7.0,0.1555,9.525,90.7249,2.0,1.6807,37.0,217.0,112.0,7.0,0.1502,41.7013,1738.9976,7.0,5.8824
X,98.0,0.1302,7.0,74.0,122.0,98.0,7.0,0.1303,10.3032,106.1567,0.0,0.0,37.0,217.0,95.0,7.0,0.1274,36.6852,1345.8024,3.0,3.0612
Z,23.0,0.0305,5.0,10.0,34.0,22.0,5.0,0.0292,5.0719,25.7241,1.0,4.3478,8.0,37.0,22.0,5.0,0.0295,7.9545,63.2739,1.0,4.3478
