letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,20041.0,15.0344,15.0,9808,10181,10021.0,14.0,15.0414,20042.0,80.0616,6409.8649,1.0,0.005,23,28,25.0,5.0,4.0258,13983.0,1.1466,1.3147,6058.0,30.228
S,11267.0,8.4523,14.0,5550,5767,5634.0,13.0,8.4565,11268.0,53.0656,2815.9576,1.0,0.0089,22,26,24.0,5.0,3.8647,9887.0,1.1995,1.4388,1380.0,12.2482
A,9681.0,7.2625,14.0,4698,4947,4847.0,13.0,7.2753,9694.0,48.3291,2335.7065,13.0,0.1343,22,26,23.0,5.0,3.7037,6991.0,1.0498,1.102,2690.0,27.7864
N,9563.0,7.174,14.0,4679,4910,4783.0,13.0,7.1792,9566.0,58.5876,3432.5065,3.0,0.0314,20,27,23.0,5.0,3.7037,6991.0,1.4142,2.0,2572.0,26.8953
R,9198.0,6.9002,14.0,4505,4673,4594.0,13.0,6.8955,9188.0,41.0909,1688.4608,10.0,0.1087,21,26,23.0,5.0,3.7037,6991.0,1.2554,1.5759,2207.0,23.9943
T,9071.0,6.8049,14.0,4393,4638,4535.0,13.0,6.807,9070.0,48.0253,2306.4331,1.0,0.011,22,26,23.0,5.0,3.7037,6991.0,1.0721,1.1494,2080.0,22.9302
I,8532.0,6.4006,14.0,4190,4355,4264.0,13.0,6.4002,8528.0,43.27,1872.2922,4.0,0.0469,21,26,23.0,5.0,3.7037,6991.0,1.1301,1.2771,1541.0,18.0614
U,8410.0,6.309,14.0,4123,4308,4217.0,13.0,6.3296,8434.0,43.6208,1902.7759,24.0,0.2854,21,26,23.0,5.0,3.7037,6991.0,1.1877,1.4106,1419.0,16.8728
O,7767.0,5.8267,13.0,3782,4003,3885.0,12.0,5.8313,7770.0,49.6134,2461.4943,3.0,0.0386,21,26,22.0,5.0,3.5427,4943.0,1.1241,1.2637,2824.0,36.359
L,6668.0,5.0022,13.0,3235,3435,3336.0,12.0,5.0073,6672.0,45.5885,2078.3118,4.0,0.06,21,27,22.0,5.0,3.5427,4943.0,1.4033,1.9694,1725.0,25.8698
D,4747.0,3.5611,13.0,2297,2448,2372.0,12.0,3.5603,4744.0,37.7882,1427.9465,3.0,0.0632,18,24,21.0,5.0,3.3816,3495.0,1.3486,1.8188,1252.0,26.3746
C,4544.0,3.4088,13.0,2204,2330,2266.0,12.0,3.4012,4532.0,31.8994,1017.571,12.0,0.2641,18,24,21.0,5.0,3.3816,3495.0,1.2976,1.6837,1049.0,23.0854
M,4340.0,3.2558,13.0,2102,2241,2167.0,12.0,3.2526,4334.0,35.311,1246.8673,6.0,0.1382,18,24,21.0,5.0,3.3816,3495.0,1.4602,2.1322,845.0,19.47
P,3451.0,2.5889,12.0,1659,1807,1718.0,11.0,2.5787,3436.0,28.5801,816.82,15.0,0.4347,18,24,20.0,5.0,3.2206,2471.0,1.2943,1.6751,980.0,28.3976
V,2232.0,1.6744,12.0,1076,1173,1114.0,11.0,1.6721,2228.0,21.0434,442.8261,4.0,0.1792,17,22,19.0,5.0,3.0596,1747.0,1.2817,1.6429,485.0,21.7294
É,2133.0,1.6001,12.0,1022,1112,1063.0,11.0,1.5955,2126.0,21.5927,466.2453,7.0,0.3282,17,22,19.0,5.0,3.0596,1747.0,1.0738,1.1531,386.0,18.0966
Q,1724.0,1.2933,11.0,817,914,862.0,10.0,1.2938,1724.0,20.0046,400.1833,0.0,0.0,16,22,18.0,5.0,2.8986,1235.0,1.1822,1.3976,489.0,28.3643
F,1603.0,1.2025,11.0,772,838,801.0,10.0,1.2023,1602.0,17.4849,305.7208,1.0,0.0624,16,23,18.0,5.0,2.8986,1235.0,1.2739,1.6229,368.0,22.957
B,1545.0,1.159,11.0,717,806,766.0,10.0,1.1498,1532.0,18.8225,354.2857,13.0,0.8414,16,21,18.0,5.0,2.8986,1235.0,1.0738,1.1531,310.0,20.0647
H,1478.0,1.1088,11.0,702,793,739.0,10.0,1.1092,1478.0,17.7725,315.8616,0.0,0.0,16,20,18.0,5.0,2.8986,1235.0,1.1021,1.2147,243.0,16.4411
G,1162.0,0.8717,11.0,555,614,580.0,10.0,0.8706,1160.0,13.2317,175.0792,2.0,0.1721,15,19,17.0,5.0,2.7375,873.0,1.0422,1.0861,289.0,24.8709
J,738.0,0.5536,10.0,334,394,367.0,9.0,0.5509,734.0,13.4256,180.2465,4.0,0.542,14,20,16.0,4.0,2.5765,617.0,1.402,1.9657,121.0,16.3957
À,646.0,0.4846,10.0,289,351,323.0,9.0,0.4848,646.0,14.1266,199.5596,0.0,0.0,14,20,15.0,4.0,2.4155,436.0,1.3746,1.8894,210.0,32.5077
È,580.0,0.4351,10.0,264,317,288.0,9.0,0.4323,576.0,13.3778,178.9649,4.0,0.6897,13,19,15.0,4.0,2.4155,436.0,1.3407,1.7976,144.0,24.8276
X,475.0,0.3563,9.0,221,262,238.0,8.0,0.3572,476.0,9.6389,92.9082,1.0,0.2105,13,17,14.0,4.0,2.2544,308.0,1.0437,1.0894,167.0,35.1579
