letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,20041.0,15.0344,15.0,19616.0,20362.0,20043.0,15.0,15.0395,160.1233,25639.4596,2.0,0.01,6991.0,39553.0,18220.0,15.0,13.9705,7438.8539,55336546.8147,1821.0,9.0864
S,11267.0,8.4523,14.0,11100.0,11534.0,11269.0,14.0,8.4558,106.1312,11263.8302,2.0,0.0178,4943.0,19776.0,11115.0,14.0,8.5226,4534.0757,20557842.6698,152.0,1.3491
A,9681.0,7.2625,14.0,9396.0,9894.0,9695.0,14.0,7.2748,96.6583,9342.8261,14.0,0.1446,4943.0,19776.0,9186.0,14.0,7.0435,3412.8927,11647836.6241,495.0,5.1131
N,9563.0,7.174,14.0,9358.0,9820.0,9566.0,14.0,7.178,117.1752,13730.0261,3.0,0.0314,2471.0,27968.0,9713.0,14.0,7.4476,5296.3844,28051687.729,150.0,1.5685
R,9198.0,6.9002,14.0,9010.0,9346.0,9188.0,14.0,6.8943,82.1818,6753.8433,10.0,0.1087,3495.0,19776.0,8597.0,14.0,6.5919,3618.9039,13096465.398,601.0,6.534
T,9071.0,6.8049,14.0,8786.0,9276.0,9070.0,14.0,6.8058,96.0507,9225.7322,1.0,0.011,4943.0,19776.0,8735.0,14.0,6.6977,3522.1473,12405521.8547,336.0,3.7041
I,8532.0,6.4006,14.0,8380.0,8710.0,8529.0,14.0,6.3998,86.54,7489.169,3.0,0.0352,3495.0,19776.0,8195.0,14.0,6.2836,3809.0337,14508737.3833,337.0,3.9498
U,8410.0,6.309,14.0,8246.0,8616.0,8434.0,14.0,6.3286,87.2416,7611.1037,24.0,0.2854,3495.0,19776.0,8272.0,14.0,6.3427,3669.4183,13464630.4261,138.0,1.6409
O,7767.0,5.8267,13.0,7564.0,8006.0,7770.0,13.0,5.8303,99.2269,9845.9771,3.0,0.0386,3495.0,19776.0,7438.0,13.0,5.7032,3102.673,9626579.6445,329.0,4.2359
L,6668.0,5.0022,13.0,6470.0,6870.0,6673.0,13.0,5.0072,91.177,8313.2473,5.0,0.075,3495.0,27968.0,7172.0,13.0,5.4992,4367.5419,19075422.4853,504.0,7.5585
D,4747.0,3.5611,13.0,4594.0,4896.0,4744.0,13.0,3.5597,75.5764,5711.7861,3.0,0.0632,1235.0,9887.0,5013.0,13.0,3.8438,2088.6244,4362351.6996,266.0,5.6035
C,4544.0,3.4088,13.0,4408.0,4660.0,4533.0,13.0,3.4014,63.7988,4070.2841,11.0,0.2421,1235.0,9887.0,4267.0,13.0,3.2718,1906.8488,3636072.2873,277.0,6.096
M,4340.0,3.2558,13.0,4204.0,4482.0,4334.0,13.0,3.2521,70.622,4987.4694,6.0,0.1382,1235.0,9887.0,4652.0,13.0,3.567,2249.7131,5061209.1037,312.0,7.1889
P,3451.0,2.5889,12.0,3318.0,3614.0,3437.0,12.0,2.579,57.1601,3267.28,14.0,0.4057,1235.0,9887.0,3508.0,12.0,2.6898,1711.807,2930283.1282,57.0,1.6517
V,2232.0,1.6744,12.0,2152.0,2346.0,2229.0,12.0,1.6726,42.0869,1771.3045,3.0,0.1344,873.0,4943.0,2436.0,12.0,1.8678,998.6431,997288.0669,204.0,9.1398
É,2133.0,1.6001,12.0,2044.0,2224.0,2126.0,12.0,1.5953,43.1854,1864.9812,7.0,0.3282,873.0,4943.0,2221.0,12.0,1.703,834.161,695824.5616,88.0,4.1256
