letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,12179.0,14.4935,14.0,6000,6271,6094.0,13.0,14.5057,12188.0,65.7566,4323.9302,9.0,0.0739,22,27,24.0,5.0,4.6332,9887.0,1.0999,1.2098,2292.0,18.8193
N,7732.0,9.2014,13.0,3771,3961,3869.0,12.0,9.2095,7738.0,39.1275,1530.9637,6.0,0.0776,21,26,23.0,5.0,4.4402,6991.0,1.1891,1.4139,741.0,9.5835
I,6069.0,7.2223,13.0,2957,3106,3032.0,12.0,7.2172,6064.0,33.1504,1098.9486,5.0,0.0824,20,26,22.0,5.0,4.2471,4943.0,1.3536,1.8322,1126.0,18.5533
S,5925.0,7.051,13.0,2887,3055,2972.0,12.0,7.0743,5944.0,36.5766,1337.8465,19.0,0.3207,19,25,22.0,5.0,4.2471,4943.0,1.2403,1.5384,982.0,16.5738
R,5696.0,6.7785,13.0,2745,2916,2838.0,12.0,6.7554,5676.0,42.1048,1772.8163,20.0,0.3511,19,25,22.0,5.0,4.2471,4943.0,1.3248,1.7551,753.0,13.2198
T,5560.0,6.6166,13.0,2712,2886,2780.0,12.0,6.6173,5560.0,41.2612,1702.4853,0.0,0.0,20,25,22.0,5.0,4.2471,4943.0,1.3346,1.7812,617.0,11.0971
H,5111.0,6.0823,13.0,2479,2628,2553.0,12.0,6.077,5106.0,35.8138,1282.6269,5.0,0.0978,20,24,22.0,5.0,4.2471,4943.0,1.1945,1.4269,168.0,3.287
A,4595.0,5.4682,13.0,2192,2394,2298.0,12.0,5.47,4596.0,36.2706,1315.5576,1.0,0.0218,20,24,21.0,5.0,4.0541,3495.0,1.178,1.3878,1100.0,23.9391
D,4249.0,5.0565,13.0,2073,2184,2129.0,12.0,5.0677,4258.0,29.5798,874.9637,9.0,0.2118,18,25,21.0,5.0,4.0541,3495.0,1.3566,1.8404,754.0,17.7454
C,3448.0,4.1032,12.0,1652,1785,1729.0,11.0,4.1156,3458.0,26.5433,704.5486,10.0,0.29,18,23,20.0,5.0,3.861,2471.0,1.0887,1.1853,977.0,28.3353
