letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,12179.0,14.4935,14.0,12000.0,12542.0,12189.0,14.0,14.5033,131.5132,17295.7208,10.0,0.0821,4943.0,27968.0,11088.0,14.0,13.1469,4654.7172,21666392.1424,1091.0,8.958
N,7732.0,9.2014,13.0,7542.0,7922.0,7739.0,13.0,9.2084,78.2551,6123.8547,7.0,0.0905,3495.0,19776.0,7908.0,13.0,9.3764,3277.098,10739371.5465,176.0,2.2763
I,6069.0,7.2223,13.0,5914.0,6212.0,6065.0,13.0,7.2165,66.3008,4395.7943,4.0,0.0659,2471.0,19776.0,6860.0,13.0,8.1338,3597.8912,12944820.8657,791.0,13.0334
S,5925.0,7.051,13.0,5774.0,6110.0,5945.0,13.0,7.0738,73.1532,5351.3861,20.0,0.3376,1747.0,13983.0,5754.0,13.0,6.8225,2557.2928,6539746.2269,171.0,2.8861
R,5696.0,6.7785,13.0,5490.0,5832.0,5676.0,13.0,6.7537,84.2097,7091.2653,20.0,0.3511,1747.0,13983.0,5844.0,13.0,6.9292,2581.951,6666471.2098,148.0,2.5983
T,5560.0,6.6166,13.0,5424.0,5772.0,5561.0,13.0,6.6169,82.5224,6809.9412,1.0,0.018,2471.0,13983.0,5728.0,13.0,6.7916,2767.785,7660633.7567,168.0,3.0216
H,5111.0,6.0823,13.0,4958.0,5256.0,5107.0,13.0,6.0767,71.6276,5130.5078,4.0,0.0783,2471.0,9887.0,5450.0,13.0,6.462,2285.2896,5222548.6106,339.0,6.6328
A,4595.0,5.4682,13.0,4384.0,4788.0,4596.0,13.0,5.4686,72.5412,5262.2302,1.0,0.0218,2471.0,9887.0,4667.0,13.0,5.5336,1923.6986,3700616.2547,72.0,1.5669
D,4249.0,5.0565,13.0,4146.0,4368.0,4258.0,13.0,5.0665,59.1596,3499.8547,9.0,0.2118,1235.0,13983.0,4748.0,13.0,5.6297,2279.5667,5196424.5486,499.0,11.7439
C,3448.0,4.1032,12.0,3304.0,3570.0,3458.0,12.0,4.1146,53.0867,2818.1943,10.0,0.29,1235.0,6991.0,3400.0,12.0,4.0313,1324.5261,1754369.4106,48.0,1.3921
U,3349.0,3.9854,12.0,3256.0,3508.0,3347.0,12.0,3.9825,51.2967,2631.3469,2.0,0.0597,1235.0,6991.0,3256.0,12.0,3.8606,1180.1532,1392761.5282,93.0,2.7769
L,3210.0,3.82,12.0,3078.0,3338.0,3200.0,12.0,3.8076,61.791,3818.1224,10.0,0.3115,1235.0,6991.0,2847.0,12.0,3.3757,1190.5558,1417423.1837,363.0,11.3084
M,2854.0,3.3964,12.0,2740.0,2976.0,2856.0,12.0,3.3983,51.5871,2661.2245,2.0,0.0701,1235.0,6991.0,2623.0,12.0,3.1101,1053.9144,1110735.6473,231.0,8.0939
G,2202.0,2.6205,12.0,2094.0,2310.0,2203.0,12.0,2.6213,44.9424,2019.822,1.0,0.0454,617.0,6991.0,2226.0,12.0,2.6393,1264.9665,1600140.3494,24.0,1.0899
O,2171.0,2.5836,12.0,2074.0,2246.0,2168.0,12.0,2.5796,39.6307,1570.5943,3.0,0.1382,873.0,3495.0,2038.0,11.0,2.4164,787.3589,619934.1127,133.0,6.1262
B,1778.0,2.1159,11.0,1688.0,1858.0,1768.0,11.0,2.1037,46.4459,2157.2245,10.0,0.5624,873.0,3495.0,1767.0,11.0,2.0951,742.4083,551170.0963,11.0,0.6187
W,1632.0,1.9421,11.0,1556.0,1728.0,1639.0,11.0,1.9502,36.6152,1340.6759,7.0,0.4289,617.0,4943.0,1687.0,11.0,2.0003,816.7929,667150.72,55.0,3.3701
F,1567.0,1.8648,11.0,1476.0,1658.0,1571.0,11.0,1.8693,37.3137,1392.3086,4.0,0.2553,617.0,4943.0,1684.0,11.0,1.9967,886.906,786602.1894,117.0,7.4665
K,1068.0,1.271,11.0,996.0,1142.0,1063.0,11.0,1.2648,26.775,716.898,5.0,0.4682,436.0,2471.0,1089.0,11.0,1.2912,490.7547,240840.1343,21.0,1.9663
Z,900.0,1.071,10.0,840.0,964.0,899.0,10.0,1.0697,26.7398,715.0188,1.0,0.1111,436.0,2471.0,907.0,10.0,1.0754,431.3916,186098.7347,7.0,0.7778
V,564.0,0.6712,10.0,522.0,608.0,565.0,10.0,0.6723,21.2676,452.3118,1.0,0.1773,217.0,1235.0,549.0,10.0,0.6509,243.9614,59517.1771,15.0,2.6596
Ü,514.0,0.6117,10.0,462.0,568.0,515.0,10.0,0.6128,24.0416,578.0,1.0,0.1946,153.0,1235.0,557.0,10.0,0.6604,274.8814,75559.7567,43.0,8.3658
Ä,408.0,0.4855,9.0,368.0,462.0,407.0,9.0,0.4843,20.855,434.9322,1.0,0.2451,153.0,1235.0,405.0,9.0,0.4802,199.2523,39701.4873,3.0,0.7353
P,396.0,0.4713,9.0,356.0,440.0,393.0,9.0,0.4676,22.0271,485.1935,3.0,0.7576,153.0,873.0,400.0,9.0,0.4743,141.8551,20122.8669,4.0,1.0101
Ö,366.0,0.4356,9.0,334.0,402.0,369.0,9.0,0.4391,18.2296,332.3167,3.0,0.8197,153.0,873.0,355.0,9.0,0.4209,156.4242,24468.5159,11.0,3.0055
J,161.0,0.1916,8.0,128.0,188.0,159.0,8.0,0.1892,13.6453,186.1943,2.0,1.2422,76.0,436.0,179.0,8.0,0.2122,78.5748,6174.0037,18.0,11.1801
Y,133.0,0.1583,8.0,110.0,162.0,133.0,8.0,0.1583,12.2427,149.8841,0.0,0.0,37.0,308.0,123.0,7.0,0.1458,59.394,3527.6429,10.0,7.5188
X,101.0,0.1202,7.0,78.0,120.0,103.0,7.0,0.1226,9.6103,92.3576,2.0,1.9802,37.0,217.0,107.0,7.0,0.1269,50.3485,2534.9669,6.0,5.9406
Q,93.0,0.1107,7.0,72.0,114.0,91.0,7.0,0.1083,9.8395,96.8163,2.0,2.1505,37.0,153.0,93.0,7.0,0.1103,35.5329,1262.5861,0.0,0.0
