letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,12576.0,11.8887,14.0,6178,6444,6292.0,13.0,11.8894,12584.0,61.9302,3835.3535,8.0,0.0636,21,27,24.0,5.0,4.898,9887.0,1.2403,1.5384,2689.0,21.382
T,9591.0,9.0668,14.0,4721,4893,4808.0,13.0,9.0852,9616.0,41.7077,1739.5363,25.0,0.2607,22,26,23.0,5.0,4.6939,6991.0,1.1993,1.4384,2600.0,27.1087
O,8689.0,8.2141,14.0,4257,4501,4351.0,13.0,8.2217,8702.0,48.8689,2388.1649,13.0,0.1496,22,25,23.0,5.0,4.6939,6991.0,1.0539,1.1106,1698.0,19.5419
A,8191.0,7.7434,13.0,4016,4190,4099.0,13.0,7.7455,8198.0,41.5542,1726.7527,7.0,0.0855,20,26,23.0,5.0,4.6939,6991.0,1.1599,1.3453,1200.0,14.6502
H,6916.0,6.538,13.0,3376,3549,3458.0,12.0,6.5343,6916.0,39.8647,1589.1939,0.0,0.0,21,25,22.0,5.0,4.4898,4943.0,1.0079,1.0159,1973.0,28.5281
I,6845.0,6.4709,13.0,3346,3488,3420.0,12.0,6.4625,6840.0,37.3788,1397.171,5.0,0.073,21,25,22.0,5.0,4.4898,4943.0,1.3248,1.7551,1902.0,27.7867
S,6708.0,6.3414,13.0,3262,3463,3347.0,12.0,6.3245,6694.0,45.1751,2040.7922,14.0,0.2087,20,26,22.0,5.0,4.4898,4943.0,1.2599,1.5873,1765.0,26.3119
R,6618.0,6.2563,13.0,3216,3415,3304.0,12.0,6.2433,6608.0,45.0134,2026.2041,10.0,0.1511,20,25,22.0,5.0,4.4898,4943.0,1.1112,1.2347,1675.0,25.3098
N,6531.0,6.1741,13.0,3191,3349,3270.0,12.0,6.179,6540.0,39.3933,1551.8302,9.0,0.1378,20,25,22.0,5.0,4.4898,4943.0,1.3494,1.8208,1588.0,24.3148
L,4846.0,4.5812,13.0,2333,2505,2423.0,12.0,4.5785,4846.0,33.4425,1118.4016,0.0,0.0,20,24,21.0,5.0,4.2857,3495.0,1.0437,1.0894,1351.0,27.8787
D,3966.0,3.7493,12.0,1924,2065,1987.0,11.0,3.7547,3974.0,30.8102,949.269,8.0,0.2017,19,23,21.0,5.0,4.2857,3495.0,1.1168,1.2473,471.0,11.8759
U,3607.0,3.4099,12.0,1754,1890,1802.0,11.0,3.4051,3604.0,30.0088,900.5306,3.0,0.0832,19,24,21.0,5.0,4.2857,3495.0,1.0999,1.2098,112.0,3.1051
M,3481.0,3.2908,12.0,1684,1803,1743.0,11.0,3.2936,3486.0,29.3946,864.0408,5.0,0.1436,18,24,20.0,5.0,4.0816,2471.0,1.2707,1.6147,1010.0,29.0147
Y,2642.0,2.4976,12.0,1241,1370,1317.0,11.0,2.4886,2634.0,26.0632,679.2902,8.0,0.3028,17,22,20.0,5.0,4.0816,2471.0,1.1429,1.3061,171.0,6.4724
W,2592.0,2.4503,12.0,1250,1353,1300.0,11.0,2.4565,2600.0,26.6207,708.6633,8.0,0.3086,18,22,19.0,5.0,3.8776,1747.0,1.2337,1.522,845.0,32.6003
C,2224.0,2.1025,12.0,1055,1155,1110.0,11.0,2.0975,2220.0,23.4289,548.9127,4.0,0.1799,17,22,19.0,5.0,3.8776,1747.0,1.3262,1.7588,477.0,21.4478
F,2101.0,1.9862,12.0,1009,1103,1050.0,11.0,1.9841,2100.0,23.3924,547.2037,1.0,0.0476,16,21,19.0,5.0,3.8776,1747.0,1.125,1.2657,354.0,16.8491
G,1862.0,1.7602,11.0,878,993,933.0,10.0,1.763,1866.0,24.3947,595.1024,4.0,0.2148,17,22,18.0,5.0,3.6735,1235.0,1.1578,1.3404,627.0,33.6735
B,1786.0,1.6884,11.0,859,937,899.0,10.0,1.6988,1798.0,19.7571,390.3445,12.0,0.6719,17,21,18.0,5.0,3.6735,1235.0,0.9697,0.9404,551.0,30.8511
P,1571.0,1.4851,11.0,741,819,787.0,10.0,1.4871,1574.0,19.0164,361.6249,3.0,0.191,16,21,18.0,5.0,3.6735,1235.0,1.1817,1.3963,336.0,21.3877
V,1071.0,1.0125,11.0,507,564,539.0,10.0,1.0185,1078.0,13.8864,192.831,7.0,0.6536,16,20,17.0,5.0,3.4694,873.0,1.0319,1.0649,198.0,18.4874
K,850.0,0.8035,10.0,383,451,425.0,9.0,0.8031,850.0,12.3579,152.7167,0.0,0.0,15,20,16.0,4.0,3.2653,617.0,1.2036,1.4486,233.0,27.4118
J,284.0,0.2685,9.0,128,162,142.0,8.0,0.2683,284.0,7.0149,49.2086,0.0,0.0,11,18,13.0,4.0,2.6531,217.0,1.3637,1.8596,67.0,23.5915
X,135.0,0.1276,8.0,54,79,66.0,7.0,0.1247,132.0,5.0151,25.1514,3.0,2.2222,9,14,11.0,4.0,2.2449,108.0,1.3637,1.8596,27.0,20.0
Q,65.0,0.0614,7.0,24,39,33.0,6.0,0.0624,66.0,3.5911,12.8963,1.0,1.5385,8,12,9.0,4.0,1.8367,53.0,1.165,1.3571,12.0,18.4615
Z,33.0,0.0312,6.0,10,21,16.0,4.0,0.0302,32.0,2.0863,4.3527,1.0,3.0303,5,11,7.0,3.0,1.4286,26.0,1.3494,1.8208,7.0,21.2121
