letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,12576.0,11.8887,14.0,12356.0,12888.0,12584.0,14.0,11.8882,123.8605,15341.4139,8.0,0.0636,3495.0,27968.0,11496.0,14.0,11.1582,4949.3313,24495880.371,1080.0,8.5878
T,9591.0,9.0668,14.0,9442.0,9786.0,9617.0,14.0,9.0852,83.4155,6958.1453,26.0,0.2711,4943.0,19776.0,9022.0,14.0,8.7569,4085.131,16688294.9016,569.0,5.9326
O,8689.0,8.2141,14.0,8514.0,9002.0,8702.0,14.0,8.2208,97.7377,9552.6596,13.0,0.1496,4943.0,13983.0,8749.0,14.0,8.4919,3187.2789,10158747.0629,60.0,0.6905
A,8191.0,7.7434,13.0,8032.0,8380.0,8199.0,14.0,7.7456,83.1084,6907.0106,8.0,0.0977,2471.0,19776.0,7668.0,13.0,7.4427,3192.5782,10192555.3963,523.0,6.3851
H,6916.0,6.538,13.0,6752.0,7098.0,6917.0,13.0,6.5345,79.7294,6356.7755,1.0,0.0145,3495.0,13983.0,6519.0,13.0,6.3275,2450.2782,6003863.4057,397.0,5.7403
I,6845.0,6.4709,13.0,6692.0,6976.0,6840.0,13.0,6.4618,74.7575,5588.6841,5.0,0.073,3495.0,13983.0,6770.0,13.0,6.5711,3291.5869,10834544.0392,75.0,1.0957
S,6708.0,6.3414,13.0,6524.0,6926.0,6694.0,13.0,6.3239,90.3503,8163.169,14.0,0.2087,2471.0,19776.0,6734.0,13.0,6.5362,3135.9669,9834288.0984,26.0,0.3876
R,6618.0,6.2563,13.0,6432.0,6830.0,6609.0,13.0,6.2436,90.0268,8104.8163,9.0,0.136,2471.0,13983.0,5898.0,13.0,5.7247,2348.5329,5515606.622,720.0,10.8794
N,6531.0,6.1741,13.0,6382.0,6698.0,6540.0,13.0,6.1784,78.7866,6207.3208,9.0,0.1378,2471.0,13983.0,6200.0,13.0,6.0178,3064.5327,9391360.7576,331.0,5.0681
L,4846.0,4.5812,13.0,4666.0,5010.0,4846.0,13.0,4.578,66.885,4473.6065,0.0,0.0,2471.0,9887.0,4960.0,13.0,4.8143,1920.5333,3688448.0,114.0,2.3525
