letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,25500.0,15.5568,15.0,12554,12971,12751.0,14.0,15.565,25502.0,84.4394,7130.0102,2.0,0.0078,23,29,26.0,5.0,3.9816,19776.0,1.1386,1.2963,5724.0,22.4471
S,12200.0,7.4429,14.0,5984,6234,6100.0,13.0,7.4462,12200.0,58.8629,3464.8363,0.0,0.0,22,27,24.0,5.0,3.6753,9887.0,1.4813,2.1943,2313.0,18.959
T,11454.0,6.9878,14.0,5613,5846,5728.0,13.0,6.9921,11456.0,53.4169,2853.3616,2.0,0.0175,22,27,24.0,5.0,3.6753,9887.0,1.1865,1.4078,1567.0,13.6808
R,11382.0,6.9438,14.0,5545,5788,5694.0,13.0,6.9506,11388.0,56.1904,3157.3588,6.0,0.0527,21,28,24.0,5.0,3.6753,9887.0,1.3554,1.8371,1495.0,13.1348
A,11281.0,6.8822,14.0,5555,5738,5642.0,13.0,6.8871,11284.0,49.9967,2499.6735,3.0,0.0266,21,27,24.0,5.0,3.6753,9887.0,1.3649,1.8629,1394.0,12.3571
N,11077.0,6.7578,14.0,5367,5651,5525.0,13.0,6.7443,11050.0,50.9122,2592.0555,27.0,0.2437,21,27,23.0,5.0,3.5222,6991.0,1.3303,1.7698,4086.0,36.8872
I,10945.0,6.6772,14.0,5326,5587,5470.0,13.0,6.6772,10940.0,51.8086,2684.1261,5.0,0.0457,22,26,24.0,5.0,3.6753,9887.0,1.069,1.1429,1058.0,9.6665
U,10894.0,6.6461,14.0,5327,5584,5437.0,13.0,6.6369,10874.0,52.3201,2737.3943,20.0,0.1836,21,27,24.0,5.0,3.6753,9887.0,1.4686,2.1567,1007.0,9.2436
O,10790.0,6.5827,14.0,5300,5483,5388.0,13.0,6.5771,10776.0,44.5721,1986.6698,14.0,0.1297,22,27,24.0,5.0,3.6753,9887.0,1.0872,1.182,903.0,8.3689
L,9050.0,5.5212,14.0,4433,4638,4525.0,13.0,5.5236,9050.0,41.6144,1731.7551,0.0,0.0,21,27,23.0,5.0,3.5222,6991.0,1.2816,1.6424,2059.0,22.7514
M,5797.0,3.5366,13.0,2786,2992,2901.0,12.0,3.5412,5802.0,40.901,1672.8902,5.0,0.0863,19,25,22.0,5.0,3.3691,4943.0,0.9949,0.9898,854.0,14.7318
D,5128.0,3.1285,13.0,2494,2681,2571.0,12.0,3.1384,5142.0,39.403,1552.5943,14.0,0.273,20,24,21.0,5.0,3.2159,3495.0,1.0692,1.1433,1633.0,31.8448
C,4932.0,3.0089,13.0,2397,2551,2470.0,12.0,3.0151,4940.0,37.0162,1370.2024,8.0,0.1622,20,25,22.0,5.0,3.3691,4943.0,1.1066,1.2245,11.0,0.223
P,4313.0,2.6312,13.0,2095,2211,2154.0,12.0,2.6294,4308.0,29.2834,857.5188,5.0,0.1159,19,24,21.0,5.0,3.2159,3495.0,1.2875,1.6576,818.0,18.9659
V,2920.0,1.7814,12.0,1399,1525,1454.0,11.0,1.7749,2908.0,29.1432,849.3261,12.0,0.411,18,23,20.0,5.0,3.0628,2471.0,1.2296,1.5118,449.0,15.3767
É,2714.0,1.6557,12.0,1294,1404,1355.0,11.0,1.654,2710.0,23.7017,561.7698,4.0,0.1474,18,22,20.0,5.0,3.0628,2471.0,1.1058,1.2229,243.0,8.9536
Q,1968.0,1.2006,11.0,945,1040,985.0,10.0,1.2024,1970.0,22.0469,486.0637,2.0,0.1016,17,22,19.0,5.0,2.9096,1747.0,1.293,1.6718,221.0,11.2297
H,1620.0,0.9883,11.0,783,846,810.0,10.0,0.9888,1620.0,15.6587,245.1939,0.0,0.0,16,22,18.0,5.0,2.7565,1235.0,1.4813,2.1943,385.0,23.7654
F,1590.0,0.97,11.0,763,835,797.0,10.0,0.9729,1594.0,16.3413,267.0384,4.0,0.2516,16,22,18.0,5.0,2.7565,1235.0,1.192,1.4208,355.0,22.327
B,1516.0,0.9249,11.0,717,791,758.0,10.0,0.9253,1516.0,18.8225,354.2857,0.0,0.0,16,22,18.0,5.0,2.7565,1235.0,1.3045,1.7016,281.0,18.5356
J,1432.0,0.8736,11.0,677,775,719.0,10.0,0.8777,1438.0,18.8485,355.2657,6.0,0.419,16,22,17.0,5.0,2.6034,873.0,1.3286,1.7653,559.0,39.0363
G,1369.0,0.8352,11.0,649,735,681.0,10.0,0.8313,1362.0,18.3962,338.4184,7.0,0.5113,16,21,18.0,5.0,2.7565,1235.0,1.3037,1.6996,134.0,9.7882
À,745.0,0.4545,10.0,346,394,371.0,9.0,0.4529,742.0,11.8166,139.6327,3.0,0.4027,14,18,16.0,4.0,2.4502,617.0,1.0063,1.0127,128.0,17.1812
È,604.0,0.3685,10.0,272,324,300.0,9.0,0.3662,600.0,12.0757,145.822,4.0,0.6623,14,20,15.0,4.0,2.2971,436.0,1.3439,1.8061,168.0,27.8146
X,589.0,0.3593,10.0,264,322,292.0,9.0,0.3564,584.0,13.1258,172.2861,5.0,0.8489,13,20,15.0,4.0,2.2971,436.0,1.165,1.3571,153.0,25.9762
Y,521.0,0.3178,10.0,241,287,261.0,9.0,0.3186,522.0,10.1017,102.0445,1.0,0.1919,13,18,15.0,4.0,2.2971,436.0,1.1066,1.2245,85.0,16.3148
Z,450.0,0.2745,9.0,206,248,225.0,8.0,0.2747,450.0,10.3995,108.1486,0.0,0.0,13,18,15.0,4.0,2.2971,436.0,1.2182,1.4841,14.0,3.1111
Ê,340.0,0.2074,9.0,139,201,169.0,8.0,0.2063,338.0,10.0014,100.0282,2.0,0.5882,11,17,14.0,4.0,2.144,308.0,1.3547,1.8351,32.0,9.4118
Â,151.0,0.0921,8.0,55,88,75.0,7.0,0.0916,150.0,7.2839,53.0547,1.0,0.6623,9,14,11.0,4.0,1.6845,108.0,1.1229,1.2608,43.0,28.4768
W,120.0,0.0732,7.0,49,71,60.0,6.0,0.0732,120.0,5.3069,28.1633,0.0,0.0,8,14,11.0,4.0,1.6845,108.0,1.1959,1.4302,12.0,10.0
Î,114.0,0.0695,7.0,46,64,54.0,6.0,0.0659,108.0,4.2712,18.2433,6.0,5.2632,8,14,10.0,4.0,1.5314,76.0,1.1877,1.4106,38.0,33.3333
Ù,96.0,0.0586,7.0,38,55,47.0,6.0,0.0574,94.0,4.4119,19.4649,2.0,2.0833,8,13,10.0,4.0,1.5314,76.0,1.0319,1.0649,20.0,20.8333
Ô,88.0,0.0537,7.0,34,52,43.0,6.0,0.0525,86.0,4.2565,18.118,2.0,2.2727,8,12,9.0,4.0,1.3783,53.0,0.9833,0.9669,35.0,39.7727
K,73.0,0.0445,7.0,27,45,36.0,6.0,0.0439,72.0,3.8927,15.1531,1.0,1.3699,7,12,9.0,4.0,1.3783,53.0,1.1066,1.2245,20.0,27.3973
Û,63.0,0.0384,6.0,23,41,31.0,5.0,0.0378,62.0,4.0923,16.7465,1.0,1.5873,6,12,9.0,4.0,1.3783,53.0,1.1824,1.398,10.0,15.873
Ç,59.0,0.036,6.0,23,36,29.0,5.0,0.0354,58.0,3.6374,13.231,1.0,1.6949,7,12,9.0,4.0,1.3783,53.0,1.3644,1.8616,6.0,10.1695
Ë,19.0,0.0116,5.0,4,14,9.0,4.0,0.011,18.0,2.3464,5.5057,1.0,5.2632,3,8,5.0,3.0,0.7657,12.0,1.05,1.1024,7.0,36.8421
Ï,5.0,0.0031,3.0,1,4,2.0,1.0,0.0024,4.0,0.9538,0.9098,1.0,20.0,2,5,3.0,2.0,0.4594,5.0,0.773,0.5976,0.0,0.0
Æ,4.0,0.0024,2.0,0,4,1.0,0.0,0.0012,2.0,1.0971,1.2037,2.0,50.0,1,4,2.0,1.0,0.3063,3.0,0.7825,0.6122,1.0,25.0
Ò,2.0,0.0012,1.0,0,2,1.0,0.0,0.0012,2.0,0.7354,0.5408,0.0,0.0,1,2,1.0,0.0,0.1531,2.0,0.4431,0.1963,0.0,0.0
