letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,25500.0,15.5568,15.0,25108.0,25942.0,25503.0,15.0,15.5639,168.8788,28520.0408,3.0,0.0118,6991.0,55937.0,24113.0,15.0,14.8209,9386.4261,88104995.8045,1387.0,5.4392
S,12200.0,7.4429,14.0,11968.0,12468.0,12201.0,14.0,7.446,117.7257,13859.3453,1.0,0.0082,4943.0,27968.0,12781.0,14.0,7.8558,6949.4329,48294617.92,581.0,4.7623
T,11454.0,6.9878,14.0,11226.0,11692.0,11456.0,14.0,6.9913,106.8337,11413.4465,2.0,0.0175,4943.0,27968.0,10840.0,14.0,6.6627,4768.7841,22741301.3424,614.0,5.3606
R,11382.0,6.9438,14.0,11090.0,11576.0,11388.0,14.0,6.9498,112.3808,12629.4351,6.0,0.0527,3495.0,39553.0,11622.0,14.0,7.1434,6283.9855,39488473.9086,240.0,2.1086
A,11281.0,6.8822,14.0,11110.0,11476.0,11284.0,14.0,6.8864,99.9935,9998.6939,3.0,0.0266,3495.0,27968.0,11527.0,14.0,7.085,5765.9435,33246104.229,246.0,2.1807
N,11077.0,6.7578,14.0,10734.0,11302.0,11051.0,14.0,6.7442,101.8245,10368.222,26.0,0.2347,3495.0,27968.0,10420.0,14.0,6.4046,5324.6765,28352179.9188,657.0,5.9312
I,10945.0,6.6772,14.0,10652.0,11174.0,10940.0,14.0,6.6764,103.6171,10736.5045,5.0,0.0457,4943.0,19776.0,10594.0,14.0,6.5115,4140.2376,17141567.7914,351.0,3.2069
U,10894.0,6.6461,14.0,10654.0,11168.0,10875.0,14.0,6.6368,104.6402,10949.5771,19.0,0.1744,3495.0,27968.0,11447.0,14.0,7.0358,5556.758,30877559.0433,553.0,5.0762
O,10790.0,6.5827,14.0,10600.0,10966.0,10777.0,14.0,6.577,89.1441,7946.6792,13.0,0.1205,4943.0,27968.0,10785.0,14.0,6.6289,4523.6504,20463413.2902,5.0,0.0463
L,9050.0,5.5212,14.0,8866.0,9276.0,9050.0,14.0,5.523,83.2287,6927.0204,0.0,0.0,3495.0,27968.0,9208.0,14.0,5.6596,5143.256,26453082.0408,158.0,1.7459
M,5797.0,3.5366,13.0,5572.0,5984.0,5802.0,13.0,3.5408,81.802,6691.5608,5.0,0.0863,1747.0,13983.0,5413.0,13.0,3.3271,1889.111,3568740.3167,384.0,6.6241
D,5128.0,3.1285,13.0,4988.0,5362.0,5142.0,13.0,3.138,78.8059,6210.3771,14.0,0.273,2471.0,9887.0,5044.0,13.0,3.1003,1956.7031,3828687.0204,84.0,1.6381
C,4932.0,3.0089,13.0,4794.0,5102.0,4940.0,13.0,3.0148,74.0325,5480.8098,8.0,0.1622,2471.0,13983.0,5320.0,13.0,3.2699,2184.7957,4773332.3494,388.0,7.867
P,4313.0,2.6312,13.0,4190.0,4422.0,4308.0,13.0,2.6291,58.5668,3430.0751,5.0,0.1159,1747.0,9887.0,4344.0,13.0,2.67,2059.2869,4240662.6024,31.0,0.7188
V,2920.0,1.7814,12.0,2798.0,3050.0,2908.0,12.0,1.7747,58.2864,3397.3045,12.0,0.411,1235.0,6991.0,3006.0,12.0,1.8476,1528.4914,2336285.9363,86.0,2.9452
É,2714.0,1.6557,12.0,2588.0,2808.0,2710.0,12.0,1.6539,47.4034,2247.0792,4.0,0.1474,1235.0,4943.0,2687.0,12.0,1.6515,1006.8025,1013651.2588,27.0,0.9948
Q,1968.0,1.2006,11.0,1890.0,2080.0,1970.0,11.0,1.2022,44.0937,1944.2547,2.0,0.1016,873.0,4943.0,1952.0,11.0,1.1998,885.3574,783857.7959,16.0,0.813
H,1620.0,0.9883,11.0,1566.0,1692.0,1620.0,11.0,0.9886,31.3173,980.7755,0.0,0.0,617.0,4943.0,1759.0,11.0,1.0812,964.0044,929304.4963,139.0,8.5802
F,1590.0,0.97,11.0,1526.0,1670.0,1595.0,11.0,0.9734,32.6826,1068.1535,5.0,0.3145,617.0,4943.0,1481.0,11.0,0.9103,746.1294,556709.1282,109.0,6.8553
B,1516.0,0.9249,11.0,1434.0,1582.0,1517.0,11.0,0.9258,37.645,1417.1429,1.0,0.066,617.0,4943.0,1469.0,11.0,0.9029,818.0768,669249.7045,47.0,3.1003
J,1432.0,0.8736,11.0,1354.0,1550.0,1439.0,11.0,0.8782,37.697,1421.0629,7.0,0.4888,617.0,4943.0,1337.0,11.0,0.8218,755.9134,571405.0955,95.0,6.6341
G,1369.0,0.8352,11.0,1298.0,1470.0,1362.0,11.0,0.8312,36.7923,1353.6735,7.0,0.5113,617.0,3495.0,1418.0,11.0,0.8716,626.5743,392595.2996,49.0,3.5793
À,745.0,0.4545,10.0,692.0,788.0,742.0,10.0,0.4528,23.6333,558.5306,3.0,0.4027,308.0,1235.0,716.0,10.0,0.4401,254.2094,64622.4229,29.0,3.8926
È,604.0,0.3685,10.0,544.0,648.0,600.0,10.0,0.3662,24.1514,583.2882,4.0,0.6623,308.0,2471.0,626.0,10.0,0.3848,371.5504,138049.68,22.0,3.6424
X,589.0,0.3593,10.0,528.0,644.0,585.0,10.0,0.357,26.2516,689.1445,4.0,0.6791,217.0,2471.0,611.0,10.0,0.3755,345.4342,119324.8163,22.0,3.7351
Y,521.0,0.3178,10.0,482.0,574.0,523.0,10.0,0.3192,20.2034,408.178,2.0,0.3839,217.0,1235.0,538.0,10.0,0.3307,217.9949,47521.7698,17.0,3.263
Z,450.0,0.2745,9.0,412.0,496.0,450.0,9.0,0.2746,20.7989,432.5943,0.0,0.0,217.0,1235.0,506.0,9.0,0.311,248.1087,61557.9249,56.0,12.4444
Ê,340.0,0.2074,9.0,278.0,402.0,338.0,9.0,0.2063,20.0028,400.1127,2.0,0.5882,108.0,873.0,347.0,9.0,0.2133,169.9056,28867.9086,7.0,2.0588
Â,151.0,0.0921,8.0,110.0,176.0,151.0,8.0,0.0922,14.5677,212.2188,0.0,0.0,53.0,308.0,144.0,8.0,0.0885,60.1559,3618.7363,7.0,4.6358
W,120.0,0.0732,7.0,98.0,142.0,120.0,7.0,0.0732,10.6138,112.6531,0.0,0.0,37.0,308.0,129.0,8.0,0.0793,55.6021,3091.5984,9.0,7.5
Î,114.0,0.0695,7.0,92.0,128.0,109.0,7.0,0.0665,8.5424,72.9731,5.0,4.386,37.0,308.0,108.0,7.0,0.0664,50.576,2557.9363,6.0,5.2632
Ù,96.0,0.0586,7.0,76.0,110.0,95.0,7.0,0.058,8.8238,77.8596,1.0,1.0417,37.0,217.0,93.0,7.0,0.0572,36.8754,1359.7943,3.0,3.125
Ô,88.0,0.0537,7.0,68.0,104.0,87.0,7.0,0.0531,8.513,72.4718,1.0,1.1364,37.0,153.0,75.0,7.0,0.0461,26.3097,692.1996,13.0,14.7727
K,73.0,0.0445,7.0,54.0,90.0,72.0,7.0,0.0439,7.7854,60.6122,1.0,1.3699,26.0,153.0,76.0,7.0,0.0467,30.929,956.6057,3.0,4.1096
Û,63.0,0.0384,6.0,46.0,82.0,63.0,6.0,0.0384,8.1845,66.9861,0.0,0.0,18.0,153.0,64.0,6.0,0.0393,26.7689,716.5714,1.0,1.5873
Ç,59.0,0.036,6.0,46.0,72.0,59.0,6.0,0.036,7.2749,52.9241,0.0,0.0,26.0,153.0,67.0,7.0,0.0412,34.0536,1159.6445,8.0,13.5593
Ë,19.0,0.0116,5.0,8.0,28.0,18.0,5.0,0.011,4.6929,22.0229,1.0,5.2632,5.0,37.0,18.0,5.0,0.0111,6.984,48.7759,1.0,5.2632
Ï,5.0,0.0031,3.0,2.0,8.0,5.0,3.0,0.0031,1.9077,3.6392,0.0,0.0,3.0,12.0,5.0,3.0,0.0031,2.2406,5.0204,0.0,0.0
Æ,4.0,0.0024,2.0,0.0,8.0,3.0,2.0,0.0018,2.1942,4.8147,1.0,25.0,2.0,8.0,4.0,2.0,0.0025,1.6274,2.6486,0.0,0.0
Ò,2.0,0.0012,1.0,0.0,4.0,2.0,1.0,0.0012,1.4708,2.1633,0.0,0.0,2.0,3.0,2.0,1.0,0.0012,0.4431,0.1963,0.0,0.0
