letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,14717.0,14.8342,14.0,7231,7515,7374.0,13.0,14.8771,14748.0,54.8105,3004.1914,31.0,0.2106,23,28,25.0,5.0,4.817,13983.0,1.143,1.3065,734.0,4.9874
N,9034.0,9.1059,14.0,4431,4660,4510.0,13.0,9.099,9020.0,47.997,2303.7143,14.0,0.155,21,26,23.0,5.0,4.4316,6991.0,1.2337,1.522,2043.0,22.6146
I,8494.0,8.5616,14.0,4111,4398,4246.0,13.0,8.5664,8492.0,51.3246,2634.2139,2.0,0.0235,22,26,23.0,5.0,4.4316,6991.0,1.1328,1.2833,1503.0,17.6948
R,7219.0,7.2765,13.0,3528,3701,3605.0,12.0,7.2731,7210.0,37.0496,1372.6731,9.0,0.1247,20,25,22.0,5.0,4.2389,4943.0,1.1572,1.3392,2276.0,31.5279
S,6601.0,6.6536,13.0,3239,3404,3297.0,12.0,6.6517,6594.0,36.8298,1356.4343,7.0,0.106,20,26,22.0,5.0,4.2389,4943.0,1.313,1.7241,1658.0,25.1174
T,6513.0,6.5649,13.0,3157,3358,3254.0,12.0,6.565,6508.0,50.2827,2528.3514,5.0,0.0768,20,25,22.0,5.0,4.2389,4943.0,1.3734,1.8861,1570.0,24.1056
H,5708.0,5.7535,13.0,2728,2927,2857.0,12.0,5.764,5714.0,36.1421,1306.2514,6.0,0.1051,19,25,22.0,5.0,4.2389,4943.0,1.1599,1.3453,765.0,13.4022
A,4715.0,4.7525,13.0,2309,2428,2362.0,12.0,4.7654,4724.0,29.8333,890.0249,9.0,0.1909,19,24,21.0,5.0,4.0462,3495.0,1.3132,1.7245,1220.0,25.8749
D,4427.0,4.4623,13.0,2145,2297,2208.0,12.0,4.4547,4416.0,32.1279,1032.2041,11.0,0.2485,19,25,21.0,5.0,4.0462,3495.0,1.2237,1.4976,932.0,21.0526
U,4142.0,4.175,13.0,2005,2145,2063.0,12.0,4.1621,4126.0,35.089,1231.2392,16.0,0.3863,19,24,21.0,5.0,4.0462,3495.0,1.2728,1.62,647.0,15.6205
L,3912.0,3.9432,12.0,1894,2026,1959.0,11.0,3.9523,3918.0,28.657,821.2249,6.0,0.1534,18,25,21.0,5.0,4.0462,3495.0,1.3486,1.8188,417.0,10.6595
C,3632.0,3.6609,12.0,1743,1887,1818.0,11.0,3.6678,3636.0,35.6073,1267.8812,4.0,0.1101,18,24,20.0,5.0,3.8536,2471.0,1.1959,1.4302,1161.0,31.9659
M,3220.0,3.2456,12.0,1523,1657,1610.0,11.0,3.2482,3220.0,27.3995,750.7331,0.0,0.0,18,23,20.0,5.0,3.8536,2471.0,1.2329,1.52,749.0,23.2609
O,3187.0,3.2124,12.0,1541,1664,1596.0,11.0,3.2199,3192.0,31.4958,991.9841,5.0,0.1569,18,25,20.0,5.0,3.8536,2471.0,1.3864,1.922,716.0,22.4663
G,2609.0,2.6298,12.0,1248,1339,1297.0,11.0,2.6167,2594.0,21.6573,469.0404,15.0,0.5749,18,22,20.0,5.0,3.8536,2471.0,1.2289,1.5102,138.0,5.2894
W,1978.0,1.9938,11.0,936,1043,986.0,10.0,1.9893,1972.0,22.658,513.3833,6.0,0.3033,17,22,19.0,5.0,3.6609,1747.0,1.3433,1.8045,231.0,11.6785
B,1962.0,1.9776,11.0,916,1017,976.0,10.0,1.9691,1952.0,20.9547,439.1004,10.0,0.5097,17,23,19.0,5.0,3.6609,1747.0,1.2599,1.5873,215.0,10.9582
F,1576.0,1.5885,11.0,741,823,783.0,10.0,1.5797,1566.0,19.2496,370.5453,10.0,0.6345,16,21,18.0,5.0,3.4682,1235.0,1.198,1.4351,341.0,21.6371
Z,1125.0,1.134,11.0,527,595,560.0,10.0,1.1298,1120.0,17.7655,315.6147,5.0,0.4444,15,20,17.0,5.0,3.2755,873.0,1.0351,1.0714,252.0,22.4
K,1021.0,1.0291,10.0,472,546,508.0,9.0,1.0249,1016.0,17.0233,289.7943,5.0,0.4897,15,19,17.0,5.0,3.2755,873.0,1.1141,1.2412,148.0,14.4956
Ä,712.0,0.7177,10.0,333,381,356.0,9.0,0.7182,712.0,11.2912,127.4922,0.0,0.0,14,18,16.0,4.0,3.0829,617.0,1.1058,1.2229,95.0,13.3427
V,704.0,0.7096,10.0,320,381,350.0,9.0,0.7061,700.0,12.6268,159.4351,4.0,0.5682,13,18,16.0,4.0,3.0829,617.0,1.0956,1.2004,87.0,12.358
P,695.0,0.7005,10.0,322,368,345.0,9.0,0.696,690.0,11.2301,126.1159,5.0,0.7194,14,19,16.0,4.0,3.0829,617.0,1.165,1.3571,78.0,11.223
Ü,565.0,0.5695,10.0,256,307,281.0,9.0,0.5669,562.0,11.9745,143.3894,3.0,0.531,13,19,15.0,4.0,2.8902,436.0,1.2898,1.6637,129.0,22.8319
J,375.0,0.378,9.0,159,206,183.0,8.0,0.3692,366.0,9.1272,83.3065,9.0,2.4,13,16,14.0,4.0,2.6975,308.0,0.9708,0.9424,67.0,17.8667
Ö,279.0,0.2812,9.0,117,161,140.0,8.0,0.2825,280.0,8.8732,78.7331,1.0,0.3584,11,16,13.0,4.0,2.5048,217.0,1.1457,1.3127,62.0,22.2222
