letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,14717.0,14.8342,14.0,14462.0,15030.0,14749.0,14.0,14.8757,109.621,12016.7657,32.0,0.2174,6991.0,39553.0,15890.0,14.0,15.5615,6754.4068,45622011.0612,1173.0,7.9704
N,9034.0,9.1059,14.0,8862.0,9320.0,9020.0,14.0,9.0975,95.994,9214.8571,14.0,0.155,3495.0,19776.0,9994.0,14.0,9.7874,4216.8893,17782155.3078,960.0,10.6265
I,8494.0,8.5616,14.0,8222.0,8796.0,8492.0,14.0,8.565,102.6492,10536.8555,2.0,0.0235,4943.0,19776.0,8448.0,14.0,8.2733,3597.7711,12943956.9371,46.0,0.5416
R,7219.0,7.2765,13.0,7056.0,7402.0,7210.0,13.0,7.272,74.0992,5490.6922,9.0,0.1247,2471.0,13983.0,6907.0,13.0,6.7642,2813.1033,7913550.3673,312.0,4.3219
S,6601.0,6.6536,13.0,6478.0,6808.0,6594.0,13.0,6.6507,73.6596,5425.7371,7.0,0.106,2471.0,19776.0,6582.0,13.0,6.4459,3339.0896,11149519.3996,19.0,0.2878
T,6513.0,6.5649,13.0,6314.0,6716.0,6509.0,13.0,6.5649,100.5654,10113.4057,4.0,0.0614,2471.0,13983.0,6502.0,13.0,6.3676,3311.8674,10968465.8678,11.0,0.1689
H,5708.0,5.7535,13.0,5456.0,5854.0,5715.0,13.0,5.7641,72.2842,5225.0057,7.0,0.1226,1747.0,13983.0,5427.0,13.0,5.3148,2300.1079,5290496.32,281.0,4.9229
A,4715.0,4.7525,13.0,4618.0,4856.0,4725.0,13.0,4.7656,59.6666,3560.0996,10.0,0.2121,1747.0,9887.0,4595.0,13.0,4.5,2108.8888,4447411.9118,120.0,2.5451
D,4427.0,4.4623,13.0,4290.0,4594.0,4417.0,13.0,4.455,64.2559,4128.8163,10.0,0.2259,1747.0,13983.0,5093.0,13.0,4.9877,2399.9366,5759695.8367,666.0,15.044
U,4142.0,4.175,13.0,4010.0,4290.0,4127.0,13.0,4.1625,70.178,4924.9567,15.0,0.3621,1747.0,9887.0,4092.0,12.0,4.0074,1849.0578,3419014.6939,50.0,1.2071
