letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,11108.0,12.2441,14.0,5451,5678,5557.0,13.0,12.2582,11114.0,53.8385,2898.5861,6.0,0.054,22,27,24.0,5.0,4.908,9887.0,1.3845,1.9167,1221.0,10.9921
T,7982.0,8.7984,13.0,3926,4103,3997.0,12.0,8.817,7994.0,42.652,1819.1939,12.0,0.1503,21,25,22.0,5.0,4.499,4943.0,1.0373,1.0759,3039.0,38.0732
O,7439.0,8.1999,13.0,3639,3823,3724.0,12.0,8.2148,7448.0,40.2304,1618.4882,9.0,0.121,21,26,23.0,5.0,4.7035,6991.0,1.1692,1.3669,448.0,6.0223
A,6594.0,7.2684,13.0,3218,3386,3290.0,12.0,7.2574,6580.0,35.8023,1281.8061,14.0,0.2123,20,26,22.0,5.0,4.499,4943.0,1.295,1.6771,1651.0,25.0379
S,6371.0,7.0226,13.0,3119,3270,3194.0,12.0,7.0456,6388.0,33.337,1111.3571,17.0,0.2668,20,27,22.0,5.0,4.499,4943.0,1.2554,1.5759,1428.0,22.4141
I,6147.0,6.7757,13.0,3003,3147,3070.0,12.0,6.7721,6140.0,33.3003,1108.9098,7.0,0.1139,20,25,22.0,5.0,4.499,4943.0,1.3107,1.718,1204.0,19.5868
N,5968.0,6.5784,13.0,2892,3056,2970.0,12.0,6.5515,5940.0,36.9377,1364.3902,28.0,0.4692,20,26,22.0,5.0,4.499,4943.0,1.2623,1.5935,1025.0,17.1749
R,5794.0,6.3866,13.0,2830,2965,2889.0,12.0,6.3728,5778.0,33.9122,1150.0392,16.0,0.2761,20,25,22.0,5.0,4.499,4943.0,1.1586,1.3424,851.0,14.6876
H,5469.0,6.0284,13.0,2666,2793,2731.0,12.0,6.0243,5462.0,31.2077,973.9188,7.0,0.128,20,24,22.0,5.0,4.499,4943.0,0.9941,0.9882,526.0,9.6178
L,3890.0,4.2879,12.0,1864,2014,1942.0,11.0,4.2839,3884.0,32.669,1067.2637,6.0,0.1542,18,24,21.0,5.0,4.2945,3495.0,1.135,1.2882,395.0,10.1542
D,3380.0,3.7257,12.0,1635,1767,1690.0,11.0,3.728,3380.0,31.0661,965.1024,0.0,0.0,17,23,20.0,5.0,4.09,2471.0,1.2122,1.4694,909.0,26.8935
M,2659.0,2.931,12.0,1275,1384,1328.0,11.0,2.9294,2656.0,27.6659,765.4045,3.0,0.1128,18,23,19.0,5.0,3.8855,1747.0,1.1945,1.4269,912.0,34.2986
U,2554.0,2.8152,12.0,1220,1330,1280.0,11.0,2.8236,2560.0,24.4281,596.7302,6.0,0.2349,17,23,19.0,5.0,3.8855,1747.0,1.1954,1.429,807.0,31.5975
F,2286.0,2.5198,12.0,1066,1177,1144.0,11.0,2.5235,2288.0,21.6672,469.4694,2.0,0.0875,17,22,19.0,5.0,3.8855,1747.0,1.091,1.1902,539.0,23.5783
W,2167.0,2.3886,12.0,991,1140,1078.0,11.0,2.378,2156.0,25.7918,665.2147,11.0,0.5076,17,22,19.0,5.0,3.8855,1747.0,1.1466,1.3147,420.0,19.3816
C,2003.0,2.2079,11.0,953,1047,1001.0,10.0,2.2081,2002.0,20.5583,422.6433,1.0,0.0499,16,23,19.0,5.0,3.8855,1747.0,1.4049,1.9739,256.0,12.7808
