letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,11108.0,12.2441,14.0,10902.0,11356.0,11114.0,14.0,12.2562,107.677,11594.3445,6.0,0.054,4943.0,27968.0,11269.0,14.0,12.141,5916.2876,35002458.5718,161.0,1.4494
T,7982.0,8.7984,13.0,7852.0,8206.0,7994.0,13.0,8.8155,85.304,7276.7755,12.0,0.1503,3495.0,13983.0,7061.0,13.0,7.6074,2732.318,7465561.7567,921.0,11.5385
O,7439.0,8.1999,13.0,7278.0,7646.0,7448.0,13.0,8.2134,80.4609,6473.9527,9.0,0.121,3495.0,19776.0,7659.0,13.0,8.2516,3420.1173,11697202.1424,220.0,2.9574
A,6594.0,7.2684,13.0,6436.0,6772.0,6580.0,13.0,7.2562,71.6046,5127.2245,14.0,0.2123,2471.0,19776.0,6705.0,13.0,7.2238,3388.032,11478760.5816,111.0,1.6833
S,6371.0,7.0226,13.0,6238.0,6540.0,6389.0,13.0,7.0456,66.674,4445.4286,18.0,0.2825,2471.0,27968.0,6918.0,13.0,7.4533,4107.3346,16870197.8776,547.0,8.5858
I,6147.0,6.7757,13.0,6006.0,6294.0,6141.0,13.0,6.7721,66.6006,4435.6392,6.0,0.0976,2471.0,13983.0,6671.0,13.0,7.1872,3032.8037,9197898.4229,524.0,8.5245
N,5968.0,6.5784,13.0,5784.0,6112.0,5941.0,13.0,6.5515,73.8753,5457.5608,27.0,0.4524,2471.0,19776.0,6041.0,13.0,6.5084,3221.6368,10378943.602,73.0,1.2232
R,5794.0,6.3866,13.0,5660.0,5930.0,5778.0,13.0,6.3718,67.8245,4600.1567,16.0,0.2761,2471.0,13983.0,6099.0,13.0,6.5709,2483.6865,6168698.7755,305.0,5.2641
H,5469.0,6.0284,13.0,5332.0,5586.0,5463.0,13.0,6.0244,62.4153,3895.6751,6.0,0.1097,2471.0,9887.0,6137.0,13.0,6.6119,2080.675,4329208.2678,668.0,12.2143
L,3890.0,4.2879,12.0,3728.0,4028.0,3884.0,12.0,4.2831,65.338,4269.0547,6.0,0.1542,1235.0,9887.0,4102.0,13.0,4.4194,1711.1571,2928058.782,212.0,5.4499
