letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,16082.0,14.9756,14.0,7893,8153,8039.0,13.0,14.9733,16078.0,65.7125,4318.1392,4.0,0.0249,23,27,25.0,5.0,4.2159,13983.0,1.1899,1.4159,2099.0,13.0519
S,9092.0,8.4665,14.0,4459,4657,4543.0,13.0,8.4617,9086.0,42.2792,1787.5282,6.0,0.066,20,25,23.0,5.0,3.8786,6991.0,1.2651,1.6004,2101.0,23.1082
N,7940.0,7.3937,13.0,3884,4076,3970.0,12.0,7.3944,7940.0,46.2062,2135.0106,0.0,0.0,21,25,23.0,5.0,3.8786,6991.0,1.1249,1.2653,949.0,11.9521
A,7683.0,7.1544,13.0,3756,3962,3851.0,12.0,7.1728,7702.0,44.6788,1996.1914,19.0,0.2473,20,27,23.0,5.0,3.8786,6991.0,1.3746,1.8894,692.0,9.0069
I,7525.0,7.0073,13.0,3634,3890,3760.0,12.0,7.0033,7520.0,49.6528,2465.3963,5.0,0.0664,21,25,22.0,5.0,3.7099,4943.0,1.1493,1.3208,2582.0,34.3123
R,7227.0,6.7298,13.0,3550,3714,3624.0,12.0,6.75,7248.0,40.2691,1621.602,21.0,0.2906,21,25,23.0,5.0,3.8786,6991.0,1.1891,1.4139,236.0,3.2655
T,7169.0,6.6758,13.0,3513,3657,3582.0,12.0,6.6718,7164.0,31.6453,1001.4269,5.0,0.0697,21,27,22.0,5.0,3.7099,4943.0,1.2237,1.4976,2226.0,31.0504
O,6953.0,6.4747,13.0,3376,3563,3484.0,12.0,6.4892,6968.0,42.968,1846.2486,15.0,0.2157,22,26,22.0,5.0,3.7099,4943.0,0.9398,0.8833,2010.0,28.9084
U,6751.0,6.2865,13.0,3296,3479,3380.0,12.0,6.2955,6760.0,43.6397,1904.42,9.0,0.1333,20,25,22.0,5.0,3.7099,4943.0,1.0683,1.1412,1808.0,26.7812
L,5425.0,5.0518,13.0,2651,2794,2710.0,12.0,5.0476,5420.0,35.1825,1237.8106,5.0,0.0922,19,24,21.0,5.0,3.5413,3495.0,1.3169,1.7343,1930.0,35.576
D,3435.0,3.1987,12.0,1641,1800,1715.0,11.0,3.1943,3430.0,35.0224,1226.5714,5.0,0.1456,19,24,20.0,5.0,3.3727,2471.0,1.2591,1.5853,964.0,28.064
M,3382.0,3.1493,12.0,1622,1744,1686.0,11.0,3.1403,3372.0,26.6198,708.6122,10.0,0.2957,18,24,20.0,5.0,3.3727,2471.0,1.2936,1.6735,911.0,26.9367
P,3140.0,2.924,12.0,1502,1630,1564.0,11.0,2.9131,3128.0,30.4417,926.6943,12.0,0.3822,18,23,20.0,5.0,3.3727,2471.0,1.2817,1.6429,669.0,21.3057
C,3080.0,2.8681,12.0,1462,1582,1542.0,11.0,2.8721,3084.0,26.1938,686.1159,4.0,0.1299,18,23,20.0,5.0,3.3727,2471.0,1.1183,1.2506,609.0,19.7727
V,1944.0,1.8103,11.0,919,1007,970.0,10.0,1.8067,1940.0,20.7707,431.4208,4.0,0.2058,16,22,19.0,5.0,3.204,1747.0,1.2856,1.6527,197.0,10.1337
É,1689.0,1.5728,11.0,824,910,849.0,10.0,1.5813,1698.0,19.2094,368.9996,9.0,0.5329,16,21,18.0,5.0,3.0354,1235.0,1.1178,1.2494,454.0,26.8798
Q,1298.0,1.2087,11.0,618,684,649.0,10.0,1.2088,1298.0,16.2779,264.9698,0.0,0.0,15,21,17.0,5.0,2.8668,873.0,1.122,1.2588,425.0,32.7427
B,1126.0,1.0485,11.0,524,612,563.0,10.0,1.0486,1126.0,17.4713,305.2473,0.0,0.0,15,20,17.0,5.0,2.8668,873.0,1.1856,1.4057,253.0,22.4689
F,1077.0,1.0029,11.0,504,579,540.0,10.0,1.0058,1080.0,16.2504,264.0751,3.0,0.2786,15,19,17.0,5.0,2.8668,873.0,0.9858,0.9718,204.0,18.9415
G,1015.0,0.9452,10.0,475,546,506.0,9.0,0.9425,1012.0,16.3886,268.5861,3.0,0.2956,14,19,17.0,5.0,2.8668,873.0,1.2618,1.5922,142.0,13.9901
