letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,16082.0,14.9756,14.0,15786.0,16306.0,16078.0,14.0,14.9709,131.4251,17272.5567,4.0,0.0249,6991.0,27968.0,16198.0,14.0,14.7917,6893.2199,47516480.6531,116.0,0.7213
S,9092.0,8.4665,14.0,8918.0,9314.0,9086.0,14.0,8.4604,84.5583,7150.1127,6.0,0.066,2471.0,13983.0,8931.0,14.0,8.1556,3461.6929,11983317.9167,161.0,1.7708
N,7940.0,7.3937,13.0,7768.0,8152.0,7940.0,13.0,7.3933,92.4124,8540.0424,0.0,0.0,3495.0,13983.0,7527.0,13.0,6.8735,2960.865,8766721.28,413.0,5.2015
A,7683.0,7.1544,13.0,7512.0,7924.0,7702.0,13.0,7.1717,89.3575,7984.7657,19.0,0.2473,2471.0,27968.0,8565.0,14.0,7.8214,5268.7791,27760032.9894,882.0,11.4799
I,7525.0,7.0073,13.0,7268.0,7780.0,7521.0,13.0,7.0031,99.3055,9861.5853,4.0,0.0532,3495.0,13983.0,7160.0,13.0,6.5384,3003.9056,9023448.8163,365.0,4.8505
R,7227.0,6.7298,13.0,7100.0,7428.0,7248.0,13.0,6.7489,80.5382,6486.4082,21.0,0.2906,3495.0,13983.0,7905.0,13.0,7.2187,3207.3758,10287259.7159,678.0,9.3815
T,7169.0,6.6758,13.0,7026.0,7314.0,7164.0,13.0,6.6707,63.2907,4005.7078,5.0,0.0697,3495.0,27968.0,7264.0,13.0,6.6334,4028.0866,16225481.6004,95.0,1.3251
O,6953.0,6.4747,13.0,6752.0,7126.0,6969.0,13.0,6.4891,85.936,7384.9943,16.0,0.2301,4943.0,19776.0,7112.0,13.0,6.4946,2868.1452,8226256.6078,159.0,2.2868
U,6751.0,6.2865,13.0,6592.0,6958.0,6760.0,13.0,6.2945,87.2793,7617.68,9.0,0.1333,2471.0,13983.0,7354.0,13.0,6.7156,2649.3002,7018791.8106,603.0,8.932
L,5425.0,5.0518,13.0,5302.0,5588.0,5420.0,13.0,5.0468,70.3651,4951.2424,5.0,0.0922,1747.0,9887.0,5415.0,13.0,4.9449,2381.7185,5672582.8506,10.0,0.1843
D,3435.0,3.1987,12.0,3282.0,3600.0,3430.0,12.0,3.1938,70.0449,4906.2857,5.0,0.1456,1747.0,9887.0,3748.0,12.0,3.4226,1799.4564,3238043.4286,313.0,9.1121
M,3382.0,3.1493,12.0,3244.0,3488.0,3372.0,12.0,3.1398,53.2395,2834.449,10.0,0.2957,1235.0,9887.0,3609.0,12.0,3.2957,1751.2405,3066843.3567,227.0,6.712
P,3140.0,2.924,12.0,3004.0,3260.0,3128.0,12.0,2.9126,60.8833,3706.7771,12.0,0.3822,1235.0,6991.0,3457.0,12.0,3.1569,1493.0042,2229061.6229,317.0,10.0955
C,3080.0,2.8681,12.0,2924.0,3164.0,3084.0,12.0,2.8716,52.3876,2744.4637,4.0,0.1299,1235.0,6991.0,2783.0,12.0,2.5414,1187.724,1410688.418,297.0,9.6429
V,1944.0,1.8103,11.0,1838.0,2014.0,1941.0,11.0,1.8073,41.5413,1725.6833,3.0,0.1543,617.0,4943.0,1935.0,11.0,1.767,874.0789,764013.9184,9.0,0.463
É,1689.0,1.5728,11.0,1648.0,1820.0,1699.0,11.0,1.582,38.4187,1475.9984,10.0,0.5921,617.0,3495.0,1673.0,11.0,1.5278,683.6866,467427.4286,16.0,0.9473
Q,1298.0,1.2087,11.0,1236.0,1368.0,1299.0,11.0,1.2096,32.5558,1059.8792,1.0,0.077,436.0,3495.0,1295.0,11.0,1.1826,541.2329,292933.0714,3.0,0.2311
B,1126.0,1.0485,11.0,1048.0,1224.0,1127.0,11.0,1.0494,34.9427,1220.9894,1.0,0.0888,436.0,2471.0,1060.0,11.0,0.968,446.9421,199757.2245,66.0,5.8615
F,1077.0,1.0029,11.0,1008.0,1158.0,1080.0,11.0,1.0056,32.5008,1056.3004,3.0,0.2786,436.0,1747.0,1010.0,10.0,0.9223,342.4142,117247.5167,67.0,6.221
G,1015.0,0.9452,10.0,950.0,1092.0,1013.0,10.0,0.9432,32.7772,1074.3445,2.0,0.197,308.0,1747.0,998.0,10.0,0.9114,396.1449,156930.7629,17.0,1.6749
J,869.0,0.8092,10.0,796.0,948.0,865.0,10.0,0.8054,32.33,1045.231,4.0,0.4603,436.0,2471.0,806.0,10.0,0.736,380.4864,144769.9184,63.0,7.2497
H,863.0,0.8036,10.0,780.0,928.0,861.0,10.0,0.8017,32.854,1079.3861,2.0,0.2317,436.0,3495.0,958.0,10.0,0.8748,548.311,300644.9649,95.0,11.0081
À,528.0,0.4917,10.0,478.0,582.0,531.0,10.0,0.4944,25.0577,627.8873,3.0,0.5682,153.0,2471.0,587.0,10.0,0.536,390.9194,152817.9657,59.0,11.1742
X,403.0,0.3753,9.0,362.0,442.0,403.0,9.0,0.3753,19.5156,380.8588,0.0,0.0,153.0,873.0,417.0,9.0,0.3808,172.6801,29818.4118,14.0,3.4739
Z,394.0,0.3669,9.0,330.0,438.0,386.0,9.0,0.3594,21.2593,451.9592,8.0,2.0305,108.0,873.0,435.0,9.0,0.3972,188.7936,35643.0204,41.0,10.4061
È,323.0,0.3008,9.0,282.0,356.0,319.0,9.0,0.297,16.2368,263.6343,4.0,1.2384,153.0,1235.0,317.0,9.0,0.2895,174.6072,30487.6914,6.0,1.8576
Y,252.0,0.2347,8.0,214.0,290.0,250.0,8.0,0.2328,16.6708,277.9167,2.0,0.7937,108.0,617.0,267.0,9.0,0.2438,118.0091,13926.1453,15.0,5.9524
Ê,230.0,0.2142,8.0,198.0,264.0,230.0,8.0,0.2142,13.7024,187.7551,0.0,0.0,108.0,436.0,227.0,8.0,0.2073,97.6356,9532.7041,3.0,1.3043
Î,164.0,0.1527,8.0,136.0,190.0,163.0,8.0,0.1518,14.368,206.4392,1.0,0.6098,53.0,308.0,159.0,8.0,0.1452,62.0739,3853.169,5.0,3.0488
Ù,80.0,0.0745,7.0,62.0,100.0,80.0,7.0,0.0745,7.769,60.3576,0.0,0.0,37.0,436.0,92.0,7.0,0.084,60.9593,3716.0412,12.0,15.0
Ô,64.0,0.0596,6.0,48.0,80.0,62.0,6.0,0.0577,7.7218,59.6261,2.0,3.125,26.0,108.0,62.0,6.0,0.0566,26.0621,679.2347,2.0,3.125
Â,60.0,0.0559,6.0,46.0,84.0,60.0,6.0,0.0559,8.5532,73.1576,0.0,0.0,26.0,153.0,57.0,6.0,0.0521,21.2972,453.571,3.0,5.0
Û,44.0,0.041,6.0,32.0,58.0,45.0,6.0,0.0419,6.0151,36.1812,1.0,2.2727,18.0,108.0,45.0,6.0,0.0411,19.3259,373.4894,1.0,2.2727
