letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,16238.0,16.5743,14.0,7999,8261,8110.0,13.0,16.5598,16220.0,63.3896,4018.2404,18.0,0.1109,23,27,24.0,5.0,4.6602,9887.0,1.0351,1.0714,6351.0,39.112
N,10121.0,10.3306,14.0,4951,5174,5070.0,13.0,10.3524,10140.0,50.2792,2527.9955,19.0,0.1877,21,28,23.0,5.0,4.466,6991.0,1.3893,1.9302,3130.0,30.9258
I,8412.0,8.5862,14.0,4113,4280,4202.0,13.0,8.5801,8404.0,41.468,1719.5935,8.0,0.0951,21,27,23.0,5.0,4.466,6991.0,1.1822,1.3976,1421.0,16.8925
S,6978.0,7.1225,13.0,3414,3554,3483.0,12.0,7.1119,6966.0,35.9279,1290.8147,12.0,0.172,20,25,22.0,5.0,4.2718,4943.0,1.0437,1.0894,2035.0,29.1631
R,6510.0,6.6448,13.0,3154,3384,3253.0,12.0,6.6423,6506.0,39.8235,1585.9086,4.0,0.0614,21,26,22.0,5.0,4.2718,4943.0,1.2936,1.6735,1567.0,24.0707
H,5556.0,5.6711,13.0,2716,2882,2787.0,12.0,5.6908,5574.0,39.8548,1588.4065,18.0,0.324,19,24,22.0,5.0,4.2718,4943.0,1.0498,1.102,613.0,11.0331
T,5222.0,5.3301,13.0,2550,2714,2621.0,12.0,5.3518,5242.0,41.0235,1682.929,20.0,0.383,19,25,21.0,5.0,4.0777,3495.0,1.4259,2.0331,1727.0,33.0716
A,5093.0,5.1985,13.0,2468,2617,2540.0,12.0,5.1864,5080.0,34.2993,1176.4412,13.0,0.2553,19,25,21.0,5.0,4.0777,3495.0,1.4223,2.0229,1598.0,31.3764
D,4520.0,4.6136,13.0,2164,2327,2258.0,12.0,4.6106,4516.0,28.982,839.9576,4.0,0.0885,19,23,21.0,5.0,4.0777,3495.0,1.2164,1.4796,1025.0,22.677
L,3796.0,3.8746,12.0,1816,1970,1901.0,11.0,3.8817,3802.0,37.5195,1407.7159,6.0,0.1581,17,24,20.0,5.0,3.8835,2471.0,1.512,2.2861,1325.0,34.9052
U,3620.0,3.695,12.0,1741,1851,1801.0,11.0,3.6775,3602.0,28.8899,834.6269,18.0,0.4972,19,24,21.0,5.0,4.0777,3495.0,1.1718,1.3731,125.0,3.453
C,3222.0,3.2887,12.0,1546,1673,1611.0,11.0,3.2895,3222.0,29.764,885.8955,0.0,0.0,18,23,20.0,5.0,3.8835,2471.0,1.1753,1.3812,751.0,23.3085
O,2838.0,2.8968,12.0,1349,1501,1411.0,11.0,2.8811,2822.0,27.6875,766.5963,16.0,0.5638,17,23,19.0,5.0,3.6893,1747.0,1.2856,1.6527,1091.0,38.4426
M,2788.0,2.8457,12.0,1348,1457,1396.0,11.0,2.8505,2792.0,25.879,669.7245,4.0,0.1435,18,23,20.0,5.0,3.8835,2471.0,1.1891,1.4139,317.0,11.3702
G,2630.0,2.6845,12.0,1257,1365,1318.0,11.0,2.6912,2636.0,25.9715,674.518,6.0,0.2281,17,21,19.0,5.0,3.6893,1747.0,0.9476,0.898,883.0,33.5741
B,1894.0,1.9332,11.0,891,1001,948.0,10.0,1.9357,1896.0,22.0433,485.9057,2.0,0.1056,17,21,18.0,5.0,3.4951,1235.0,1.0984,1.2065,659.0,34.7941
W,1779.0,1.8158,11.0,841,938,889.0,10.0,1.8152,1778.0,21.1876,448.9127,1.0,0.0562,16,22,18.0,5.0,3.4951,1235.0,1.3851,1.9184,544.0,30.579
F,1428.0,1.4576,11.0,672,763,713.0,10.0,1.4559,1426.0,21.4879,461.731,2.0,0.1401,14,22,17.0,5.0,3.301,873.0,1.2591,1.5853,555.0,38.8655
Z,978.0,0.9983,10.0,466,527,492.0,9.0,1.0046,984.0,15.7119,246.8637,6.0,0.6135,14,20,17.0,5.0,3.301,873.0,1.2675,1.6065,105.0,10.7362
K,956.0,0.9758,10.0,454,499,477.0,9.0,0.974,954.0,12.5341,157.1024,2.0,0.2092,14,20,17.0,5.0,3.301,873.0,1.4626,2.1392,83.0,8.682
P,785.0,0.8013,10.0,368,415,391.0,9.0,0.7984,782.0,11.4771,131.7245,3.0,0.3822,15,21,16.0,4.0,3.1068,617.0,1.3456,1.8106,168.0,21.4013
V,710.0,0.7247,10.0,319,387,353.0,9.0,0.7208,706.0,15.8723,251.9286,4.0,0.5634,14,19,16.0,4.0,3.1068,617.0,1.0683,1.1412,93.0,13.0986
Ü,608.0,0.6206,10.0,264,329,304.0,9.0,0.6207,608.0,13.0517,170.3465,0.0,0.0,14,19,16.0,4.0,3.1068,617.0,1.0398,1.0812,9.0,1.4803
Ä,434.0,0.443,9.0,195,247,219.0,8.0,0.4472,438.0,11.1007,123.2245,4.0,0.9217,12,17,14.0,4.0,2.7184,308.0,1.1278,1.2718,126.0,29.0323
Ö,371.0,0.3787,9.0,165,209,186.0,8.0,0.3798,372.0,9.2656,85.8514,1.0,0.2695,11,18,14.0,4.0,2.7184,308.0,1.239,1.5351,63.0,16.9811
Y,341.0,0.3481,9.0,144,193,169.0,8.0,0.3451,338.0,9.8755,97.5249,3.0,0.8798,12,17,14.0,4.0,2.7184,308.0,1.1578,1.3404,33.0,9.6774
J,116.0,0.1184,7.0,45,72,58.0,6.0,0.1184,116.0,5.369,28.8265,0.0,0.0,8,14,11.0,4.0,2.1359,108.0,1.1753,1.3812,8.0,6.8966
X,15.0,0.0153,4.0,2,11,7.0,3.0,0.0143,14.0,2.2786,5.1922,1.0,6.6667,3,8,5.0,3.0,0.9709,12.0,1.0835,1.1739,3.0,20.0
Q,12.0,0.0122,4.0,2,10,6.0,3.0,0.0123,12.0,1.6728,2.7984,0.0,0.0,3,7,4.0,2.0,0.7767,8.0,0.9435,0.8902,4.0,33.3333
