letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,16238.0,16.5743,14.0,15998.0,16522.0,16221.0,14.0,16.5585,126.7792,16072.9616,17.0,0.1047,6991.0,27968.0,14390.0,14.0,14.9053,5303.11,28122975.8139,1848.0,11.3807
N,10121.0,10.3306,14.0,9902.0,10348.0,10141.0,14.0,10.352,100.5584,10111.982,20.0,0.1976,3495.0,39553.0,10353.0,14.0,10.7237,6000.7477,36008972.831,232.0,2.2923
I,8412.0,8.5862,14.0,8226.0,8560.0,8404.0,14.0,8.5788,82.936,6878.3739,8.0,0.0951,3495.0,27968.0,8976.0,14.0,9.2974,4035.412,16284550.3351,564.0,6.7047
S,6978.0,7.1225,13.0,6828.0,7108.0,6966.0,13.0,7.1109,71.8558,5163.2588,12.0,0.172,2471.0,13983.0,6976.0,13.0,7.2258,2360.3984,5571480.4506,2.0,0.0287
R,6510.0,6.6448,13.0,6308.0,6768.0,6506.0,13.0,6.6414,79.6469,6343.6343,4.0,0.0614,3495.0,19776.0,6758.0,13.0,7.0,3427.6547,11748817.078,248.0,3.8095
H,5556.0,5.6711,13.0,5432.0,5764.0,5574.0,13.0,5.69,79.7096,6353.6261,18.0,0.324,1747.0,9887.0,5261.0,13.0,5.4494,1864.6558,3476941.2245,295.0,5.3096
T,5222.0,5.3301,13.0,5100.0,5428.0,5242.0,13.0,5.3511,82.047,6731.7159,20.0,0.383,1747.0,13983.0,5118.0,13.0,5.3013,2793.9556,7806188.1208,104.0,1.9916
A,5093.0,5.1985,13.0,4936.0,5234.0,5081.0,13.0,5.1867,68.5986,4705.7649,12.0,0.2356,1747.0,13983.0,5143.0,13.0,5.3272,2768.4639,7664392.2547,50.0,0.9817
D,4520.0,4.6136,13.0,4328.0,4654.0,4516.0,13.0,4.61,57.964,3359.8302,4.0,0.0885,1747.0,6991.0,3940.0,12.0,4.0811,1633.5414,2668457.5412,580.0,12.8319
L,3796.0,3.8746,12.0,3632.0,3940.0,3802.0,12.0,3.8811,75.0391,5630.8637,6.0,0.1581,873.0,9887.0,3791.0,12.0,3.9267,1995.8109,3983261.1935,5.0,0.1317
U,3620.0,3.695,12.0,3482.0,3702.0,3603.0,12.0,3.678,57.7798,3338.5078,17.0,0.4696,1747.0,9887.0,3951.0,12.0,4.0925,1663.472,2767139.1608,331.0,9.1436
C,3222.0,3.2887,12.0,3092.0,3346.0,3222.0,12.0,3.289,59.528,3543.582,0.0,0.0,1235.0,6991.0,3685.0,12.0,3.817,1521.3618,2314541.7143,463.0,14.37
