letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,22,22,23,25,26,27,22,25,23,23,22,23,24,23,22,22,23,23,22,24,23,23,23,26,24,25,21,22,25,26,26,24,22,24,23,24,25,24,23,24,24,24,24,23,25,24,24,23,23,22,21,27,23.0,4.9251,1.3262,1.7588,6991.0
T,24,23,24,25,24,22,21,22,24,22,23,23,22,22,22,21,23,24,22,22,25,23,21,23,21,24,24,24,23,22,22,22,22,23,25,22,22,21,25,23,23,21,22,20,22,22,21,22,24,22,20,25,22.0,4.7109,1.2271,1.5057,4943.0
O,22,23,25,22,22,24,24,23,23,23,20,22,21,22,21,22,24,22,23,24,22,24,20,22,22,23,22,23,22,21,20,23,24,21,21,24,21,22,22,22,23,22,24,22,23,23,21,23,23,22,20,25,22.0,4.7109,1.1586,1.3424,4943.0
A,22,23,23,22,23,24,19,23,21,22,24,22,20,23,20,22,19,22,23,21,21,22,20,22,22,20,22,23,20,22,20,22,22,22,23,23,20,22,21,23,21,21,23,21,22,19,23,21,21,22,19,24,21.0,4.4968,1.2688,1.6098,3495.0
I,22,22,21,20,22,22,22,22,25,22,21,23,22,23,22,21,20,24,22,21,21,23,20,25,20,21,22,23,22,24,23,20,24,22,21,21,22,19,22,21,19,22,22,20,20,20,24,22,20,22,19,25,21.0,4.4968,1.4148,2.0016,3495.0
S,24,22,21,21,21,21,22,24,22,21,22,20,22,22,21,23,21,23,22,22,24,20,22,23,20,22,21,21,24,22,23,22,20,23,20,20,21,22,22,19,24,21,22,24,23,22,21,19,21,19,19,24,21.0,4.4968,1.3468,1.8139,3495.0
R,22,24,21,20,21,22,20,21,22,22,22,20,23,24,22,22,21,21,20,23,19,22,22,22,21,22,22,24,22,22,20,19,21,22,21,21,21,20,20,20,23,21,20,20,21,21,21,20,21,22,19,24,21.0,4.4968,1.1856,1.4057,3495.0
N,21,23,20,22,23,24,20,21,22,21,24,22,23,20,20,20,21,24,21,22,23,20,22,22,26,21,21,21,21,21,21,20,22,23,21,22,22,22,20,21,19,20,20,20,20,24,24,22,21,23,19,26,21.0,4.4968,1.4581,2.1261,3495.0
H,21,19,22,22,21,22,22,19,23,22,22,22,23,23,22,21,21,19,23,20,21,22,23,21,22,22,21,22,21,21,23,22,22,23,22,23,22,22,22,22,23,23,19,22,21,20,23,21,22,19,19,23,21.0,4.4968,1.1761,1.3833,3495.0
L,21,22,19,21,20,20,22,21,20,22,20,20,21,22,21,21,21,21,22,20,21,19,22,22,19,20,19,19,21,21,21,20,21,20,21,21,21,19,21,20,22,18,22,22,21,23,21,20,18,21,18,23,20.0,4.2827,1.1178,1.2494,2471.0
