letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,4557,4568,4510,4521,4514,4516,4491,4490,4565,4579,4587,4534,4536,4563,4598,4515,4477,4514,4490,4584,4576,4585,4620,4578,4588,4558,4531,4553,4588,4589,4554,4586,4579,4483,4514,4635,4525,4533,4503,4650,4494,4505,4575,4530,4486,4611,4631,4616,4638,4482,4477,4650,4552.0,12.5993,46.9682,2206.0102,9104.0
T,3130,3086,3180,3185,3128,3150,3132,3160,3175,3127,3160,3171,3095,3090,3136,3172,3198,3150,3163,3170,3075,3164,3137,3174,3082,3132,3237,3214,3055,3120,3145,3097,3179,3165,3247,3161,3189,3201,3097,3119,3177,3118,3204,3109,3165,3114,3192,3187,3154,3049,3049,3247,3148.0,8.7132,44.0109,1936.9637,6296.0
O,2979,2934,2920,2984,2944,2925,2947,2966,2902,2904,2962,2911,2890,2940,2955,2975,2984,2936,2903,2926,2970,3007,3023,2957,2926,2947,2930,2983,2909,2930,2965,2995,2938,2966,2904,2901,2992,2930,2936,2955,2970,2975,2976,2941,2895,2913,3020,2947,2893,2880,2880,3023,2945.0,8.1513,34.8397,1213.8078,5890.0
A,2711,2701,2700,2804,2756,2714,2720,2701,2705,2753,2716,2715,2686,2634,2686,2661,2713,2700,2715,2698,2625,2751,2700,2667,2647,2686,2727,2676,2663,2703,2665,2728,2688,2670,2723,2729,2697,2660,2649,2672,2720,2731,2773,2647,2683,2713,2691,2708,2802,2730,2625,2804,2702.0,7.4788,37.8568,1433.1351,5404.0
I,2426,2406,2373,2378,2436,2382,2436,2411,2464,2368,2424,2327,2408,2419,2416,2362,2414,2411,2402,2408,2409,2346,2370,2411,2377,2410,2424,2410,2401,2379,2322,2387,2370,2430,2375,2458,2354,2439,2401,2364,2421,2374,2357,2401,2346,2404,2489,2414,2413,2394,2322,2489,2398.0,6.6373,33.6046,1129.269,4796.0
H,2336,2359,2399,2382,2340,2393,2366,2400,2393,2372,2368,2397,2346,2434,2328,2348,2391,2333,2335,2351,2407,2404,2387,2378,2385,2326,2389,2384,2371,2339,2389,2409,2371,2421,2335,2385,2420,2332,2411,2355,2320,2391,2385,2353,2383,2382,2370,2358,2403,2363,2320,2434,2373.0,6.5681,28.1955,794.9882,4746.0
S,2395,2417,2337,2329,2374,2401,2384,2350,2335,2381,2290,2346,2387,2370,2371,2309,2360,2273,2401,2396,2369,2361,2356,2318,2379,2400,2392,2291,2333,2372,2308,2399,2365,2393,2391,2371,2339,2359,2378,2402,2336,2312,2294,2285,2384,2401,2318,2342,2439,2314,2273,2439,2358.0,6.5266,38.7557,1502.0004,4716.0
N,2302,2315,2284,2319,2320,2346,2354,2352,2324,2294,2290,2339,2334,2331,2372,2274,2314,2380,2364,2319,2316,2338,2324,2294,2385,2336,2300,2371,2326,2310,2322,2368,2317,2306,2350,2335,2346,2405,2362,2239,2337,2354,2319,2369,2350,2316,2332,2314,2296,2319,2239,2405,2329.0,6.4463,30.8165,949.6576,4658.0
R,2256,2207,2173,2166,2193,2159,2281,2260,2203,2149,2162,2160,2186,2184,2207,2173,2197,2220,2155,2188,2199,2171,2195,2180,2259,2133,2199,2218,2214,2250,2206,2170,2211,2192,2196,2204,2192,2159,2198,2147,2184,2237,2198,2189,2190,2189,2196,2239,2197,2241,2133,2281,2196.0,6.0782,31.631,1000.5208,4392.0
L,1662,1647,1671,1627,1653,1666,1610,1582,1676,1605,1622,1635,1646,1707,1600,1683,1623,1686,1648,1641,1627,1659,1627,1611,1652,1682,1631,1640,1619,1627,1608,1642,1636,1627,1649,1702,1636,1645,1599,1652,1619,1666,1656,1676,1689,1651,1619,1691,1659,1675,1582,1707,1645.0,4.5531,28.4552,809.6963,3290.0
D,1449,1401,1400,1430,1382,1396,1372,1382,1366,1407,1359,1385,1429,1370,1405,1378,1402,1416,1379,1412,1400,1381,1367,1434,1412,1375,1391,1413,1400,1372,1401,1363,1397,1384,1397,1420,1380,1353,1331,1390,1402,1361,1402,1369,1446,1405,1384,1391,1412,1415,1331,1449,1393.0,3.8556,23.9095,571.6637,2786.0
U,1258,1248,1211,1264,1232,1274,1256,1187,1266,1243,1187,1211,1248,1236,1240,1246,1271,1235,1288,1211,1231,1246,1221,1234,1238,1263,1235,1229,1237,1247,1263,1270,1217,1244,1252,1197,1256,1240,1217,1227,1194,1279,1203,1227,1214,1226,1210,1252,1256,1215,1187,1288,1237.0,3.4238,24.0654,579.1412,2474.0
M,1131,1137,1154,1140,1105,1125,1099,1130,1136,1128,1123,1114,1155,1098,1099,1157,1102,1152,1121,1150,1124,1090,1098,1126,1117,1102,1162,1135,1115,1128,1136,1110,1129,1166,1089,1144,1126,1126,1147,1128,1137,1100,1088,1118,1093,1154,1131,1149,1148,1127,1088,1166,1125.0,3.1138,20.8498,434.7139,2250.0
Y,930,951,938,932,930,969,955,954,969,944,973,952,943,934,941,971,937,931,945,985,944,948,955,938,968,952,943,944,961,971,927,966,960,923,934,917,957,970,940,930,948,950,951,928,939,961,921,942,929,916,916,985,946.0,2.6184,16.2023,262.5147,1892.0
W,916,854,913,900,885,848,901,900,909,848,903,901,887,884,894,849,890,888,894,853,927,873,892,904,874,895,858,906,893,897,892,922,915,889,921,912,886,855,875,895,877,911,886,880,893,862,873,888,874,905,848,927,888.0,2.4579,20.4345,417.5678,1776.0
C,678,699,696,651,697,681,679,684,700,665,688,662,657,668,710,678,687,705,689,667,673,673,698,683,672,706,687,678,656,654,694,686,661,677,671,657,677,682,706,643,663,714,689,738,668,654,667,715,683,668,643,738,680.0,1.8821,19.3057,372.7118,1360.0
F,669,682,665,683,700,668,626,682,651,688,654,644,682,656,661,679,686,691,680,685,658,680,685,666,674,669,659,685,681,683,667,677,663,674,678,681,682,701,664,653,682,688,671,654,682,688,663,662,624,678,624,701,672.0,1.86,16.0418,257.3404,1344.0
G,610,604,616,599,596,621,609,613,625,615,601,615,601,577,606,600,617,603,607,601,603,603,629,606,628,619,599,586,593,600,590,611,608,586,580,607,599,587,589,592,612,590,592,611,622,612,607,629,596,604,577,629,604.0,1.6718,12.4528,155.071,1208.0
P,584,591,577,605,569,604,554,597,549,578,584,572,597,614,602,555,563,592,570,604,551,624,594,573,598,574,591,589,563,544,588,582,581,582,578,567,569,575,593,570,562,584,592,579,606,567,582,580,596,585,544,624,581.0,1.6081,17.1773,295.0612,1162.0
B,521,541,537,542,542,562,537,555,560,536,538,565,549,563,545,524,532,538,561,539,527,548,544,542,562,543,547,553,535,514,543,573,556,573,559,523,555,534,554,566,534,548,536,553,554,527,538,553,547,525,514,573,545.0,1.5085,13.7402,188.7922,1090.0
V,318,346,361,341,371,335,370,375,340,357,348,319,343,351,343,366,348,353,341,361,361,357,361,337,366,341,329,338,348,338,340,339,339,339,350,361,348,381,356,359,339,356,352,365,348,333,348,339,340,341,318,381,348.0,0.9632,13.3371,177.8792,696.0
