letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,9114.0,9136.0,9020.0,9042.0,9028.0,9032.0,8982.0,8980.0,9130.0,9158.0,9174.0,9068.0,9072.0,9126.0,9196.0,9030.0,8954.0,9028.0,8980.0,9168.0,9152.0,9170.0,9240.0,9156.0,9176.0,9116.0,9062.0,9106.0,9176.0,9178.0,9108.0,9172.0,9158.0,8966.0,9028.0,9270.0,9050.0,9066.0,9006.0,9300.0,8988.0,9010.0,9150.0,9060.0,8972.0,9222.0,9262.0,9232.0,9276.0,8964.0,8954.0,9300.0,9104.0,12.5972,93.9364,8824.0408
T,6260.0,6172.0,6360.0,6370.0,6256.0,6300.0,6264.0,6320.0,6350.0,6254.0,6320.0,6342.0,6190.0,6180.0,6272.0,6344.0,6396.0,6300.0,6326.0,6340.0,6150.0,6328.0,6274.0,6348.0,6164.0,6264.0,6474.0,6428.0,6110.0,6240.0,6290.0,6194.0,6358.0,6330.0,6494.0,6322.0,6378.0,6402.0,6194.0,6238.0,6354.0,6236.0,6408.0,6218.0,6330.0,6228.0,6384.0,6374.0,6308.0,6098.0,6098.0,6494.0,6296.0,8.7118,88.0219,7747.8547
O,5958.0,5868.0,5840.0,5968.0,5888.0,5850.0,5894.0,5932.0,5804.0,5808.0,5924.0,5822.0,5780.0,5880.0,5910.0,5950.0,5968.0,5872.0,5806.0,5852.0,5940.0,6014.0,6046.0,5914.0,5852.0,5894.0,5860.0,5966.0,5818.0,5860.0,5930.0,5990.0,5876.0,5932.0,5808.0,5802.0,5984.0,5860.0,5872.0,5910.0,5940.0,5950.0,5952.0,5882.0,5790.0,5826.0,6040.0,5894.0,5786.0,5760.0,5760.0,6046.0,5890.0,8.15,69.6795,4855.231
A,5422.0,5402.0,5400.0,5608.0,5512.0,5428.0,5440.0,5402.0,5410.0,5506.0,5432.0,5430.0,5372.0,5268.0,5372.0,5322.0,5426.0,5400.0,5430.0,5396.0,5250.0,5502.0,5400.0,5334.0,5294.0,5372.0,5454.0,5352.0,5326.0,5406.0,5330.0,5456.0,5376.0,5340.0,5446.0,5458.0,5394.0,5320.0,5298.0,5344.0,5440.0,5462.0,5546.0,5294.0,5366.0,5426.0,5382.0,5416.0,5604.0,5460.0,5250.0,5608.0,5404.0,7.4775,75.7135,5732.5404
I,4852.0,4812.0,4746.0,4756.0,4872.0,4764.0,4872.0,4822.0,4928.0,4736.0,4848.0,4654.0,4816.0,4838.0,4832.0,4724.0,4828.0,4822.0,4804.0,4816.0,4818.0,4692.0,4740.0,4822.0,4754.0,4820.0,4848.0,4820.0,4802.0,4758.0,4644.0,4774.0,4740.0,4860.0,4750.0,4916.0,4708.0,4878.0,4802.0,4728.0,4842.0,4748.0,4714.0,4802.0,4692.0,4808.0,4978.0,4828.0,4826.0,4788.0,4644.0,4978.0,4796.0,6.6362,67.2092,4517.0759
H,4672.0,4718.0,4798.0,4764.0,4680.0,4786.0,4732.0,4800.0,4786.0,4744.0,4736.0,4794.0,4692.0,4868.0,4656.0,4696.0,4782.0,4666.0,4670.0,4702.0,4814.0,4808.0,4774.0,4756.0,4770.0,4652.0,4778.0,4768.0,4742.0,4678.0,4778.0,4818.0,4742.0,4842.0,4670.0,4770.0,4840.0,4664.0,4822.0,4710.0,4640.0,4782.0,4770.0,4706.0,4766.0,4764.0,4740.0,4716.0,4806.0,4726.0,4640.0,4868.0,4747.0,6.5684,56.3911,3179.9527
S,4790.0,4834.0,4674.0,4658.0,4748.0,4802.0,4768.0,4700.0,4670.0,4762.0,4580.0,4692.0,4774.0,4740.0,4742.0,4618.0,4720.0,4546.0,4802.0,4792.0,4738.0,4722.0,4712.0,4636.0,4758.0,4800.0,4784.0,4582.0,4666.0,4744.0,4616.0,4798.0,4730.0,4786.0,4782.0,4742.0,4678.0,4718.0,4756.0,4804.0,4672.0,4624.0,4588.0,4570.0,4768.0,4802.0,4636.0,4684.0,4878.0,4628.0,4546.0,4878.0,4716.0,6.5255,77.5113,6008.0016
N,4604.0,4630.0,4568.0,4638.0,4640.0,4692.0,4708.0,4704.0,4648.0,4588.0,4580.0,4678.0,4668.0,4662.0,4744.0,4548.0,4628.0,4760.0,4728.0,4638.0,4632.0,4676.0,4648.0,4588.0,4770.0,4672.0,4600.0,4742.0,4652.0,4620.0,4644.0,4736.0,4634.0,4612.0,4700.0,4670.0,4692.0,4810.0,4724.0,4478.0,4674.0,4708.0,4638.0,4738.0,4700.0,4632.0,4664.0,4628.0,4592.0,4638.0,4478.0,4810.0,4659.0,6.4467,61.633,3798.6302
R,4512.0,4414.0,4346.0,4332.0,4386.0,4318.0,4562.0,4520.0,4406.0,4298.0,4324.0,4320.0,4372.0,4368.0,4414.0,4346.0,4394.0,4440.0,4310.0,4376.0,4398.0,4342.0,4390.0,4360.0,4518.0,4266.0,4398.0,4436.0,4428.0,4500.0,4412.0,4340.0,4422.0,4384.0,4392.0,4408.0,4384.0,4318.0,4396.0,4294.0,4368.0,4474.0,4396.0,4378.0,4380.0,4378.0,4392.0,4478.0,4394.0,4482.0,4266.0,4562.0,4393.0,6.0786,63.262,4002.0833
L,3324.0,3294.0,3342.0,3254.0,3306.0,3332.0,3220.0,3164.0,3352.0,3210.0,3244.0,3270.0,3292.0,3414.0,3200.0,3366.0,3246.0,3372.0,3296.0,3282.0,3254.0,3318.0,3254.0,3222.0,3304.0,3364.0,3262.0,3280.0,3238.0,3254.0,3216.0,3284.0,3272.0,3254.0,3298.0,3404.0,3272.0,3290.0,3198.0,3304.0,3238.0,3332.0,3312.0,3352.0,3378.0,3302.0,3238.0,3382.0,3318.0,3350.0,3164.0,3414.0,3290.0,4.5524,56.9103,3238.7853
