letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
E,25,26,25,24,24,24,24,25,25,24,24,25,28,25,26,25,24,26,24,28,24,25,26,25,25,24,27,23,25,26,25,23,25,23,25,26,26,24,24,24,25,25,27,25,26,25,25,26,26,26,23,28,25.0,4.0917,1.1241,1.2637,13983.0
S,23,26,25,24,23,23,25,22,24,22,23,24,24,22,22,22,24,25,23,23,22,24,24,23,25,23,22,21,22,23,23,22,25,23,24,23,23,23,23,23,24,23,22,22,23,23,23,25,20,21,20,26,23.0,3.7643,1.1891,1.4139,6991.0
N,23,22,24,24,23,23,23,24,23,22,22,24,23,22,23,24,23,24,23,22,25,24,25,23,22,24,24,22,23,21,22,23,24,24,24,24,22,22,23,21,22,22,25,23,22,22,24,23,24,22,21,25,23.0,3.7643,1.0093,1.0188,6991.0
T,25,23,24,24,24,22,23,23,24,23,24,24,24,24,23,22,23,23,22,21,22,23,24,24,21,24,25,24,23,21,23,22,21,23,25,23,24,22,22,24,24,25,24,24,23,23,23,23,23,22,21,25,23.0,3.7643,1.0631,1.1302,6991.0
L,23,22,23,22,25,23,22,21,22,22,22,21,23,23,25,22,22,22,21,22,23,20,23,23,20,23,26,20,22,20,21,22,23,23,21,21,22,21,24,22,23,23,24,23,22,22,21,22,22,23,20,26,22.0,3.6007,1.2586,1.5841,4943.0
O,24,22,23,21,22,21,23,23,24,25,24,22,24,24,22,21,22,23,22,21,23,22,21,24,25,24,23,24,24,24,22,23,22,21,25,23,25,21,23,21,24,21,24,25,22,23,22,22,23,22,21,25,22.0,3.6007,1.2728,1.62,4943.0
A,24,22,23,23,25,23,20,23,22,21,24,24,24,23,24,22,22,22,22,25,21,22,22,24,25,22,21,21,23,22,23,22,23,22,20,23,23,23,21,24,22,22,26,22,24,22,25,23,23,22,20,26,22.0,3.6007,1.3099,1.7159,4943.0
U,24,23,22,25,22,22,21,23,23,23,22,21,22,23,21,22,21,22,23,24,23,21,24,23,22,23,25,22,22,21,22,23,23,24,20,25,21,22,24,22,22,23,22,22,23,24,22,22,21,22,20,25,22.0,3.6007,1.1471,1.3159,4943.0
I,23,22,21,23,22,23,23,24,24,21,21,23,23,22,24,21,23,23,24,21,23,24,21,22,22,22,25,24,24,22,26,23,22,22,23,21,23,22,24,24,23,22,22,21,22,21,24,23,24,23,21,26,22.0,3.6007,1.1824,1.398,4943.0
R,21,24,22,24,23,23,23,25,22,22,23,23,22,20,23,22,23,23,24,23,21,24,23,24,21,24,24,21,22,23,23,24,24,24,22,22,23,24,23,24,23,24,22,25,22,24,23,22,23,22,20,25,22.0,3.6007,1.0926,1.1939,4943.0
P,21,20,22,21,20,19,21,23,21,22,19,19,21,21,20,22,21,18,19,19,19,18,18,22,20,19,21,21,20,20,21,21,20,20,19,22,20,20,19,22,21,19,22,21,20,19,20,21,19,20,18,23,20.0,3.2733,1.209,1.4616,2471.0
M,18,21,22,22,22,20,19,21,20,20,21,22,21,20,21,22,22,23,21,21,20,18,19,20,22,18,19,22,21,23,21,20,22,21,23,22,22,20,23,22,20,20,20,20,21,20,22,21,21,20,18,23,20.0,3.2733,1.2835,1.6473,2471.0
C,19,20,20,19,19,20,21,20,21,21,19,21,20,20,20,20,18,22,19,20,19,19,22,21,21,21,23,21,22,23,23,20,22,21,20,20,22,20,21,23,19,19,19,19,20,21,22,21,23,22,18,23,20.0,3.2733,1.3118,1.7208,2471.0
D,21,21,20,20,21,22,21,22,22,19,20,21,21,20,22,21,18,21,21,20,22,20,22,22,22,23,22,19,19,21,21,21,23,20,21,20,21,23,21,22,19,23,20,21,20,21,21,22,22,20,18,23,20.0,3.2733,1.1421,1.3045,2471.0
É,18,19,20,19,20,18,18,18,22,21,16,17,18,19,22,23,19,20,18,18,19,18,19,20,18,18,19,19,20,20,18,18,20,18,19,18,18,20,21,20,18,20,20,18,19,19,18,18,20,19,16,23,19.0,3.1097,1.3242,1.7535,1747.0
V,19,20,20,19,21,20,22,16,21,21,18,20,21,20,20,18,20,21,18,18,18,20,18,18,21,18,17,21,18,21,18,21,18,20,20,18,16,19,20,18,19,17,19,19,17,19,20,20,18,19,16,22,19.0,3.1097,1.4337,2.0555,1747.0
H,18,18,20,17,18,18,18,18,18,19,20,19,18,22,18,19,19,20,17,18,18,18,18,18,19,20,18,19,18,19,21,22,17,18,17,18,18,17,19,17,17,19,18,17,19,19,19,19,19,18,17,22,18.0,2.946,1.165,1.3571,1235.0
G,18,19,18,17,18,18,17,18,17,17,18,16,18,18,19,17,17,18,18,17,19,17,21,18,16,18,19,16,17,18,18,18,16,15,20,20,17,16,19,18,19,16,17,18,16,17,18,18,15,18,15,21,17.0,2.7823,1.2271,1.5057,873.0
F,17,16,17,19,19,19,17,17,17,18,17,19,22,16,17,18,18,19,18,20,18,18,19,18,17,18,16,18,16,18,17,18,17,17,16,17,17,19,16,18,18,19,17,19,18,18,18,17,16,16,16,22,17.0,2.7823,1.2027,1.4465,873.0
Q,18,19,17,18,19,16,16,18,15,17,15,18,18,17,17,18,18,17,19,17,16,17,18,20,17,16,17,17,18,18,20,16,17,18,19,15,19,17,15,16,18,17,15,17,18,18,19,17,18,18,15,20,17.0,2.7823,1.2578,1.582,873.0
B,20,19,18,18,18,19,18,18,19,18,16,16,17,17,18,18,18,18,17,16,19,17,17,17,16,18,17,17,19,17,17,17,17,15,19,16,18,18,19,20,18,16,19,17,20,16,15,18,17,19,15,20,17.0,2.7823,1.2271,1.5057,873.0
J,19,16,17,15,17,18,16,18,17,15,16,16,16,17,16,15,19,18,19,15,17,17,16,16,19,20,17,18,16,17,18,16,16,16,18,16,18,19,18,16,16,15,18,15,17,18,17,18,16,17,15,20,16.0,2.6187,1.2752,1.6261,617.0
Y,15,18,15,16,15,15,16,15,16,17,16,17,15,18,17,16,16,18,17,16,16,18,17,17,17,16,16,16,13,15,16,16,17,19,16,16,15,16,16,15,16,16,16,16,14,17,18,16,16,15,13,19,16.0,2.6187,1.1068,1.2249,617.0
Z,15,15,14,14,15,13,14,13,15,15,13,13,13,14,16,16,14,15,16,12,15,15,15,13,14,15,14,14,14,14,17,13,14,14,13,14,14,13,15,13,16,14,15,15,14,14,15,13,16,12,12,17,14.0,2.2913,1.0984,1.2065,308.0
À,14,15,13,16,15,15,14,14,15,13,14,15,15,15,16,13,15,14,15,15,18,16,15,15,17,15,15,14,16,16,16,15,15,13,15,15,14,15,15,15,15,16,15,13,14,14,14,17,14,14,13,18,14.0,2.2913,1.0568,1.1167,308.0
X,14,12,14,14,12,14,14,15,15,17,17,12,16,14,15,14,14,13,14,14,15,15,14,15,15,17,15,15,14,14,15,13,15,17,15,13,16,12,14,17,14,15,13,12,14,14,16,16,14,13,12,17,14.0,2.2913,1.3566,1.8404,308.0
È,15,16,14,15,14,15,14,16,14,13,15,15,15,14,15,14,17,13,14,14,15,16,15,14,17,14,14,17,12,13,14,14,17,15,14,16,16,15,15,15,15,13,16,14,15,16,15,14,16,15,12,17,14.0,2.2913,1.1301,1.2771,308.0
W,15,14,13,13,14,13,13,13,13,15,12,12,12,15,14,14,14,14,14,13,13,17,13,15,15,14,14,13,13,13,13,12,13,14,15,12,14,16,14,13,14,15,16,12,14,14,13,15,14,12,12,17,13.0,2.1277,1.1473,1.3163,217.0
Ê,13,13,12,12,10,12,12,15,14,10,14,13,12,11,13,13,13,10,12,11,14,13,15,12,14,12,13,11,11,11,13,13,13,11,12,12,13,13,13,12,12,12,12,10,13,12,14,15,11,11,10,15,12.0,1.964,1.2739,1.6229,153.0
K,12,13,10,13,13,15,11,12,11,12,11,16,13,11,12,12,12,13,14,12,13,13,14,12,12,13,13,13,12,13,11,13,13,13,13,10,13,12,12,12,10,13,11,13,13,12,13,12,12,14,10,16,12.0,1.964,1.1622,1.3506,153.0
