letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR
E,13983.0,19776.0,13983.0,9887.0,9887.0,9887.0,9887.0,13983.0,13983.0,9887.0,9887.0,13983.0,39553.0,13983.0,19776.0,13983.0,9887.0,19776.0,9887.0,39553.0,9887.0,13983.0,19776.0,13983.0,13983.0,9887.0,27968.0,6991.0,13983.0,19776.0,13983.0,6991.0,13983.0,6991.0,13983.0,19776.0,19776.0,9887.0,9887.0,9887.0,13983.0,13983.0,27968.0,13983.0,19776.0,13983.0,13983.0,19776.0,19776.0,19776.0,6991.0,39553.0,15355.0,14.2629,6908.412,47726156.9669
T,13983.0,6991.0,9887.0,9887.0,9887.0,4943.0,6991.0,6991.0,9887.0,6991.0,9887.0,9887.0,9887.0,9887.0,6991.0,4943.0,6991.0,6991.0,4943.0,3495.0,4943.0,6991.0,9887.0,9887.0,3495.0,9887.0,13983.0,9887.0,6991.0,3495.0,6991.0,4943.0,3495.0,6991.0,13983.0,6991.0,9887.0,4943.0,4943.0,9887.0,9887.0,13983.0,9887.0,9887.0,6991.0,6991.0,6991.0,6991.0,6991.0,4943.0,3495.0,13983.0,7927.0,7.3632,2772.7018,7687875.5004
S,6991.0,19776.0,13983.0,9887.0,6991.0,6991.0,13983.0,4943.0,9887.0,4943.0,6991.0,9887.0,9887.0,4943.0,4943.0,4943.0,9887.0,13983.0,6991.0,6991.0,4943.0,9887.0,9887.0,6991.0,13983.0,6991.0,4943.0,3495.0,4943.0,6991.0,6991.0,4943.0,13983.0,6991.0,9887.0,6991.0,6991.0,6991.0,6991.0,6991.0,9887.0,6991.0,4943.0,4943.0,6991.0,6991.0,6991.0,13983.0,2471.0,3495.0,2471.0,19776.0,7926.0,7.3623,3439.1085,11827467.4812
N,6991.0,4943.0,9887.0,9887.0,6991.0,6991.0,6991.0,9887.0,6991.0,4943.0,4943.0,9887.0,6991.0,4943.0,6991.0,9887.0,6991.0,9887.0,6991.0,4943.0,13983.0,9887.0,13983.0,6991.0,4943.0,9887.0,9887.0,4943.0,6991.0,3495.0,4943.0,6991.0,9887.0,9887.0,9887.0,9887.0,4943.0,4943.0,6991.0,3495.0,4943.0,4943.0,13983.0,6991.0,4943.0,4943.0,9887.0,6991.0,9887.0,4943.0,3495.0,13983.0,7525.0,6.9898,2655.6177,7052305.1363
O,9887.0,4943.0,6991.0,3495.0,4943.0,3495.0,6991.0,6991.0,9887.0,13983.0,9887.0,4943.0,9887.0,9887.0,4943.0,3495.0,4943.0,6991.0,4943.0,3495.0,6991.0,4943.0,3495.0,9887.0,13983.0,9887.0,6991.0,9887.0,9887.0,9887.0,4943.0,6991.0,4943.0,3495.0,13983.0,6991.0,13983.0,3495.0,6991.0,3495.0,9887.0,3495.0,9887.0,13983.0,4943.0,6991.0,4943.0,4943.0,6991.0,4943.0,3495.0,13983.0,7223.0,6.7093,3216.3608,10344976.7445
R,3495.0,9887.0,4943.0,9887.0,6991.0,6991.0,6991.0,13983.0,4943.0,4943.0,6991.0,6991.0,4943.0,2471.0,6991.0,4943.0,6991.0,6991.0,9887.0,6991.0,3495.0,9887.0,6991.0,9887.0,3495.0,9887.0,9887.0,3495.0,4943.0,6991.0,6991.0,9887.0,9887.0,9887.0,4943.0,4943.0,6991.0,9887.0,6991.0,9887.0,6991.0,9887.0,4943.0,13983.0,4943.0,9887.0,6991.0,4943.0,6991.0,4943.0,2471.0,13983.0,7219.0,6.7056,2603.8454,6780010.8147
A,9887.0,4943.0,6991.0,6991.0,13983.0,6991.0,2471.0,6991.0,4943.0,3495.0,9887.0,9887.0,9887.0,6991.0,9887.0,4943.0,4943.0,4943.0,4943.0,13983.0,3495.0,4943.0,4943.0,9887.0,13983.0,4943.0,3495.0,3495.0,6991.0,4943.0,6991.0,4943.0,6991.0,4943.0,2471.0,6991.0,6991.0,6991.0,3495.0,9887.0,4943.0,4943.0,19776.0,4943.0,9887.0,4943.0,13983.0,6991.0,6991.0,4943.0,2471.0,19776.0,7042.0,6.5411,3497.0641,12229457.398
I,6991.0,4943.0,3495.0,6991.0,4943.0,6991.0,6991.0,9887.0,9887.0,3495.0,3495.0,6991.0,6991.0,4943.0,9887.0,3495.0,6991.0,6991.0,9887.0,3495.0,6991.0,9887.0,3495.0,4943.0,4943.0,4943.0,13983.0,9887.0,9887.0,4943.0,19776.0,6991.0,4943.0,4943.0,6991.0,3495.0,6991.0,4943.0,9887.0,9887.0,6991.0,4943.0,4943.0,3495.0,4943.0,3495.0,9887.0,6991.0,9887.0,6991.0,3495.0,19776.0,6861.0,6.373,3091.43,9556939.1939
U,9887.0,6991.0,4943.0,13983.0,4943.0,4943.0,3495.0,6991.0,6991.0,6991.0,4943.0,3495.0,4943.0,6991.0,3495.0,4943.0,3495.0,4943.0,6991.0,9887.0,6991.0,3495.0,9887.0,6991.0,4943.0,6991.0,13983.0,4943.0,4943.0,3495.0,4943.0,6991.0,6991.0,9887.0,2471.0,13983.0,3495.0,4943.0,9887.0,4943.0,4943.0,6991.0,4943.0,4943.0,6991.0,9887.0,4943.0,4943.0,3495.0,4943.0,2471.0,13983.0,6330.0,5.8798,2759.1776,7613060.9371
L,6991.0,4943.0,6991.0,4943.0,13983.0,6991.0,4943.0,3495.0,4943.0,4943.0,4943.0,3495.0,6991.0,6991.0,13983.0,4943.0,4943.0,4943.0,3495.0,4943.0,6991.0,2471.0,6991.0,6991.0,2471.0,6991.0,19776.0,2471.0,4943.0,2471.0,3495.0,4943.0,6991.0,6991.0,3495.0,3495.0,4943.0,3495.0,9887.0,4943.0,6991.0,6991.0,9887.0,6991.0,4943.0,4943.0,3495.0,4943.0,4943.0,6991.0,2471.0,19776.0,5983.0,5.5575,3137.3221,9842790.2241
